TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI
1,Clean up my workspace,Go bowling at a local alley,0.01,0.01,4.4
2,Make myself a nice sandwich,Watch a tennis match ,0.02,0.01,8.8
3,Clean up my workspace,Binge watch a bad show on Netflix,0.03,0.01,3.3
4,Rewatch old episodes of Friends.,Go on a walk to the park and fly a kite,0.04,0.01,1.1
5,Walk to the library and find a new book to read,Work on a puzzle together,0.05,0.01,1.1
6,Take a walk around the block,Play a video game together,0.01,0.02,3.3
7,Rewatch old episodes of Friends.,Play a board game like Taboo,0.02,0.02,1.1
8,Make myself a matcha green tea latte,Play a board game like Taboo,0.03,0.02,1.1
9,Rewatch old episodes of Friends.,Shop together on Amazon for some nice to haves,0.04,0.02,4.4
10,Go on a hike at a local spot,Cook a nice dinner together,0.05,0.02,1.1
11,Listen to nostalgic music from my childhood,Shop together on Amazon for some nice to haves,0.01,0.03,3.3
12,Take a walk around the block,Cook a nice dinner together,0.02,0.03,4.4
13,Make myself a matcha green tea latte,Watch a tennis match ,0.03,0.03,1.1
14,Read a book by myself in a corner of my house,Work on a puzzle together,0.04,0.03,3.3
15,Read a book by myself in a corner of my house,Watch a tennis match ,0.05,0.03,4.4
16,Make myself a matcha green tea latte,Cook a nice dinner together,0.01,0.04,1.1
17,Make myself a nice sandwich,Play a board game like Taboo,0.02,0.04,8.8
18,Make myself a nice sandwich,Shop together on Amazon for some nice to haves,0.03,0.04,3.3
19,Walk to the library and find a new book to read,Go grocery shopping for the week ahead,0.04,0.04,3.3
20,Read a book by myself in a corner of my house,Shop together on Amazon for some nice to haves,0.05,0.04,1.1
21,Clean up my workspace,Go grocery shopping for the week ahead,0.01,0.05,8.8
22,Binge watch some Youtube videos on finance,Play a board game like Taboo,0.02,0.05,4.4
23,Rewatch old episodes of Friends.,Go bowling at a local alley,0.03,0.05,1.1
24,Walk to the library and find a new book to read,Binge watch a bad show on Netflix,0.04,0.05,4.4
25,Make myself a matcha green tea latte,Shop together on Amazon for some nice to haves,0.05,0.05,3.3
26,Binge watch some Youtube videos on finance,Work on a puzzle together,0.01,0.01,4.4
