TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Sam,Acc,Participant_Images/5d012930cfeb82001817c9c9/5d012930cfeb82001817c9c9_Images/5d012930cfeb82001817c9c9_Image_21.jpeg,liked,3.613205605
2,Sam,Acc,Participant_Images/5d012930cfeb82001817c9c9/5d012930cfeb82001817c9c9_Images/5d012930cfeb82001817c9c9_Image_13.jpeg,liked,4.988446431
3,Sam,Acc,Participant_Images/5d012930cfeb82001817c9c9/5d012930cfeb82001817c9c9_Images/5d012930cfeb82001817c9c9_Image_24.jpeg,liked,3.470791822
4,Sam,Acc,Participant_Images/5d012930cfeb82001817c9c9/5d012930cfeb82001817c9c9_Images/5d012930cfeb82001817c9c9_Image_8.jpeg,liked,3.820572462
5,Sam,Acc,Participant_Images/5d012930cfeb82001817c9c9/5d012930cfeb82001817c9c9_Images/5d012930cfeb82001817c9c9_Image_18.jpeg,liked,2.455989137
6,Sam,Acc,Participant_Images/5d012930cfeb82001817c9c9/5d012930cfeb82001817c9c9_Images/5d012930cfeb82001817c9c9_Image_7.jpeg,liked,3.79605092
7,Sam,Acc,Participant_Images/5d012930cfeb82001817c9c9/5d012930cfeb82001817c9c9_Images/5d012930cfeb82001817c9c9_Image_20.jpeg,did not like,3.562416326
8,Sam,Acc,Participant_Images/5d012930cfeb82001817c9c9/5d012930cfeb82001817c9c9_Images/5d012930cfeb82001817c9c9_Image_3.jpeg,liked,2.843822497
9,Sam,Acc,Participant_Images/5d012930cfeb82001817c9c9/5d012930cfeb82001817c9c9_Images/5d012930cfeb82001817c9c9_Image_22.jpeg,liked,3.546495948
10,Sam,Acc,Participant_Images/5d012930cfeb82001817c9c9/5d012930cfeb82001817c9c9_Images/5d012930cfeb82001817c9c9_Image_17.jpeg,liked,1.672012706
11,Sam,Acc,Participant_Images/5d012930cfeb82001817c9c9/5d012930cfeb82001817c9c9_Images/5d012930cfeb82001817c9c9_Image_6.jpeg,did not like,4.942172136
12,Sam,Acc,Participant_Images/5d012930cfeb82001817c9c9/5d012930cfeb82001817c9c9_Images/5d012930cfeb82001817c9c9_Image_16.jpeg,liked,2.50187214
13,Sam,Acc,Participant_Images/5d012930cfeb82001817c9c9/5d012930cfeb82001817c9c9_Images/5d012930cfeb82001817c9c9_Image_11.jpeg,liked,2.071164779
14,Sam,Acc,Participant_Images/5d012930cfeb82001817c9c9/5d012930cfeb82001817c9c9_Images/5d012930cfeb82001817c9c9_Image_10.jpeg,liked,5.336503566
