TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,Watch friends live stream on Twitch or YouTube with friends,Pop on a movie to recline and watch,0.01,0.01,4.4,0.0
2,Do photo editing in Photoshop,Hang out while watching YouTube videos with friends,0.02,0.01,8.8,1.0
3,Edit some videos with calm music on,Play Left4Dead2 with friends,0.03,0.01,3.3,1.0
4,Record things with my friends that I can edit into videos,Do photo editing in Photoshop,0.04,0.01,1.1,0.0
5,Go through horrible dad jokes with friends,Play some Animal Crossing in bed,0.05,0.01,1.1,0.0
6,Hang out while watching YouTube videos with friends,Do some Ring Fit Adventure to work out,0.01,0.02,3.3,0.0
7,Edit some videos with calm music on,Having a movie night with family and friends,0.02,0.02,1.1,1.0
8,Go through and look at my Pokemon card collection in my binders,Having a movie night with family and friends,0.03,0.02,1.1,1.0
9,Do some Ring Fit Adventure to work out,Having a movie night with family and friends,0.04,0.02,4.4,1.0
10,Go through and look at my Pokemon card collection in my binders,Record things with my friends that I can edit into videos,0.05,0.02,1.1,1.0
11,Play some Animal Crossing in bed,Hang out while watching YouTube videos with friends,0.01,0.03,3.3,1.0
12,Having a movie night with family and friends,Play with toys with my cat Aurora,0.02,0.03,4.4,0.0
13,Watch friends live stream on Twitch or YouTube with friends,Play with toys with my cat Aurora,0.03,0.03,1.1,0.0
14,Play catch with my dog Poochy,Play Overwatch 2 with friends,0.04,0.03,3.3,1.0
15,Hang out while watching YouTube videos with friends,Play some Story of Seasons while I relax,0.05,0.03,4.4,0.0
16,Watch friends live stream on Twitch or YouTube with friends,Play some Story of Seasons while I relax,0.01,0.04,1.1,0.0
17,Just chill and talking about life with friends,Do photo editing in Photoshop,0.02,0.04,8.8,0.0
18,Go through and look at my Pokemon card collection in my binders,Watch friends live stream on Twitch or YouTube with friends,0.03,0.04,3.3,1.0
19,Pop on a movie to recline and watch,Watching football all day on Sunday with family and friends,0.04,0.04,3.3,1.0
20,Having a movie night with family and friends,Play some Animal Crossing in bed,0.05,0.04,1.1,0.0
21,Plan out what to do for future live stream content,Watching football all day on Sunday with family and friends,0.01,0.05,8.8,1.0
22,Play catch with my dog Poochy,Play Left4Dead2 with friends,0.02,0.05,4.4,1.0
23,Do some Ring Fit Adventure to work out,Play Left4Dead2 with friends,0.03,0.05,1.1,1.0
24,Play Left4Dead2 with friends,Pop on a movie to recline and watch,0.04,0.05,4.4,0.0
25,Hang out while watching YouTube videos with friends,Play with toys with my cat Aurora,0.05,0.05,3.3,0.0
26,Play Golf With  Friends,Pop on a movie to recline and watch,0.01,0.01,4.4,0.0
27,Pop on a movie to recline and watch,Go through horrible dad jokes with friends,0.02,0.01,3.3,1.0
