TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,Play video games,Go to state parks with my partner,0.01,0.01,4.4,1.0
2,Go to concerts with my partner,Read in a cozy bed with a thunderstorm going on,0.02,0.01,8.8,0.0
3,Listen to my music in bed,Go to the library with my friends and partner,0.03,0.01,3.3,1.0
4,Go to a museum with my partner,Go to a craft store,0.04,0.01,1.1,0.0
5,go out to eat with my family,Read a book on the porch of a cabin in the woods,0.05,0.01,1.1,0.0
6,Go to the library with my friends and partner,Go to a book store for hours,0.01,0.02,3.3,0.0
7,Go on a nice hike on a 70 degree day ,Go to a pumpkin patch with my friends,0.02,0.02,1.1,1.0
8,go out to eat with my family,Go to the thrift store,0.03,0.02,1.1,0.0
9,Go to the zoo with my partner,Go on a nice hike on a 70 degree day ,0.04,0.02,4.4,0.0
10,Go to a museum with my partner,Read a book on the porch of a cabin in the woods,0.05,0.02,1.1,0.0
11,Go to the library with my friends and partner,Go to the thrift store,0.01,0.03,3.3,0.0
12,play board games with my family,Stand in the ocean ,0.02,0.03,4.4,0.0
13,play board games with my family,Go on a nice hike on a 70 degree day ,0.03,0.03,1.1,0.0
14,Read in a cozy bed with a thunderstorm going on,go out to eat with my family,0.04,0.03,3.3,1.0
15,Go to concerts with my partner,Read a book on the porch of a cabin in the woods,0.05,0.03,4.4,0.0
16,Go to state parks with my partner,Go on a nice hike on a 70 degree day ,0.01,0.04,1.1,0.0
17,go out to eat with my family,Go on a nice hike on a 70 degree day ,0.02,0.04,8.8,0.0
18,Go to a museum with my partner,Read in a cozy bed with a thunderstorm going on,0.03,0.04,3.3,0.0
19,Stand in the ocean ,Go to a pumpkin patch with my friends,0.04,0.04,3.3,1.0
20,Go to state parks with my partner,Swim in a pool when it's cloudy outside,0.05,0.04,1.1,0.0
21,Drive without a destination with my partner,Go on a nice hike on a 70 degree day ,0.01,0.05,8.8,0.0
22,Go to the zoo with my partner,Go to a craft store,0.02,0.05,4.4,0.0
23,Go to a museum with my partner,Play video games,0.03,0.05,1.1,0.0
24,play board games with my family,Play video games,0.04,0.05,4.4,0.0
25,Swim in a pool when it's cloudy outside,Go to concerts with my partner,0.05,0.05,3.3,1.0
26,Drive without a destination with my partner,Read a book on the porch of a cabin in the woods,0.01,0.01,4.4,0.0
27,Drive without a destination with my partner,Read in a cozy bed with a thunderstorm going on,0.02,0.01,3.3,0.0
28,Go to a book store for hours,Drive without a destination with my partner,0.03,0.01,3.3,1.0
29,play board games with my family,Swim in a pool when it's cloudy outside,0.04,0.01,4.4,0.0
30,Go on a nice hike on a 70 degree day ,Go to the library with my friends and partner,0.05,0.01,8.8,1.0
31,Go to a museum with my partner,Go to a book store for hours,0.01,0.02,8.8,0.0
32,Go to a book store for hours,Go on roadtrips with my partner,0.02,0.02,1.1,1.0
33,Go to state parks with my partner,Listen to my music in bed,0.03,0.02,4.4,0.0
34,play board games with my family,Go to the thrift store,0.04,0.02,3.3,0.0
35,Go to state parks with my partner,Stand in the ocean ,0.05,0.02,1.1,0.0
36,Stand in the ocean ,Go to concerts with my partner,0.01,0.03,3.3,1.0
37,Go to state parks with my partner,Read in a cozy bed with a thunderstorm going on,0.02,0.03,1.1,0.0
38,Listen to my music in bed,Go on roadtrips with my partner,0.03,0.03,1.1,1.0
39,Stand in the ocean ,go out to eat with my family,0.04,0.03,3.3,1.0
40,Go to a pumpkin patch with my friends,Go to the thrift store,0.05,0.03,4.4,0.0
41,play board games with my family,Read a book on the porch of a cabin in the woods,0.01,0.04,1.1,0.0
42,Drive without a destination with my partner,Stand in the ocean ,0.02,0.04,3.3,0.0
43,Go to a pumpkin patch with my friends,Listen to my music in bed,0.03,0.04,1.1,0.0
44,Go to the library with my friends and partner,Read a book on the porch of a cabin in the woods,0.04,0.04,1.1,0.0
45,Go to the thrift store,Go to concerts with my partner,0.05,0.04,4.4,1.0
46,Go on roadtrips with my partner,Swim in a pool when it's cloudy outside,0.01,0.05,8.8,0.0
47,Play video games,Go on roadtrips with my partner,0.02,0.05,1.1,1.0
48,Go to concerts with my partner,Listen to my music in bed,0.03,0.05,4.4,0.0
49,Drive without a destination with my partner,Go to the thrift store,0.04,0.05,3.3,0.0
50,Read in a cozy bed with a thunderstorm going on,Go to a pumpkin patch with my friends,0.05,0.05,1.1,1.0
51,Stand in the ocean ,Go to the zoo with my partner,0.01,0.01,1.1,1.0
52,Stand in the ocean ,Go to a museum with my partner,0.02,0.01,3.3,1.0
53,Go to concerts with my partner,Go to a craft store,0.03,0.01,1.1,0.0
54,Go to a craft store,Go to the library with my friends and partner,0.04,0.01,4.4,1.0
55,Go to concerts with my partner,Go to a book store for hours,0.05,0.01,1.1,0.0
56,Read in a cozy bed with a thunderstorm going on,play board games with my family,0.01,0.02,8.8,1.0
57,Go to a book store for hours,play board games with my family,0.02,0.02,4.4,1.0
58,Swim in a pool when it's cloudy outside,Drive without a destination with my partner,0.03,0.02,4.4,1.0
59,Go to a craft store,play board games with my family,0.04,0.02,4.4,1.0
60,Read in a cozy bed with a thunderstorm going on,Go to the zoo with my partner,0.05,0.02,1.1,1.0
61,Read in a cozy bed with a thunderstorm going on,Go to the library with my friends and partner,0.01,0.03,3.3,1.0
62,Go to state parks with my partner,Go to a craft store,0.02,0.03,3.3,0.0
