TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_1.jpeg,did not like,3.613205605
2,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_19.jpeg,did not like,4.988446431
3,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_11.jpeg,did not like,3.470791822
4,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_25.jpeg,liked,3.820572462
5,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_9.jpeg,did not like,2.455989137
6,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_8.jpeg,did not like,3.79605092
7,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_15.jpeg,did not like,3.562416326
8,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_20.jpeg,did not like,2.843822497
9,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_13.jpeg,did not like,3.546495948
10,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_12.jpeg,did not like,1.672012706
11,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_2.jpeg,did not like,4.942172136
12,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_3.jpeg,did not like,2.50187214
13,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_21.jpeg,liked,2.071164779
14,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_6.jpeg,liked,5.336503566
15,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_4.jpeg,did not like,2.642157193
16,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_16.jpeg,did not like,4.456234322
17,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_22.jpeg,did not like,4.438512181
18,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_5.jpeg,did not like,2.682944783
19,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_24.jpeg,did not like,4.51984296
20,Charlie,Rej,Participant_Images/60d0a4fa9e6e2189f489ab48/60d0a4fa9e6e2189f489ab48_Images/60d0a4fa9e6e2189f489ab48_Image_18.jpeg,did not like,3.195382774
