TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,Take long walks through nature trails during the fall,Go out for coffee with my coworkers during break time,0.01,0.01,4.4,1.0
2,Explore local festivals with friends to experience new cultures,Try different specialty drinks at trendy coffee shops,0.02,0.01,8.8,0.0
3,Travel to italy and exploring hidden gems in the countryside,Host game nights with my family at home on weekends,0.03,0.01,3.3,1.0
4,Listen to music while organizing my space,Participate in trivia nights at a local pub with coworkers,0.04,0.01,1.1,1.0
5,Spend evenings enjoying the sunset from my pool ,Share cocktails and stories with friends during summer rooftop gatherings,0.05,0.01,1.1,1.0
6,Take long walks through nature trails during the fall,Explore local festivals with friends to experience new cultures,0.01,0.02,3.3,1.0
7,Share cocktails and stories with friends during summer rooftop gatherings,Take long walks through nature trails during the fall,0.02,0.02,1.1,0.0
8,Cook homemade meals and experimenting with new recipes in the kitchen,Play board games with my roommates for a fun night in,0.03,0.02,1.1,1.0
9,Enjoy quiet evenings curled up with my two cats,Host game nights with my family at home on weekends,0.04,0.02,4.4,1.0
10,Participate in trivia nights at a local pub with coworkers,Go on spontaneous target runs to find new home essentials,0.05,0.02,1.1,0.0
11,Go on spontaneous target runs to find new home essentials,Cook dinner together with family during the holidays,0.01,0.03,3.3,1.0
12,Share cocktails and stories with friends during summer rooftop gatherings,Cook homemade meals and experimenting with new recipes in the kitchen,0.02,0.03,4.4,0.0
13,Spend evenings enjoying the sunset from my pool ,Participate in trivia nights at a local pub with coworkers,0.03,0.03,1.1,1.0
14,Go out for coffee with my coworkers during break time,Listen to music while organizing my space,0.04,0.03,3.3,0.0
15,Hike scenic trails with my boyfriend on crisp autumn weekends,Take long walks through nature trails during the fall,0.05,0.03,4.4,0.0
16,Hike scenic trails with my boyfriend on crisp autumn weekends,Listen to music while organizing my space,0.01,0.04,1.1,0.0
17,Play board games with my roommates for a fun night in,Travel to italy and exploring hidden gems in the countryside,0.02,0.04,8.8,0.0
18,Travel to new cities with my best friends for weekend escapes,Travel to italy and exploring hidden gems in the countryside,0.03,0.04,3.3,0.0
19,Travel to new cities with my best friends for weekend escapes,Cook homemade meals and experimenting with new recipes in the kitchen,0.04,0.04,3.3,0.0
