TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Charlie,Acc,Participant_Images/60fe49ad235696796d15f22f/60fe49ad235696796d15f22f_Images/60fe49ad235696796d15f22f_Image_19.jpeg,did not like,3.613205605
2,Charlie,Acc,Participant_Images/60fe49ad235696796d15f22f/60fe49ad235696796d15f22f_Images/60fe49ad235696796d15f22f_Image_12.jpeg,liked,4.988446431
3,Charlie,Acc,Participant_Images/60fe49ad235696796d15f22f/60fe49ad235696796d15f22f_Images/60fe49ad235696796d15f22f_Image_16.jpeg,did not like,3.470791822
4,Charlie,Acc,Participant_Images/60fe49ad235696796d15f22f/60fe49ad235696796d15f22f_Images/60fe49ad235696796d15f22f_Image_14.jpeg,liked,3.820572462
5,Charlie,Acc,Participant_Images/60fe49ad235696796d15f22f/60fe49ad235696796d15f22f_Images/60fe49ad235696796d15f22f_Image_10.jpeg,liked,2.455989137
6,Charlie,Acc,Participant_Images/60fe49ad235696796d15f22f/60fe49ad235696796d15f22f_Images/60fe49ad235696796d15f22f_Image_5.jpeg,liked,3.79605092
7,Charlie,Acc,Participant_Images/60fe49ad235696796d15f22f/60fe49ad235696796d15f22f_Images/60fe49ad235696796d15f22f_Image_13.jpeg,did not like,3.562416326
8,Charlie,Acc,Participant_Images/60fe49ad235696796d15f22f/60fe49ad235696796d15f22f_Images/60fe49ad235696796d15f22f_Image_15.jpeg,liked,2.843822497
9,Charlie,Acc,Participant_Images/60fe49ad235696796d15f22f/60fe49ad235696796d15f22f_Images/60fe49ad235696796d15f22f_Image_2.jpeg,did not like,3.546495948
10,Charlie,Acc,Participant_Images/60fe49ad235696796d15f22f/60fe49ad235696796d15f22f_Images/60fe49ad235696796d15f22f_Image_23.jpeg,did not like,1.672012706
11,Charlie,Acc,Participant_Images/60fe49ad235696796d15f22f/60fe49ad235696796d15f22f_Images/60fe49ad235696796d15f22f_Image_8.jpeg,did not like,4.942172136
12,Charlie,Acc,Participant_Images/60fe49ad235696796d15f22f/60fe49ad235696796d15f22f_Images/60fe49ad235696796d15f22f_Image_11.jpeg,liked,2.50187214
13,Charlie,Acc,Participant_Images/60fe49ad235696796d15f22f/60fe49ad235696796d15f22f_Images/60fe49ad235696796d15f22f_Image_7.jpeg,liked,2.071164779
