TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_20.jpeg,did not like,3.613205605
2,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_4.jpeg,liked,4.988446431
3,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_7.jpeg,did not like,3.470791822
4,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_16.jpeg,liked,3.820572462
5,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_8.jpeg,liked,2.455989137
6,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_17.jpeg,did not like,3.79605092
7,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_18.jpeg,liked,3.562416326
8,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_3.jpeg,did not like,2.843822497
9,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_19.jpeg,did not like,3.546495948
10,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_13.jpeg,did not like,1.672012706
11,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_22.jpeg,liked,4.942172136
12,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_1.jpeg,did not like,2.50187214
13,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_14.jpeg,did not like,2.071164779
14,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_12.jpeg,did not like,5.336503566
15,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_11.jpeg,did not like,2.642157193
16,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_2.jpeg,liked,4.456234322
17,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_23.jpeg,did not like,4.438512181
18,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_25.jpeg,did not like,2.682944783
19,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_5.jpeg,liked,4.51984296
20,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_15.jpeg,did not like,3.195382774
21,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_6.jpeg,did not like,1.779333479
22,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_9.jpeg,did not like,4.312468682
23,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_10.jpeg,did not like,4.940433059
24,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_24.jpeg,did not like,2.7105123
25,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_21.jpeg,did not like,3.602308302
26,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_1.jpeg,did not like,4.106391878
27,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_24.jpeg,did not like,3.799433026
28,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_20.jpeg,liked,5.246980764
29,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_21.jpeg,did not like,3.30081769
30,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_9.jpeg,did not like,1.661473164
31,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_11.jpeg,liked,3.613205605
32,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_7.jpeg,did not like,4.988446431
33,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_12.jpeg,did not like,3.470791822
34,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_18.jpeg,did not like,3.820572462
35,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_14.jpeg,liked,2.455989137
36,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_10.jpeg,did not like,3.79605092
37,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_6.jpeg,liked,3.562416326
38,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_16.jpeg,liked,2.843822497
39,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_19.jpeg,liked,3.546495948
40,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_17.jpeg,did not like,1.672012706
41,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_8.jpeg,liked,4.942172136
42,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_13.jpeg,did not like,2.50187214
43,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_15.jpeg,did not like,2.071164779
44,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_23.jpeg,did not like,5.336503566
45,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_4.jpeg,did not like,2.642157193
46,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_5.jpeg,did not like,4.456234322
47,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_2.jpeg,did not like,4.438512181
48,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_22.jpeg,did not like,2.682944783
49,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_3.jpeg,did not like,4.51984296
50,Charlie,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_25.jpeg,did not like,3.195382774
51,Sam,Acc,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_25.jpeg,liked,1.779333479
52,Sam,Acc,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_20.jpeg,liked,4.312468682
53,Sam,Acc,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_8.jpeg,liked,4.940433059
54,Sam,Acc,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_9.jpeg,did not like,2.7105123
55,Sam,Acc,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_2.jpeg,liked,3.602308302
56,Sam,Acc,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_11.jpeg,liked,4.106391878
57,Sam,Acc,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_13.jpeg,liked,3.799433026
58,Sam,Acc,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_4.jpeg,did not like,5.246980764
59,Sam,Acc,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_17.jpeg,liked,3.30081769
60,Sam,Acc,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_10.jpeg,liked,1.661473164
61,Sam,Acc,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_7.jpeg,liked,3.613205605
62,Sam,Acc,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_3.jpeg,did not like,4.988446431
63,Sam,Acc,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_18.jpeg,liked,3.470791822
