TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,walk on the beach at sunset ,play games with my boyfriend when hes off work ,0.01,0.01,4.4,1.0
2,watch drama shows with my mom,redecorate my bookshelf with music ,0.02,0.01,8.8,0.0
3,go on weekend getaways and getting a hotel with friends ,find a new game to play when its raining outside ,0.03,0.01,3.3,0.0
4,find a new game to play when its raining outside ,play games with my boyfriend when hes off work ,0.04,0.01,1.1,1.0
5,read a book with ambient music,play mini golf with my boyfriend on the weekend,0.05,0.01,1.1,1.0
6,play mini golf with my boyfriend on the weekend,watch a movie under a big fluffy blanket,0.01,0.02,3.3,0.0
7,go for a walk with my dog at sundown ,go on weekend getaways and getting a hotel with friends ,0.02,0.02,1.1,1.0
8,watch drama shows with my mom,go on a long drive with cool weather outside ,0.03,0.02,1.1,0.0
9,play games with my boyfriend when hes off work ,plant flowers in my garden on a nice sunny day ,0.04,0.02,4.4,0.0
10,work on the cars with my dad ,plant flowers in my garden on a nice sunny day ,0.05,0.02,1.1,0.0
11,watch scary movies with my friends on the weekend ,play with my cats when they are happy ,0.01,0.03,3.3,0.0
12,plant flowers in my garden on a nice sunny day ,go for walks on the beach with my boyfriend ,0.02,0.03,4.4,1.0
13,go for walks on the beach with my boyfriend ,go for a walk with my dog at sundown ,0.03,0.03,1.1,0.0
14,watch scary movies with my friends on the weekend ,walk on the beach at sunset ,0.04,0.03,3.3,0.0
15,go geocaching with my friends and boyfriend on the weekend ,find a new game to play when its raining outside ,0.05,0.03,4.4,0.0
16,play mini golf with my boyfriend on the weekend,go on a long drive with cool weather outside ,0.01,0.04,1.1,0.0
17,go on a long drive with cool weather outside ,go to the theater to see a new movie with friends ,0.02,0.04,8.8,1.0
18,go on a long drive with cool weather outside ,watch scary movies with my friends on the weekend ,0.03,0.04,3.3,1.0
19,play mini golf with my boyfriend on the weekend,plant flowers in my garden on a nice sunny day ,0.04,0.04,3.3,0.0
20,draw when its raining outside ,go to the theater to see a new movie with friends ,0.05,0.04,1.1,1.0
21,go for walks on the beach with my boyfriend ,play with my cats when they are happy ,0.01,0.05,8.8,0.0
22,play with my cats when they are happy ,go geocaching with my friends and boyfriend on the weekend ,0.02,0.05,4.4,1.0
23,go for a walk with my dog at sundown ,work on the cars with my dad ,0.03,0.05,1.1,1.0
24,go for walks on the beach with my boyfriend ,draw when its raining outside ,0.04,0.05,4.4,0.0
25,get dunkin and going clothes shopping with my friends ,walk on the beach at sunset ,0.05,0.05,3.3,0.0
26,redecorate my bookshelf with music ,go to the theater to see a new movie with friends ,0.01,0.01,4.4,1.0
27,go to the theater to see a new movie with friends ,watch a movie under a big fluffy blanket,0.02,0.01,3.3,0.0
28,draw when its raining outside ,get dunkin and going clothes shopping with my friends ,0.03,0.01,3.3,1.0
29,play mini golf with my boyfriend on the weekend,play with my cats when they are happy ,0.04,0.01,4.4,0.0
30,get dunkin and going clothes shopping with my friends ,go for a walk with my dog at sundown ,0.05,0.01,8.8,0.0
31,watch drama shows with my mom,watch a movie under a big fluffy blanket,0.01,0.02,8.8,0.0
32,watch drama shows with my mom,find a new game to play when its raining outside ,0.02,0.02,1.1,0.0
33,play games with my boyfriend when hes off work ,read a book with ambient music,0.03,0.02,4.4,0.0
34,go geocaching with my friends and boyfriend on the weekend ,redecorate my bookshelf with music ,0.04,0.02,3.3,0.0
35,get dunkin and going clothes shopping with my friends ,find a new game to play when its raining outside ,0.05,0.02,1.1,0.0
36,watch a movie under a big fluffy blanket,play games with my boyfriend when hes off work ,0.01,0.03,3.3,1.0
37,play with my cats when they are happy ,play games with my boyfriend when hes off work ,0.02,0.03,1.1,1.0
38,go for a walk with my dog at sundown ,play mini golf with my boyfriend on the weekend,0.03,0.03,1.1,1.0
39,get dunkin and going clothes shopping with my friends ,read a book with ambient music,0.04,0.03,3.3,0.0
40,plant flowers in my garden on a nice sunny day ,go on weekend getaways and getting a hotel with friends ,0.05,0.03,4.4,1.0
41,work on the cars with my dad ,redecorate my bookshelf with music ,0.01,0.04,1.1,0.0
42,find a new game to play when its raining outside ,watch scary movies with my friends on the weekend ,0.02,0.04,3.3,1.0
43,watch a movie under a big fluffy blanket,watch scary movies with my friends on the weekend ,0.03,0.04,1.1,1.0
44,go to the theater to see a new movie with friends ,walk on the beach at sunset ,0.04,0.04,1.1,0.0
45,draw when its raining outside ,go on weekend getaways and getting a hotel with friends ,0.05,0.04,4.4,1.0
46,draw when its raining outside ,work on the cars with my dad ,0.01,0.05,8.8,1.0
47,get dunkin and going clothes shopping with my friends ,go on a long drive with cool weather outside ,0.02,0.05,1.1,0.0
48,go for a walk with my dog at sundown ,go to the theater to see a new movie with friends ,0.03,0.05,4.4,1.0
49,go geocaching with my friends and boyfriend on the weekend ,read a book with ambient music,0.04,0.05,3.3,0.0
50,go for walks on the beach with my boyfriend ,find a new game to play when its raining outside ,0.05,0.05,1.1,0.0
51,go on a long drive with cool weather outside ,go on weekend getaways and getting a hotel with friends ,0.01,0.01,1.1,1.0
52,watch a movie under a big fluffy blanket,work on the cars with my dad ,0.02,0.01,3.3,1.0
