TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,cook with my roomates,read fictional novels,0.01,0.01,4.4,0.0
2,go to the gym and workout,watch different people have blessed days,0.02,0.01,8.8,1.0
3,Watch cooking videos on YouTube in my spare time,watch the flowers and the trees grow with my mom,0.03,0.01,3.3,1.0
4,watch the flowers and the trees grow with my mom,go on morning walks around the neighborhood,0.04,0.01,1.1,0.0
5, relax with my dogs,voulenteer at homeless shelters with my sister,0.05,0.01,1.1,1.0
6, go to the movies with my friends ,go on morning walks around the neighborhood,0.01,0.02,3.3,0.0
7,count with my money, give less needy people what they want,0.02,0.02,1.1,1.0
8,go on morning walks around the neighborhood, go to the job fair with my wife,0.03,0.02,1.1,1.0
9,go swimming at the local YMCA pool, go to the movies with my friends ,0.04,0.02,4.4,1.0
10,watch different people have blessed days,count with my money,0.05,0.02,1.1,0.0
11,voulenteer at homeless shelters with my sister,go swimming at the local YMCA pool,0.01,0.03,3.3,0.0
12,count with my money,watch the flowers and the trees grow with my mom,0.02,0.03,4.4,1.0
13,Go to the skate park to practice, give less needy people what they want,0.03,0.03,1.1,1.0
14, give less needy people what they want,go on morning walks around the neighborhood,0.04,0.03,3.3,0.0
15,go to the gym and workout,scool younger people on life with coworkers,0.05,0.03,4.4,1.0
16,sleep in at night, go to the job fair with my wife,0.01,0.04,1.1,1.0
17, go to the job fair with my wife,read fictional novels,0.02,0.04,8.8,0.0
18,go swimming at the local YMCA pool,watch different people have blessed days,0.03,0.04,3.3,1.0
19,Watch cooking videos on YouTube in my spare time, go to the job fair with my wife,0.04,0.04,3.3,1.0
20, relax with my dogs, skip school with my classmates,0.05,0.04,1.1,1.0
21,read fictional novels, skip school with my classmates,0.01,0.05,8.8,1.0
22, go to the job fair with my wife,I love watching people enjoy life,0.02,0.05,4.4,0.0
23,scool younger people on life with coworkers,sleep in at night,0.03,0.05,1.1,0.0
24,I love watching people enjoy life,cook with my roomates,0.04,0.05,4.4,1.0
25, give less needy people what they want,Watch cooking videos on YouTube in my spare time,0.05,0.05,3.3,0.0
26,go on morning walks around the neighborhood, skip school with my classmates,0.01,0.01,4.4,1.0
27,Go to the skate park to practice, skip school with my classmates,0.02,0.01,3.3,1.0
28, go to the movies with my friends , relax with my dogs,0.03,0.01,3.3,0.0
29,go to the casino with my mates, relax with my dogs,0.04,0.01,4.4,0.0
30,voulenteer at homeless shelters with my sister,Watch cooking videos on YouTube in my spare time,0.05,0.01,8.8,0.0
31, relax with my dogs, go to the job fair with my wife,0.01,0.02,8.8,1.0
32,voulenteer at homeless shelters with my sister,go to the gym and workout,0.02,0.02,1.1,0.0
33,go to the casino with my mates,read fictional novels,0.03,0.02,4.4,0.0
34,voulenteer at homeless shelters with my sister,Go to the skate park to practice,0.04,0.02,3.3,0.0
35,Go to the skate park to practice, go to the job fair with my wife,0.05,0.02,1.1,1.0
36,I love watching people enjoy life, skip school with my classmates,0.01,0.03,3.3,1.0
37,watch different people have blessed days,read fictional novels,0.02,0.03,1.1,0.0
38, go to the job fair with my wife,go to the gym and workout,0.03,0.03,1.1,0.0
39,scool younger people on life with coworkers,I love watching people enjoy life,0.04,0.03,3.3,0.0
40, relax with my dogs,watch different people have blessed days,0.05,0.03,4.4,1.0
41,cook with my roomates,Watch cooking videos on YouTube in my spare time,0.01,0.04,1.1,0.0
42,go to the gym and workout,watch the flowers and the trees grow with my mom,0.02,0.04,3.3,1.0
43,scool younger people on life with coworkers,go swimming at the local YMCA pool,0.03,0.04,1.1,0.0
44,read fictional novels, go to the movies with my friends ,0.04,0.04,1.1,1.0
45,watch the flowers and the trees grow with my mom,sleep in at night,0.05,0.04,4.4,0.0
46,I love watching people enjoy life,watch the flowers and the trees grow with my mom,0.01,0.05,8.8,1.0
47,cook with my roomates,go swimming at the local YMCA pool,0.02,0.05,1.1,0.0
48,voulenteer at homeless shelters with my sister,read fictional novels,0.03,0.05,4.4,0.0
49, relax with my dogs, give less needy people what they want,0.04,0.05,3.3,1.0
50, go to the movies with my friends ,Watch cooking videos on YouTube in my spare time,0.05,0.05,1.1,0.0
51,go swimming at the local YMCA pool,watch the flowers and the trees grow with my mom,0.01,0.01,1.1,1.0
52,Watch cooking videos on YouTube in my spare time,scool younger people on life with coworkers,0.02,0.01,3.3,1.0
53,Go to the skate park to practice,scool younger people on life with coworkers,0.03,0.01,1.1,1.0
54,count with my money, go to the movies with my friends ,0.04,0.01,4.4,1.0
55, relax with my dogs,watch the flowers and the trees grow with my mom,0.05,0.01,1.1,1.0
56,Watch cooking videos on YouTube in my spare time,watch different people have blessed days,0.01,0.02,8.8,1.0
57,Go to the skate park to practice,watch the flowers and the trees grow with my mom,0.02,0.02,4.4,1.0
