TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,Go on vacation with friends family or spouse,Practice sight reading piano and drum sheet music,0.01,0.01,4.4,0.0
2,Go out to the bar with friends or spouse,Light candles during a storm when the power goes out and enjoy the storm,0.02,0.01,8.8,0.0
3,Cuddle with my spouse,Spend my day doing studies on prolific,0.03,0.01,3.3,0.0
4,Spend my day doing studies on prolific,Play music together with my fellow bandmates,0.04,0.01,1.1,1.0
5,Play music together with my fellow bandmates,Play my drumset alone with headphones on to my favorite songs,0.05,0.01,1.1,0.0
6,Cuddle with my spouse,Practice sight reading piano and drum sheet music,0.01,0.02,3.3,0.0
7,Enjoy a lazy day with the lights off TV on never leave the bed,Go to the amusement park with friends,0.02,0.02,1.1,1.0
8,Play sports with my son,Sit in the dark listen to music by myself,0.03,0.02,1.1,0.0
9,Go to the amusement park with friends,Sit in the dark listen to music by myself,0.04,0.02,4.4,0.0
10,Go for walks outside in the pouring rain and get soaking wet,Play video games with son spouse friends,0.05,0.02,1.1,1.0
11,Go on vacation with friends family or spouse,Spend my day doing studies on prolific,0.01,0.03,3.3,0.0
12,Practice sight reading piano and drum sheet music,Go to concerts with loved ones,0.02,0.03,4.4,1.0
13,Play video games with son spouse friends,Sit in the dark listen to music by myself,0.03,0.03,1.1,0.0
14,Cuddle with my spouse,Go for walks outside in the pouring rain and get soaking wet,0.04,0.03,3.3,0.0
15,Curl up with a half gallon of ice cream and eat it all to myself,Go to the movies with family and friends,0.05,0.03,4.4,1.0
16,Play my drumset alone with headphones on to my favorite songs,Go to the movies with family and friends,0.01,0.04,1.1,1.0
17,Go to the fair with family and friends,Curl up with a half gallon of ice cream and eat it all to myself,0.02,0.04,8.8,0.0
18,Go for walks outside in the pouring rain and get soaking wet,Go to the amusement park with friends,0.03,0.04,3.3,1.0
19,Curl up with a half gallon of ice cream and eat it all to myself,Play music together with my fellow bandmates,0.04,0.04,3.3,1.0
20,Curl up with a half gallon of ice cream and eat it all to myself,Play sports with my son,0.05,0.04,1.1,1.0
21,Cuddle with my spouse,Sit on the porch during rain and thunderstorms with candles reading my current favorite book,0.01,0.05,8.8,0.0
22,Go to the amusement park with friends,Cuddle with my cat while watch movies,0.02,0.05,4.4,0.0
23,Cuddle with my spouse,Sit in the dark listen to music by myself,0.03,0.05,1.1,0.0
24,Go to concerts with loved ones,Cuddle with my cat while watch movies,0.04,0.05,4.4,0.0
25,Practice sight reading piano and drum sheet music,Play music together with my fellow bandmates,0.05,0.05,3.3,1.0
26,Curl up with a half gallon of ice cream and eat it all to myself,Go to the amusement park with friends,0.01,0.01,4.4,1.0
27,Go to the movies with family and friends,Spend my day doing studies on prolific,0.02,0.01,3.3,0.0
28,Go to the fair with family and friends,Sit in the dark listen to music by myself,0.03,0.01,3.3,0.0
29,Go out to the bar with friends or spouse,Curl up with a half gallon of ice cream and eat it all to myself,0.04,0.01,4.4,0.0
30,Enjoy a lazy day with the lights off TV on never leave the bed,Go to the fair with family and friends,0.05,0.01,8.8,1.0
31,Go to concerts with loved ones,Light candles during a storm when the power goes out and enjoy the storm,0.01,0.02,8.8,0.0
32,Go to the movies with family and friends,Sit on the porch during rain and thunderstorms with candles reading my current favorite book,0.02,0.02,1.1,0.0
33,Go out to the bar with friends or spouse,Go for walks outside in the pouring rain and get soaking wet,0.03,0.02,4.4,0.0
34,Spend my day doing studies on prolific,Play sports with my son,0.04,0.02,3.3,1.0
35,Go to the fair with family and friends,Cuddle with my cat while watch movies,0.05,0.02,1.1,0.0
36,Go to the movies with family and friends,Cuddle with my cat while watch movies,0.01,0.03,3.3,0.0
37,Play video games with son spouse friends,Play my drumset alone with headphones on to my favorite songs,0.02,0.03,1.1,0.0
38,Go out to the bar with friends or spouse,Spend my day doing studies on prolific,0.03,0.03,1.1,0.0
39,Sit on the porch during rain and thunderstorms with candles reading my current favorite book,Go to the amusement park with friends,0.04,0.03,3.3,1.0
40,Cuddle with my cat while watch movies,Cuddle with my spouse,0.05,0.03,4.4,1.0
41,Play my drumset alone with headphones on to my favorite songs,Play sports with my son,0.01,0.04,1.1,1.0
42,Cuddle with my cat while watch movies,Go on vacation with friends family or spouse,0.02,0.04,3.3,1.0
43,Play video games with son spouse friends,Practice sight reading piano and drum sheet music,0.03,0.04,1.1,0.0
