TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,Go to the club,Take weekend trips to nearby cities with my significant other exploring new restaurants and landmarks,0.01,0.01,4.4,1.0
2,Go to the club,Attend art exhibits and discussing the pieces with my friends at local galleries,0.02,0.01,8.8,1.0
3,Go hiking and exploring new trails with my partner on sunny saturday mornings,Go to the beach,0.03,0.01,3.3,0.0
4,Go to the theatre with my friends,Play video games,0.04,0.01,1.1,0.0
5,Play chess with my friends,Take weekend trips to nearby cities with my significant other exploring new restaurants and landmarks,0.05,0.01,1.1,1.0
6,Explore local coffee shops and trying different espresso blends,Cook and share a homemade dinner with my family in our kitchen on a cozy weekend evening,0.01,0.02,3.3,1.0
7,Explore local coffee shops and trying different espresso blends,Participate in trivia nights at a local pub with my coworkers enjoying friendly competition,0.02,0.02,1.1,1.0
8,Take weekend trips to nearby cities with my significant other exploring new restaurants and landmarks,Explore local coffee shops and trying different espresso blends,0.03,0.02,1.1,0.0
9,Volunteer together at community events with my local neighborhood group on occasional weekends,Watch movies,0.04,0.02,4.4,0.0
10,Play video games,Host game nights with friends in my living room complete with board games and snacks,0.05,0.02,1.1,1.0
11,Play basketball,Participate in trivia nights at a local pub with my coworkers enjoying friendly competition,0.01,0.03,3.3,1.0
12,Read science fiction novels in a cozy nook by the window on a crisp autumn afternoon,Attend art exhibits and discussing the pieces with my friends at local galleries,0.02,0.03,4.4,1.0
13,Read science fiction novels in a cozy nook by the window on a crisp autumn afternoon,Picnic in the park with my siblings during warm spring afternoon complete with a variety of foods and outdoor games,0.03,0.03,1.1,1.0
14,Explore local coffee shops and trying different espresso blends,Attend art exhibits and discussing the pieces with my friends at local galleries,0.04,0.03,3.3,1.0
15,Volunteer together at community events with my local neighborhood group on occasional weekends,Go to the club,0.05,0.03,4.4,0.0
16,Host game nights with friends in my living room complete with board games and snacks,Write in my journal at a quiet cafe with soft instrumental music playing in the background,0.01,0.04,1.1,0.0
17,Write in my journal at a quiet cafe with soft instrumental music playing in the background,Picnic in the park with my siblings during warm spring afternoon complete with a variety of foods and outdoor games,0.02,0.04,8.8,1.0
18,Go hiking and exploring new trails with my partner on sunny saturday mornings,Play basketball,0.03,0.04,3.3,0.0
19,Play chess with my friends,Attend art exhibits and discussing the pieces with my friends at local galleries,0.04,0.04,3.3,1.0
20,Go to the theatre with my friends,Cook new recipes and experiment with flavors in my kitchen while podcasts play softly,0.05,0.04,1.1,0.0
21,Watch movies,Cook and share a homemade dinner with my family in our kitchen on a cozy weekend evening,0.01,0.05,8.8,1.0
22,Volunteer together at community events with my local neighborhood group on occasional weekends,Read science fiction novels in a cozy nook by the window on a crisp autumn afternoon,0.02,0.05,4.4,0.0
23,Explore local coffee shops and trying different espresso blends,Host game nights with friends in my living room complete with board games and snacks,0.03,0.05,1.1,1.0
24,Go to the theatre with my friends,Go to the beach,0.04,0.05,4.4,0.0
25,Go hiking and exploring new trails with my partner on sunny saturday mornings,Watch movies,0.05,0.05,3.3,0.0
26,Picnic in the park with my siblings during warm spring afternoon complete with a variety of foods and outdoor games,Play video games,0.01,0.01,4.4,0.0
27,Picnic in the park with my siblings during warm spring afternoon complete with a variety of foods and outdoor games,Cook new recipes and experiment with flavors in my kitchen while podcasts play softly,0.02,0.01,3.3,0.0
28,Play chess with my friends,Have movie marathons and discussing the films with my study group during a rainy sunday afternoon,0.03,0.01,3.3,1.0
29,Explore local coffee shops and trying different espresso blends,Go to the theatre with my friends,0.04,0.01,4.4,1.0
30,Host game nights with friends in my living room complete with board games and snacks,Watch movies,0.05,0.01,8.8,0.0
31,Play basketball,Attend art exhibits and discussing the pieces with my friends at local galleries,0.01,0.02,8.8,1.0
32,Host game nights with friends in my living room complete with board games and snacks,Read science fiction novels in a cozy nook by the window on a crisp autumn afternoon,0.02,0.02,1.1,0.0
33,Cook new recipes and experiment with flavors in my kitchen while podcasts play softly,Go hiking and exploring new trails with my partner on sunny saturday mornings,0.03,0.02,4.4,1.0
34,Picnic in the park with my siblings during warm spring afternoon complete with a variety of foods and outdoor games,Watch movies,0.04,0.02,3.3,0.0
35,Read science fiction novels in a cozy nook by the window on a crisp autumn afternoon,Go to the theatre with my friends,0.05,0.02,1.1,1.0
36,Volunteer together at community events with my local neighborhood group on occasional weekends,Cook new recipes and experiment with flavors in my kitchen while podcasts play softly,0.01,0.03,3.3,0.0
37,Have movie marathons and discussing the films with my study group during a rainy sunday afternoon,Go to the club,0.02,0.03,1.1,0.0
38,Play chess with my friends,Picnic in the park with my siblings during warm spring afternoon complete with a variety of foods and outdoor games,0.03,0.03,1.1,1.0
39,Cook and share a homemade dinner with my family in our kitchen on a cozy weekend evening,Play basketball,0.04,0.03,3.3,0.0
40,Participate in trivia nights at a local pub with my coworkers enjoying friendly competition,Go to the club,0.05,0.03,4.4,0.0
41,Go hiking and exploring new trails with my partner on sunny saturday mornings,Go to the club,0.01,0.04,1.1,0.0
42,Play chess with my friends,Cook and share a homemade dinner with my family in our kitchen on a cozy weekend evening,0.02,0.04,3.3,1.0
43,Play basketball,Go to the theatre with my friends,0.03,0.04,1.1,1.0
44,Watch movies,Take weekend trips to nearby cities with my significant other exploring new restaurants and landmarks,0.04,0.04,1.1,1.0
45,Take weekend trips to nearby cities with my significant other exploring new restaurants and landmarks,Write in my journal at a quiet cafe with soft instrumental music playing in the background,0.05,0.04,4.4,0.0
46,Volunteer together at community events with my local neighborhood group on occasional weekends,Play basketball,0.01,0.05,8.8,0.0
47,Attend art exhibits and discussing the pieces with my friends at local galleries,Cook new recipes and experiment with flavors in my kitchen while podcasts play softly,0.02,0.05,1.1,0.0
48,Play basketball,Host game nights with friends in my living room complete with board games and snacks,0.03,0.05,4.4,1.0
49,Participate in trivia nights at a local pub with my coworkers enjoying friendly competition,Play chess with my friends,0.04,0.05,3.3,0.0
50,Go to the theatre with my friends,Watch movies,0.05,0.05,1.1,0.0
51,Go hiking and exploring new trails with my partner on sunny saturday mornings,Read science fiction novels in a cozy nook by the window on a crisp autumn afternoon,0.01,0.01,1.1,0.0
52,Cook new recipes and experiment with flavors in my kitchen while podcasts play softly,Have movie marathons and discussing the films with my study group during a rainy sunday afternoon,0.02,0.01,3.3,1.0
53,Go hiking and exploring new trails with my partner on sunny saturday mornings,Play video games,0.03,0.01,1.1,0.0
54,Go to the theatre with my friends,Play chess with my friends,0.04,0.01,4.4,0.0
55,Write in my journal at a quiet cafe with soft instrumental music playing in the background,Go to the theatre with my friends,0.05,0.01,1.1,1.0
56,Volunteer together at community events with my local neighborhood group on occasional weekends,Go to the beach,0.01,0.02,8.8,0.0
57,Play basketball,Take weekend trips to nearby cities with my significant other exploring new restaurants and landmarks,0.02,0.02,4.4,1.0
58,Play chess with my friends,Go hiking and exploring new trails with my partner on sunny saturday mornings,0.03,0.02,4.4,1.0
59,Play basketball,Have movie marathons and discussing the films with my study group during a rainy sunday afternoon,0.04,0.02,4.4,1.0
60,Play video games,Attend art exhibits and discussing the pieces with my friends at local galleries,0.05,0.02,1.1,1.0
61,Cook new recipes and experiment with flavors in my kitchen while podcasts play softly,Cook and share a homemade dinner with my family in our kitchen on a cozy weekend evening,0.01,0.03,3.3,1.0
62,Write in my journal at a quiet cafe with soft instrumental music playing in the background,Volunteer together at community events with my local neighborhood group on occasional weekends,0.02,0.03,3.3,1.0
63,Participate in trivia nights at a local pub with my coworkers enjoying friendly competition,Go to the beach,0.03,0.03,3.3,0.0
64,Go to the beach,Cook and share a homemade dinner with my family in our kitchen on a cozy weekend evening,0.04,0.03,1.1,1.0
65,Take weekend trips to nearby cities with my significant other exploring new restaurants and landmarks,Cook new recipes and experiment with flavors in my kitchen while podcasts play softly,0.05,0.03,1.1,0.0
66,Read science fiction novels in a cozy nook by the window on a crisp autumn afternoon,Have movie marathons and discussing the films with my study group during a rainy sunday afternoon,0.01,0.04,1.1,1.0
67,Play basketball,Picnic in the park with my siblings during warm spring afternoon complete with a variety of foods and outdoor games,0.02,0.04,8.8,1.0
68,Attend art exhibits and discussing the pieces with my friends at local galleries,Go to the beach,0.03,0.04,4.4,0.0
69,Explore local coffee shops and trying different espresso blends,Go hiking and exploring new trails with my partner on sunny saturday mornings,0.04,0.04,1.1,1.0
70,Play video games,Volunteer together at community events with my local neighborhood group on occasional weekends,0.05,0.04,1.1,1.0
71,Go to the club,Cook and share a homemade dinner with my family in our kitchen on a cozy weekend evening,0.01,0.05,3.3,1.0
72,Write in my journal at a quiet cafe with soft instrumental music playing in the background,Have movie marathons and discussing the films with my study group during a rainy sunday afternoon,0.02,0.05,8.8,1.0
73,Attend art exhibits and discussing the pieces with my friends at local galleries,Write in my journal at a quiet cafe with soft instrumental music playing in the background,0.03,0.05,3.3,0.0
