TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,Prep a meal as a team where one person takes on one part of the meal and the other person takes on a different part so we can come together and create a beautiful meal at the same time,Sing and dance to music throughout the apartment without any restraint,0.01,0.01,4.4,0.0
2,Stretch in my apartment when I first get up to help my shoulder and my joint issues,Sit at the beach enjoy the sun and the water and get to spend time together in hot nature away from everything for a while,0.02,0.01,8.8,1.0
3,Walk in the park with my best friend to share what has been go on in our lives and reconnect after lots of time apart,Go through old photos at night when to process my feelings and remember my experiences,0.03,0.01,3.3,0.0
4,Take the subway to manhattan to go to the farmers market and be around all of the diverse people in the city,Sing karaoke and learn more about the sounds that define who we are,0.04,0.01,1.1,1.0
5,Prep a meal as a team where one person takes on one part of the meal and the other person takes on a different part so we can come together and create a beautiful meal at the same time,Stretch in my apartment when I first get up to help my shoulder and my joint issues,0.05,0.01,1.1,0.0
6,Go through old photos at night when to process my feelings and remember my experiences,Eat new foods at a local spot in the city where someone has specialized make a certain cuisine for generations with my partner,0.01,0.02,3.3,1.0
7,Organize my closet by rearranging my belongings or getting rid of items I no longer use,Eat new foods at a local spot in the city where someone has specialized make a certain cuisine for generations with my partner,0.02,0.02,1.1,1.0
8,Sit at the beach enjoy the sun and the water and get to spend time together in hot nature away from everything for a while,Bike on a crisp fall or spring day to get out energy and discover something new in the neighborhood,0.03,0.02,1.1,0.0
9,Eat new foods at a local spot in the city where someone has specialized make a certain cuisine for generations with my partner,Stretch in my apartment when I first get up to help my shoulder and my joint issues,0.04,0.02,4.4,0.0
10,Eat new foods at a local spot in the city where someone has specialized make a certain cuisine for generations with my partner,Sing and dance to music throughout the apartment without any restraint,0.05,0.02,1.1,0.0
11,Stretch in my apartment when I first get up to help my shoulder and my joint issues,Play fetch with a dog and get to play with animals while shar in the fact we care deeply for life around us ,0.01,0.03,3.3,1.0
12,Browse items at an antique shop and take the time to share experiences that come up when we see certain items,Go to the park to write in my journal about my dreams and current goals,0.02,0.03,4.4,0.0
