TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,sitting on the couch with a cozy blanket and a good book,going for a walk with my family,0.01,0.01,4.4,1.0
2,going to the movies with my family,Redecorating my living room,0.02,0.01,8.8,0.0
3,going bowling with my family ,sitting on the couch with a cozy blanket and a good book,0.03,0.01,3.3,0.0
4,giving myself a facial ,going out to eat with my partner and kids ,0.04,0.01,1.1,1.0
5,going to the park with my family,giving myself a facial ,0.05,0.01,1.1,0.0
6,taking a nap,going bowling with my family ,0.01,0.02,3.3,1.0
7,doing my nails,going out to eat with my partner and kids ,0.02,0.02,1.1,1.0
8,planting flowers in the garden,going to explore a new city with my kids and my partner,0.03,0.02,1.1,1.0
9,planting flowers in the garden,going to the park with my family,0.04,0.02,4.4,1.0
10,Painting with acrylic paints,going out to eat with my partner and kids ,0.05,0.02,1.1,1.0
11,going for a walk with my family,giving myself a facial ,0.01,0.03,3.3,0.0
12,sitting on the couch with a cozy blanket and a good book,going to the lake to go swimming with my family,0.02,0.03,4.4,1.0
13,going for a walk with my family,planting flowers in the garden,0.03,0.03,1.1,0.0
14,Redecorating my living room,having a movie night with my family,0.04,0.03,3.3,1.0
15,going to the movies with my family,messing around with tarot cards,0.05,0.03,4.4,0.0
16,going bowling with my family ,giving myself a facial ,0.01,0.04,1.1,0.0
17,scrolling on tiktok,going for a walk with my family,0.02,0.04,8.8,1.0
18,going hiking with my family ,doing my nails,0.03,0.04,3.3,0.0
19,going hiking with my family ,messing around with tarot cards,0.04,0.04,3.3,0.0
20,going to the park with my family,scrolling on tiktok,0.05,0.04,1.1,0.0
21,going for a walk with my family,doing my nails,0.01,0.05,8.8,0.0
22,going to the park with my family,messing around with tarot cards,0.02,0.05,4.4,0.0
23,going out to eat with my partner and kids ,taking a nap,0.03,0.05,1.1,0.0
24,Binging a good tv show ,going to the lake to go swimming with my family,0.04,0.05,4.4,1.0
25,messing around with tarot cards,going golfing with my family ,0.05,0.05,3.3,1.0
26,going to the lake to go swimming with my family,doing my nails,0.01,0.01,4.4,0.0
27,going hiking with my family ,planting flowers in the garden,0.02,0.01,3.3,0.0
