TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_25.jpeg,did not like,3.613205605
2,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_21.jpeg,liked,4.988446431
3,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_12.jpeg,did not like,3.470791822
4,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_15.jpeg,did not like,3.820572462
5,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_24.jpeg,did not like,2.455989137
6,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_9.jpeg,did not like,3.79605092
7,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_10.jpeg,did not like,3.562416326
8,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_17.jpeg,liked,2.843822497
9,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_1.jpeg,did not like,3.546495948
10,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_22.jpeg,liked,1.672012706
11,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_13.jpeg,liked,4.942172136
12,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_11.jpeg,liked,2.50187214
13,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_23.jpeg,did not like,2.071164779
14,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_3.jpeg,did not like,5.336503566
15,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_16.jpeg,did not like,2.642157193
16,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_2.jpeg,did not like,4.456234322
17,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_8.jpeg,liked,4.438512181
18,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_4.jpeg,did not like,2.682944783
19,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_19.jpeg,did not like,4.51984296
20,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_18.jpeg,did not like,3.195382774
21,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_7.jpeg,liked,1.779333479
22,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_6.jpeg,did not like,4.312468682
23,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_14.jpeg,did not like,4.940433059
