TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_14.jpeg,did not like,3.613205605
2,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_12.jpeg,did not like,4.988446431
3,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_4.jpeg,did not like,3.470791822
4,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_16.jpeg,did not like,3.820572462
5,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_7.jpeg,did not like,2.455989137
6,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_21.jpeg,liked,3.79605092
7,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_19.jpeg,did not like,3.562416326
8,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_6.jpeg,did not like,2.843822497
9,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_23.jpeg,did not like,3.546495948
10,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_11.jpeg,liked,1.672012706
11,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_5.jpeg,liked,4.942172136
12,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_20.jpeg,did not like,2.50187214
13,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_2.jpeg,did not like,2.071164779
14,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_8.jpeg,did not like,5.336503566
15,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_17.jpeg,did not like,2.642157193
16,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_15.jpeg,liked,4.456234322
17,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_10.jpeg,did not like,4.438512181
18,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_22.jpeg,liked,2.682944783
19,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_3.jpeg,did not like,4.51984296
20,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_13.jpeg,liked,3.195382774
21,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_9.jpeg,liked,1.779333479
22,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_25.jpeg,did not like,4.312468682
23,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_18.jpeg,did not like,4.940433059
24,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_1.jpeg,did not like,2.7105123
25,Alex,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_24.jpeg,did not like,3.602308302
26,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_14.jpeg,liked,4.106391878
27,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_12.jpeg,liked,3.799433026
28,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_15.jpeg,did not like,5.246980764
29,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_2.jpeg,did not like,3.30081769
30,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_3.jpeg,liked,1.661473164
31,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_17.jpeg,did not like,3.613205605
32,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_25.jpeg,did not like,4.988446431
33,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_23.jpeg,did not like,3.470791822
34,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_21.jpeg,liked,3.820572462
35,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_24.jpeg,did not like,2.455989137
36,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_20.jpeg,did not like,3.79605092
37,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_22.jpeg,liked,3.562416326
38,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_6.jpeg,did not like,2.843822497
39,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_10.jpeg,did not like,3.546495948
40,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_19.jpeg,did not like,1.672012706
41,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_4.jpeg,did not like,4.942172136
42,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_13.jpeg,did not like,2.50187214
43,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_9.jpeg,did not like,2.071164779
44,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_7.jpeg,did not like,5.336503566
45,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_1.jpeg,did not like,2.642157193
46,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_18.jpeg,liked,4.456234322
47,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_5.jpeg,liked,4.438512181
48,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_8.jpeg,did not like,2.682944783
49,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_11.jpeg,did not like,4.51984296
50,Riley,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_16.jpeg,did not like,3.195382774
51,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_20.jpeg,did not like,1.779333479
52,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_5.jpeg,liked,4.312468682
53,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_21.jpeg,liked,4.940433059
54,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_18.jpeg,did not like,2.7105123
55,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_13.jpeg,did not like,3.602308302
56,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_4.jpeg,liked,4.106391878
57,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_2.jpeg,liked,3.799433026
58,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_10.jpeg,did not like,5.246980764
59,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_15.jpeg,liked,3.30081769
60,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_25.jpeg,did not like,1.661473164
61,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_24.jpeg,liked,3.613205605
62,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_23.jpeg,liked,4.988446431
63,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_17.jpeg,liked,3.470791822
64,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_7.jpeg,did not like,3.820572462
65,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_6.jpeg,did not like,2.455989137
66,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_11.jpeg,liked,3.79605092
67,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_1.jpeg,liked,3.562416326
68,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_9.jpeg,liked,2.843822497
69,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_14.jpeg,liked,3.546495948
70,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_22.jpeg,liked,1.672012706
71,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_16.jpeg,liked,4.942172136
72,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_12.jpeg,liked,2.50187214
73,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_8.jpeg,liked,2.071164779
74,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_3.jpeg,liked,5.336503566
75,Sam,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_19.jpeg,liked,2.642157193
76,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_9.jpeg,liked,4.456234322
77,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_22.jpeg,liked,4.438512181
78,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_25.jpeg,liked,2.682944783
79,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_13.jpeg,did not like,4.51984296
80,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_11.jpeg,did not like,3.195382774
81,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_21.jpeg,liked,1.779333479
82,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_23.jpeg,liked,4.312468682
83,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_15.jpeg,liked,4.940433059
84,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_18.jpeg,liked,2.7105123
85,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_2.jpeg,did not like,3.602308302
86,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_12.jpeg,liked,4.106391878
87,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_8.jpeg,liked,3.799433026
88,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_5.jpeg,liked,5.246980764
89,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_24.jpeg,liked,3.30081769
90,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_16.jpeg,liked,1.661473164
91,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_4.jpeg,liked,3.613205605
92,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_6.jpeg,liked,4.988446431
93,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_10.jpeg,liked,3.470791822
94,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_19.jpeg,did not like,3.820572462
95,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_14.jpeg,liked,2.455989137
96,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_3.jpeg,did not like,3.79605092
97,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_20.jpeg,did not like,3.562416326
98,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_7.jpeg,liked,2.843822497
99,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_17.jpeg,liked,3.546495948
100,Charlie,Acc,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_1.jpeg,did not like,1.672012706
