TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,Browse halloween decorations with my daughter,Do yoga out on the porch on a sunny day,0.01,0.01,4.4,0.0
2,Get Starbucks with my daughter after Pre-K,Do my makeup or hair,0.02,0.01,8.8,0.0
3,Work out just before lunch,Attend fall festivals with my kids and husband,0.03,0.01,3.3,1.0
4,Go to the theatre with my best friend,Read by the window on a rainy day,0.04,0.01,1.1,0.0
5,Get Starbucks with my daughter after Pre-K,Read by the window on a rainy day,0.05,0.01,1.1,0.0
6,Get Starbucks with my daughter after Pre-K,Play video games when everyone is asleep,0.01,0.02,3.3,0.0
7,Do my makeup or hair,Go to lunch with my husband and daughter on Fridays,0.02,0.02,1.1,1.0
8,Do surveys online in the morning,shop with my mom,0.03,0.02,1.1,1.0
9,Do yoga out on the porch on a sunny day,Travel on the weekend with my family,0.04,0.02,4.4,1.0
10,Get Starbucks with my daughter after Pre-K,Reorganize my makeup drawers on sundays,0.05,0.02,1.1,0.0
11,Reorganize my makeup drawers on sundays,Attend concerts with my friends,0.01,0.03,3.3,1.0
12,Travel on the weekend with my family,Go to target to buy self care items on fridays,0.02,0.03,4.4,0.0
13,Do yoga out on the porch on a sunny day,Get Starbucks with my daughter after Pre-K,0.03,0.03,1.1,1.0
14,Do my makeup or hair,Go to the theatre with my best friend,0.04,0.03,3.3,1.0
15,Attend concerts with my friends,Read by the window on a rainy day,0.05,0.03,4.4,0.0
16,Write by the fireside late at night,Attend fall festivals with my kids and husband,0.01,0.04,1.1,1.0
17,Go to target to buy self care items on fridays,Get coffee with friends in the mornings,0.02,0.04,8.8,1.0
18,Work out just before lunch,Get coffee with friends in the mornings,0.03,0.04,3.3,1.0
19,Take naps when my kids are at school,Go to the theatre with my best friend,0.04,0.04,3.3,1.0
20,shop with my mom,Play video games when everyone is asleep,0.05,0.04,1.1,0.0
21,Do surveys online in the morning,Get Starbucks with my daughter after Pre-K,0.01,0.05,8.8,1.0
22,Read by the window on a rainy day,Browse halloween decorations with my daughter,0.02,0.05,4.4,1.0
23,Watch movies with my husband after the kids have gone to bed ,Do surveys online in the morning,0.03,0.05,1.1,0.0
24,Watch movies with my husband after the kids have gone to bed ,Read by the window on a rainy day,0.04,0.05,4.4,0.0
25,Play video games when everyone is asleep,Watch movies with my husband after the kids have gone to bed ,0.05,0.05,3.3,1.0
26,Work out just before lunch,Go to lunch with my husband and daughter on Fridays,0.01,0.01,4.4,1.0
27,Reorganize my makeup drawers on sundays,Go to the theatre with my best friend,0.02,0.01,3.3,1.0
28,Attend fall festivals with my kids and husband,Read by the window on a rainy day,0.03,0.01,3.3,0.0
29,Write by the fireside late at night,Watch movies with my husband after the kids have gone to bed ,0.04,0.01,4.4,1.0
30,Read by the window on a rainy day,shop with my mom,0.05,0.01,8.8,1.0
31,Write by the fireside late at night,Go to the theatre with my best friend,0.01,0.02,8.8,1.0
32,Read by the window on a rainy day,Travel on the weekend with my family,0.02,0.02,1.1,1.0
33,Travel on the weekend with my family,Write by the fireside late at night,0.03,0.02,4.4,0.0
34,Reorganize my makeup drawers on sundays,Travel on the weekend with my family,0.04,0.02,3.3,1.0
35,Attend concerts with my friends,Take naps when my kids are at school,0.05,0.02,1.1,0.0
36,Browse halloween decorations with my daughter,Do surveys online in the morning,0.01,0.03,3.3,0.0
37,Attend fall festivals with my kids and husband,Take naps when my kids are at school,0.02,0.03,1.1,0.0
38,Get coffee with friends in the mornings,Play video games when everyone is asleep,0.03,0.03,1.1,0.0
39,Reorganize my makeup drawers on sundays,Go to lunch with my husband and daughter on Fridays,0.04,0.03,3.3,1.0
40,Get coffee with friends in the mornings,Do yoga out on the porch on a sunny day,0.05,0.03,4.4,0.0
41,Attend fall festivals with my kids and husband,Play video games when everyone is asleep,0.01,0.04,1.1,0.0
42,Attend concerts with my friends,Go to target to buy self care items on fridays,0.02,0.04,3.3,0.0
43,Go to lunch with my husband and daughter on Fridays,Play video games when everyone is asleep,0.03,0.04,1.1,0.0
