TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,Walk through the neighborhood with my dogs and family,Swim in the pool on a cloudy day,0.01,0.01,4.4,0.0
2,Watch star wars movies on my couch on a rainy day,Watch scary movies in october with my significant other,0.02,0.01,8.8,1.0
3,Work late on a weeknight with my significant other,Drink a strong cup of coffee first thing in the morning,0.03,0.01,3.3,0.0
4,Watch football all day on sunday with my friends,Bake myself some fresh chocolate chip cookies,0.04,0.01,1.1,0.0
5,Bake myself some fresh chocolate chip cookies,Drink beers at the local brewery with my friends,0.05,0.01,1.1,1.0
6,Go with my family to the zoo on a Saturday morning,Scroll tiktok on my phone at the end of a long day,0.01,0.02,3.3,0.0
7,Bake myself some fresh chocolate chip cookies,Work late on a weeknight with my significant other,0.02,0.02,1.1,1.0
8,Watch football all day on sunday with my friends,Browse amazon for impulse purchases after I've gotten paid,0.03,0.02,1.1,0.0
9,Walk through the neighborhood with my dogs and family,Bake myself some fresh chocolate chip cookies,0.04,0.02,4.4,0.0
10,Swim in the pool on a cloudy day,Go out to dinner with my significant other on a friday night,0.05,0.02,1.1,1.0
11,Scroll tiktok on my phone at the end of a long day,Work late on a weeknight with my significant other,0.01,0.03,3.3,1.0
12,Go on a coffee run to Starbucks,Walk through the neighborhood with my dogs and family,0.02,0.03,4.4,1.0
13,Go out to dinner with my significant other on a friday night,Watch star wars movies on my couch on a rainy day,0.03,0.03,1.1,0.0
14,Go to target with my family on sundays,Go for a run in my neighborhood on a cloudy morning,0.04,0.03,3.3,0.0
15,Swim in the pool on a cloudy day,Work late on a weeknight with my significant other,0.05,0.03,4.4,1.0
16,Go out to dinner with my significant other on a friday night,Clean up the house on an early sunday morning,0.01,0.04,1.1,0.0
17,Go out to dinner with my significant other on a friday night,Scroll tiktok on my phone at the end of a long day,0.02,0.04,8.8,0.0
18,Write in my journal about the things that I've done this week,Go to target with my family on sundays,0.03,0.04,3.3,1.0
19,Go on a coffee run to Starbucks,Watch football all day on sunday with my friends,0.04,0.04,3.3,1.0
20,Walk through the neighborhood with my dogs and family,Write in my journal about the things that I've done this week,0.05,0.04,1.1,0.0
21,Cook a nice dinner with my family on a sunday night,Bake myself some fresh chocolate chip cookies,0.01,0.05,8.8,0.0
22,Browse amazon for impulse purchases after I've gotten paid,Go to target with my family on sundays,0.02,0.05,4.4,1.0
23,Go on a coffee run to Starbucks,Work late on a weeknight with my significant other,0.03,0.05,1.1,1.0
24,Browse amazon for impulse purchases after I've gotten paid,Watch scary movies in october with my significant other,0.04,0.05,4.4,1.0
