TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,learn more about my religion in a group,Start a new project,0.01,0.01,4.4,0.0
2,Have a study session with my gf,Play video games,0.02,0.01,8.8,0.0
3,cook outside,Play league soccer on sundays with my team,0.03,0.01,3.3,1.0
4,Watch the sunset,Drink with friends at a party,0.04,0.01,1.1,1.0
5,Do exercise,Have a study session with my gf,0.05,0.01,1.1,1.0
6,Watch tv shows,Drink with friends at a party,0.01,0.02,3.3,1.0
7,cook outside,Do new activities with people,0.02,0.02,1.1,1.0
8,Drink with friends at a party,Play soccer,0.03,0.02,1.1,0.0
9,Do new activities with people,Watch tv shows,0.04,0.02,4.4,0.0
10,Go on a date with significant other,Watch tv shows,0.05,0.02,1.1,0.0
11,Watch the sunset,Do new activities with people,0.01,0.03,3.3,1.0
12,Have a study session with my gf,Watch tv shows,0.02,0.03,4.4,0.0
13,Play league soccer on sundays with my team,Buy new items,0.03,0.03,1.1,0.0
14,Do a coding project,Watch a movie with my gf on the weekend,0.04,0.03,3.3,1.0
15,Watch the sunset,Go to mexico with family in vacations,0.05,0.03,4.4,1.0
16,Do exercise,Watch a movie with my gf on the weekend,0.01,0.04,1.1,1.0
17,learn more about my religion in a group,Do a coding project,0.02,0.04,8.8,0.0
18,Have a study session with my gf,Start a new project,0.03,0.04,3.3,0.0
19,Watch a movie with my gf on the weekend,Start a new project,0.04,0.04,3.3,0.0
20,Do a coding project,Go to mexico with family in vacations,0.05,0.04,1.1,1.0
21,Play league soccer on sundays with my team,Watch the sunset,0.01,0.05,8.8,0.0
22,Do exercise,learn more about my religion in a group,0.02,0.05,4.4,1.0
23,Go to mexico with family in vacations,Do exercise,0.03,0.05,1.1,0.0
24,Learn a new skill,Watch a movie with my gf on the weekend,0.04,0.05,4.4,1.0
25,Play soccer,learn more about my religion in a group,0.05,0.05,3.3,1.0
26,Learn a new skill,Have video game night with friends,0.01,0.01,4.4,1.0
27,Have video game night with friends,Watch the sunset,0.02,0.01,3.3,0.0
28,Do a coding project,Have dinner on sunday nights with family,0.03,0.01,3.3,1.0
29,Play league soccer on sundays with my team,Learn a new skill,0.04,0.01,4.4,0.0
30,Play soccer,Go on a date with significant other,0.05,0.01,8.8,1.0
31,Have video game night with friends,Watch tv shows,0.01,0.02,8.8,0.0
