TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,watch tv or a movie with spouse,listen to music while crocheting,0.01,0.01,4.4,0.0
2,work on homework ,sleep with my spouse,0.02,0.01,8.8,1.0
3,talk or chat while helping a friend,work on homework ,0.03,0.01,3.3,0.0
4,go to a musical with friends,take a shower with an incense lit,0.04,0.01,1.1,0.0
5,eat food in a resturant with friends,play games on my phone,0.05,0.01,1.1,0.0
6,go to see a movie with friends,listen to music while crocheting,0.01,0.02,3.3,0.0
7,work on homework ,eat food in a resturant with friends,0.02,0.02,1.1,1.0
8,eat food in a resturant with friends,make slime and play with it till my hands are dry,0.03,0.02,1.1,0.0
9,play video games on my ps5,study with friends,0.04,0.02,4.4,1.0
10,play video games on my ps5,watch tiktoks together with husband,0.05,0.02,1.1,1.0
11,sleep with my spouse,do surveys and studies for money,0.01,0.03,3.3,0.0
12,talk or chat while helping a friend,listen to music while crocheting,0.02,0.03,4.4,0.0
13,talk or chat while helping a friend,play games on my phone,0.03,0.03,1.1,0.0
14,eat food in a resturant with friends,do surveys and studies for money,0.04,0.03,3.3,0.0
15,do surveys and studies for money,watch tiktoks together with husband,0.05,0.03,4.4,1.0
16,play games on my phone,sleep with my spouse,0.01,0.04,1.1,1.0
17,go to see a movie with friends,work on homework ,0.02,0.04,8.8,0.0
18,sleep with my spouse,make stuffies with yarn,0.03,0.04,3.3,0.0
19,go to see a movie with friends,play video games on my ps5,0.04,0.04,3.3,0.0
20,watch musicals like rent and les miserables,sleep with my spouse,0.05,0.04,1.1,1.0
21,work on homework ,go to a musical with friends,0.01,0.05,8.8,1.0
22,play video games on my ps5,talk or chat while helping a friend,0.02,0.05,4.4,1.0
23,do surveys and studies for money,study with friends,0.03,0.05,1.1,1.0
24,go to a musical with friends,play games on my phone,0.04,0.05,4.4,0.0
25,take a shower with an incense lit,talk or chat while helping a friend,0.05,0.05,3.3,1.0
26,make slime and play with it till my hands are dry,order out with husband,0.01,0.01,4.4,1.0
27,take a shower with an incense lit,complain about something that happened that day with coworkers or spouse,0.02,0.01,3.3,1.0
28,play video games on my ps5,complain about something that happened that day with coworkers or spouse,0.03,0.01,3.3,1.0
29,study with friends,take a shower with an incense lit,0.04,0.01,4.4,0.0
30,play games on my phone,go to see a movie with friends,0.05,0.01,8.8,1.0
31,make slime and play with it till my hands are dry,watch tiktoks together with husband,0.01,0.02,8.8,1.0
32,sleep with my spouse,take a shower with an incense lit,0.02,0.02,1.1,0.0
33,read any books,talk or chat while helping a friend,0.03,0.02,4.4,1.0
34,talk or chat while helping a friend,watch musicals like rent and les miserables,0.04,0.02,3.3,0.0
35,play video games on my ps5,go to a musical with friends,0.05,0.02,1.1,1.0
36,watch tv or a movie with spouse,take a shower with an incense lit,0.01,0.03,3.3,0.0
37,eat food in a resturant with friends,read any books,0.02,0.03,1.1,0.0
38,complain about something that happened that day with coworkers or spouse,make stuffies with yarn,0.03,0.03,1.1,0.0
39,talk or chat while helping a friend,make stuffies with yarn,0.04,0.03,3.3,0.0
40,complain about something that happened that day with coworkers or spouse,work on homework ,0.05,0.03,4.4,0.0
41,watch musicals like rent and les miserables,go to see a movie with friends,0.01,0.04,1.1,1.0
42,go to see a movie with friends,make slime and play with it till my hands are dry,0.02,0.04,3.3,0.0
43,do surveys and studies for money,talk or chat while helping a friend,0.03,0.04,1.1,1.0
44,sleep with my spouse,listen to music while crocheting,0.04,0.04,1.1,0.0
45,listen to music while crocheting,complain about something that happened that day with coworkers or spouse,0.05,0.04,4.4,1.0
46,work on homework ,watch tv or a movie with spouse,0.01,0.05,8.8,1.0
47,go to see a movie with friends,make stuffies with yarn,0.02,0.05,1.1,0.0
48,take a shower with an incense lit,watch tiktoks together with husband,0.03,0.05,4.4,1.0
49,go to see a movie with friends,do surveys and studies for money,0.04,0.05,3.3,0.0
50,do surveys and studies for money,order out with husband,0.05,0.05,1.1,1.0
51,play video games on my ps5,watch tv or a movie with spouse,0.01,0.01,1.1,1.0
52,sleep with my spouse,read any books,0.02,0.01,3.3,0.0
53,read any books,watch tiktoks together with husband,0.03,0.01,1.1,1.0
54,eat food in a resturant with friends,watch musicals like rent and les miserables,0.04,0.01,4.4,0.0
55,watch tiktoks together with husband,work on homework ,0.05,0.01,1.1,0.0
56,make slime and play with it till my hands are dry,talk or chat while helping a friend,0.01,0.02,8.8,1.0
57,study with friends,make slime and play with it till my hands are dry,0.02,0.02,4.4,0.0
58,make stuffies with yarn,go to a musical with friends,0.03,0.02,4.4,1.0
59,study with friends,make stuffies with yarn,0.04,0.02,4.4,0.0
60,make stuffies with yarn,watch tiktoks together with husband,0.05,0.02,1.1,1.0
61,go to see a movie with friends,read any books,0.01,0.03,3.3,0.0
62,make slime and play with it till my hands are dry,watch tv or a movie with spouse,0.02,0.03,3.3,1.0
63,do surveys and studies for money,go to a musical with friends,0.03,0.03,3.3,1.0
64,watch musicals like rent and les miserables,watch tv or a movie with spouse,0.04,0.03,1.1,1.0
65,complain about something that happened that day with coworkers or spouse,watch musicals like rent and les miserables,0.05,0.03,1.1,0.0
66,do surveys and studies for money,watch tv or a movie with spouse,0.01,0.04,1.1,1.0
67,order out with husband,take a shower with an incense lit,0.02,0.04,8.8,0.0
68,do surveys and studies for money,complain about something that happened that day with coworkers or spouse,0.03,0.04,4.4,1.0
69,make stuffies with yarn,watch tv or a movie with spouse,0.04,0.04,1.1,1.0
70,go to a musical with friends,listen to music while crocheting,0.05,0.04,1.1,0.0
71,study with friends,read any books,0.01,0.05,3.3,0.0
72,go to see a movie with friends,take a shower with an incense lit,0.02,0.05,8.8,0.0
73,study with friends,play games on my phone,0.03,0.05,3.3,0.0
74,watch tiktoks together with husband,play games on my phone,0.04,0.05,4.4,0.0
75,watch musicals like rent and les miserables,study with friends,0.05,0.05,3.3,1.0
76,go to a musical with friends,watch musicals like rent and les miserables,0.01,0.01,1.1,0.0
77,watch musicals like rent and les miserables,order out with husband,0.02,0.01,8.8,1.0
78,listen to music while crocheting,order out with husband,0.03,0.01,1.1,1.0
79,read any books,complain about something that happened that day with coworkers or spouse,0.04,0.01,1.1,1.0
80,make slime and play with it till my hands are dry,go to a musical with friends,0.05,0.01,4.4,1.0
81,order out with husband,make stuffies with yarn,0.01,0.02,3.3,0.0
82,order out with husband,play video games on my ps5,0.02,0.02,4.4,0.0
83,play video games on my ps5,sleep with my spouse,0.03,0.02,1.1,1.0
84,eat food in a resturant with friends,listen to music while crocheting,0.04,0.02,3.3,0.0
85,watch tiktoks together with husband,listen to music while crocheting,0.05,0.02,3.3,0.0
86,listen to music while crocheting,study with friends,0.01,0.03,1.1,1.0
87,complain about something that happened that day with coworkers or spouse,make slime and play with it till my hands are dry,0.02,0.03,4.4,0.0
88,make stuffies with yarn,eat food in a resturant with friends,0.03,0.03,1.1,1.0
89,play games on my phone,complain about something that happened that day with coworkers or spouse,0.04,0.03,3.3,1.0
90,make slime and play with it till my hands are dry,sleep with my spouse,0.05,0.03,8.8,1.0
91,read any books,order out with husband,0.01,0.04,3.3,1.0
92,watch tiktoks together with husband,watch musicals like rent and les miserables,0.02,0.04,8.8,0.0
93,work on homework ,study with friends,0.03,0.04,1.1,1.0
94,take a shower with an incense lit,eat food in a resturant with friends,0.04,0.04,4.4,1.0
95,go to a musical with friends,read any books,0.05,0.04,4.4,0.0
96,play games on my phone,order out with husband,0.01,0.05,3.3,1.0
97,order out with husband,work on homework ,0.02,0.05,1.1,0.0
98,eat food in a resturant with friends,play video games on my ps5,0.03,0.05,1.1,0.0
99,read any books,watch tv or a movie with spouse,0.04,0.05,3.3,1.0
100,watch tv or a movie with spouse,play games on my phone,0.05,0.05,4.4,0.0
