TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,Listen to ironmouse songs and covers,Go hiking with family,0.01,0.01,4.4,1.0
2,Watch anime,Go hiking with family,0.02,0.01,8.8,1.0
3,celebrate occasions with family,Make coffee,0.03,0.01,3.3,0.0
4,Watch YouTube videos,Go to the library with my sister,0.04,0.01,1.1,1.0
5,Watch Football with family,Relax in a hammock,0.05,0.01,1.1,0.0
6,Watch YouTube videos,Play video games with friends and family,0.01,0.02,3.3,1.0
7,Bake something,Go to the library with my sister,0.02,0.02,1.1,1.0
8,Go to the library with my sister,Read a book on the beach,0.03,0.02,1.1,0.0
9,Make coffee,Go on a walk with my family,0.04,0.02,4.4,1.0
10,Relax in a hammock,Play video games with friends and family,0.05,0.02,1.1,1.0
11,Watch league of legends esports,See a movie with friends,0.01,0.03,3.3,1.0
12,Watch YouTube videos,Try a new restaurant with family,0.02,0.03,4.4,1.0
13,Go on a walk with my family,Bake something,0.03,0.03,1.1,0.0
14,See a movie with friends,Watch YouTube videos,0.04,0.03,3.3,0.0
15,Watch league of legends esports,Watch awards shows with family,0.05,0.03,4.4,1.0
16,Watch anime,See a movie with friends,0.01,0.04,1.1,1.0
17,Watch awards shows with family,Watch YouTube videos,0.02,0.04,8.8,0.0
18,Take a bubble bath,See a movie with friends,0.03,0.04,3.3,1.0
19,Relax in a hammock,Go hiking with family,0.04,0.04,3.3,1.0
20,celebrate occasions with family,Play video games,0.05,0.04,1.1,0.0
21,Make coffee,Play video games with friends and family,0.01,0.05,8.8,1.0
22,Bake something,celebrate occasions with family,0.02,0.05,4.4,1.0
23,Watch anime,Try a new restaurant with family,0.03,0.05,1.1,1.0
24,Watch anime,Play video games with friends and family,0.04,0.05,4.4,1.0
25,Go hiking with family,Watch YouTube videos,0.05,0.05,3.3,0.0
26,Go to afternoon tea with family,Watch anime,0.01,0.01,4.4,0.0
27,Take a bubble bath,Go to the library with my sister,0.02,0.01,3.3,1.0
28,See a movie with friends,Relax in a hammock,0.03,0.01,3.3,0.0
29,Read a book on the beach,Go to afternoon tea with family,0.04,0.01,4.4,1.0
30,Watch awards shows with family,Play video games,0.05,0.01,8.8,0.0
31,Take a bubble bath,Go hiking with family,0.01,0.02,8.8,1.0
32,Watch league of legends esports,Go hiking with family,0.02,0.02,1.1,1.0
33,Bake something,Go hiking with family,0.03,0.02,4.4,1.0
34,Relax in a hammock,celebrate occasions with family,0.04,0.02,3.3,1.0
35,Listen to ironmouse songs and covers,Go to afternoon tea with family,0.05,0.02,1.1,1.0
36,celebrate occasions with family,Watch anime,0.01,0.03,3.3,0.0
37,Try a new restaurant with family,Read a book on the beach,0.02,0.03,1.1,0.0
38,Watch Football with family,Listen to ironmouse songs and covers,0.03,0.03,1.1,0.0
39,See a movie with friends,Make coffee,0.04,0.03,3.3,0.0
40,Go hiking with family,Make coffee,0.05,0.03,4.4,0.0
41,Play video games with friends and family,Listen to ironmouse songs and covers,0.01,0.04,1.1,0.0
42,celebrate occasions with family,Listen to ironmouse songs and covers,0.02,0.04,3.3,0.0
43,Read a book on the beach,Watch Football with family,0.03,0.04,1.1,1.0
44,Bake something,Go to afternoon tea with family,0.04,0.04,1.1,1.0
45,Play video games with friends and family,Watch league of legends esports,0.05,0.04,4.4,0.0
46,Try a new restaurant with family,Relax in a hammock,0.01,0.05,8.8,0.0
47,Take a bubble bath,Watch awards shows with family,0.02,0.05,1.1,1.0
48,Go to afternoon tea with family,Watch YouTube videos,0.03,0.05,4.4,0.0
49,Play video games,Try a new restaurant with family,0.04,0.05,3.3,1.0
50,Watch YouTube videos,Go on a walk with my family,0.05,0.05,1.1,1.0
51,Play video games,Play video games with friends and family,0.01,0.01,1.1,1.0
52,Go to afternoon tea with family,Take a bubble bath,0.02,0.01,3.3,0.0
53,Play video games with friends and family,Read a book on the beach,0.03,0.01,1.1,0.0
54,Go to afternoon tea with family,Make coffee,0.04,0.01,4.4,0.0
55,Go on a walk with my family,Read a book on the beach,0.05,0.01,1.1,0.0
56,Watch Football with family,Play video games,0.01,0.02,8.8,0.0
57,Play video games with friends and family,Take a bubble bath,0.02,0.02,4.4,0.0
