TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,Sketch or create art in my sketchbook while relaxing on the couch.,Play boardgames with my significant other,0.01,0.01,4.4,1.0
2,Play video games against my sister and friends,Taking my dog cooper out for a walk to go play in the park,0.02,0.01,8.8,0.0
3,Play video games against my sister and friends,Play my casino games while laying in bed.,0.03,0.01,3.3,0.0
4,Relax in the pool late at night with my husband,Binge watch my favorite tv series when its raining outside,0.04,0.01,1.1,0.0
5,Play video games against my sister and friends,Going to the beach to lay out and swim on a sunny beautiful day.,0.05,0.01,1.1,0.0
6,Drive around with no destination with my husband Dylan,Sketch or create art in my sketchbook while relaxing on the couch.,0.01,0.02,3.3,0.0
7,Play my casino games while laying in bed.,Go to rock concerts with my dad,0.02,0.02,1.1,1.0
8,Lay in the hammock and looking up at the clouds on a nice windy day,Cook dinner with my pappy,0.03,0.02,1.1,1.0
9,Look up at the stars late at night searching for ufos or shooting stars,Cook dinner with my pappy,0.04,0.02,4.4,1.0
10,Cook dinner with my pappy,Drive in the car and enjoying the radio blaring and wind in my hair,0.05,0.02,1.1,0.0
11,Taking my dog cooper out for a walk to go play in the park,Go to rock concerts with my dad,0.01,0.03,3.3,1.0
12,Relax in the pool late at night with my husband,Going to the beach to lay out and swim on a sunny beautiful day.,0.02,0.03,4.4,0.0
13,Look up at the stars late at night searching for ufos or shooting stars,Drive around with no destination with my husband Dylan,0.03,0.03,1.1,1.0
14,Watch Jerry Springer with my sister,Lay in the hammock and looking up at the clouds on a nice windy day,0.04,0.03,3.3,0.0
15,Play my casino games while laying in bed.,Go to the casino with my friend James,0.05,0.03,4.4,1.0
16,Drive in the car and enjoying the radio blaring and wind in my hair,Watch Jerry Springer with my sister,0.01,0.04,1.1,1.0
17,Relax in the pool late at night with my husband,Sing loudly in the shower and feeling like I am Americas next Idol,0.02,0.04,8.8,0.0
18,Going to the beach to lay out and swim on a sunny beautiful day.,hang out with my girlfriend and gossiping about life,0.03,0.04,3.3,1.0
19,Road trip to California with my best friend and brother in law,Play my casino games while laying in bed.,0.04,0.04,3.3,0.0
20,Road trip to California with my best friend and brother in law,Drive in the car and enjoying the radio blaring and wind in my hair,0.05,0.04,1.1,0.0
