TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,Cook a healthy meal for my family,Go out to eat with my husband,0.01,0.01,4.4,1.0
2,Go boating with my parents,Read books in bed before sleeping,0.02,0.01,8.8,0.0
3,Watch hulu in the evening,Help my children with their homework,0.03,0.01,3.3,1.0
4,Take bike rides around the neighborhood with my kids,Read books in bed before sleeping,0.04,0.01,1.1,0.0
5,Go on fall hikes with my family,Walk around the neighborhood,0.05,0.01,1.1,0.0
6,Go on fall hikes with my family,Plan vacations to disney world,0.01,0.02,3.3,0.0
7,Cook a healthy meal for my family,Help my children with their homework,0.02,0.02,1.1,1.0
8,Read childrens books out loud with my kids,Organize the kitchen without children around,0.03,0.02,1.1,0.0
9,Read childrens books out loud with my kids,Eat popcorn on the couch,0.04,0.02,4.4,0.0
10,Eat takeout food at home with my husband,Plan vacations to disney world,0.05,0.02,1.1,0.0
11,Plan vacations to disney world,Read childrens books out loud with my kids,0.01,0.03,3.3,1.0
12,Plan vacations to disney world,Help my children with their homework,0.02,0.03,4.4,1.0
13,Take bike rides around the neighborhood with my kids,Swim laps at my local ymca,0.03,0.03,1.1,0.0
14,Take bike rides around the neighborhood with my kids,Drive to visit extended family or friends,0.04,0.03,3.3,0.0
15,Organize the kitchen without children around,Take bike rides around the neighborhood with my kids,0.05,0.03,4.4,1.0
16,Walk to get popcorn at the gas station with my children,Plan vacations to disney world,0.01,0.04,1.1,0.0
17,Go boating with my parents,Cook a healthy meal for my family,0.02,0.04,8.8,0.0
18,Visit local farms with my family,Watch hulu in the evening,0.03,0.04,3.3,0.0
19,Drive to visit extended family or friends,Eat takeout food at home with my husband,0.04,0.04,3.3,1.0
20,Go boating with my parents,Swim laps at my local ymca,0.05,0.04,1.1,0.0
21,Help my children with their homework,Organize the kitchen without children around,0.01,0.05,8.8,0.0
22,Visit local farms with my family,Read books in bed before sleeping,0.02,0.05,4.4,0.0
23,Organize the kitchen without children around,Walk to get popcorn at the gas station with my children,0.03,0.05,1.1,1.0
24,Go out to eat with my husband,Watch hulu in the evening,0.04,0.05,4.4,0.0
25,Go boating with my parents,Watch hulu in the evening,0.05,0.05,3.3,0.0
26,Swim laps at my local ymca,Read childrens books out loud with my kids,0.01,0.01,4.4,1.0
27,Take bike rides around the neighborhood with my kids,Watch hulu in the evening,0.02,0.01,3.3,0.0
28,Watch hulu in the evening,Read childrens books out loud with my kids,0.03,0.01,3.3,1.0
