TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,Talk to my favorite coworker about sports,Put up lights for holidays and watching the joy rise,0.01,0.01,4.4,0.0
2,Talk to my favorite coworker about sports,Work out in the morning,0.02,0.01,8.8,0.0
3,Take my friends to new food spots,Play video games on xbox in my room,0.03,0.01,3.3,0.0
4,Ask questions about controversial topics with friends,Try on new clothes I bought,0.04,0.01,1.1,0.0
5,Watch Sunday Night football with my family,Make shirts in my studio,0.05,0.01,1.1,0.0
6,Listen to new music,Watch new tv series with my brother,0.01,0.02,3.3,1.0
7,Go to play basketball with my best friend,Run 5 miles every weekend,0.02,0.02,1.1,0.0
8,Talk to my long distance sister on the phone,Listen to new music,0.03,0.02,1.1,0.0
9,Eat food I have never tried before,Talk to my nephew about school,0.04,0.02,4.4,1.0
10,Do studies on my computer ,Watch Sunday Night football with my family,0.05,0.02,1.1,1.0
11,Do studies on my computer ,Go to outlet stores with my mother,0.01,0.03,3.3,1.0
12,Watch greys anatomy while eating popcorn,Watch new tv series with my brother,0.02,0.03,4.4,1.0
13,Listen to new music,Bet on parlays for football with one of my brothers,0.03,0.03,1.1,1.0
14,Put up lights for holidays and watching the joy rise,Go to play basketball with my best friend,0.04,0.03,3.3,1.0
15,Play video games on xbox in my room,Go to play basketball with my best friend,0.05,0.03,4.4,1.0
16,Talk to my nephew about school,Watch greys anatomy while eating popcorn,0.01,0.04,1.1,0.0
17,Put up lights for holidays and watching the joy rise,Go to outlet stores with my mother,0.02,0.04,8.8,1.0
18,Work out in the morning,Take my friends to new food spots,0.03,0.04,3.3,1.0
19,Talk to my long distance sister on the phone,Run 5 miles every weekend,0.04,0.04,3.3,0.0
20,Bet on parlays for football with one of my brothers,Watch greys anatomy while eating popcorn,0.05,0.04,1.1,0.0
21,Talk to my nephew about school,Make shirts in my studio,0.01,0.05,8.8,0.0
22,Play video games on xbox in my room,Talk to my long distance sister on the phone,0.02,0.05,4.4,1.0
23,Take my friends to new food spots,Watch greys anatomy while eating popcorn,0.03,0.05,1.1,0.0
24,Talk to my favorite coworker about sports,Do studies on my computer ,0.04,0.05,4.4,0.0
25,Work out in the morning,Talk to my long distance sister on the phone,0.05,0.05,3.3,1.0
26,Watch new tv series with my brother,Make shirts in my studio,0.01,0.01,4.4,0.0
27,Try on new clothes I bought,Take my friends to new food spots,0.02,0.01,3.3,1.0
28,Play video games on xbox in my room,Bet on parlays for football with one of my brothers,0.03,0.01,3.3,1.0
29,Work out in the morning,Bet on parlays for football with one of my brothers,0.04,0.01,4.4,1.0
30,Listen to new music,Go to outlet stores with my mother,0.05,0.01,8.8,1.0
31,Talk to my long distance sister on the phone,Try on new clothes I bought,0.01,0.02,8.8,0.0
32,Put up lights for holidays and watching the joy rise,Talk to my nephew about school,0.02,0.02,1.1,1.0
33,Make shirts in my studio,Go to play basketball with my best friend,0.03,0.02,4.4,1.0
34,Talk to my nephew about school,Try on new clothes I bought,0.04,0.02,3.3,0.0
35,Listen to new music,Talk to my nephew about school,0.05,0.02,1.1,1.0
36,Bet on parlays for football with one of my brothers,Make shirts in my studio,0.01,0.03,3.3,0.0
37,Make shirts in my studio,Ask questions about controversial topics with friends,0.02,0.03,1.1,1.0
38,Run 5 miles every weekend,Talk to my favorite coworker about sports,0.03,0.03,1.1,1.0
39,Do studies on my computer ,Bet on parlays for football with one of my brothers,0.04,0.03,3.3,1.0
40,Run 5 miles every weekend,Go to outlet stores with my mother,0.05,0.03,4.4,1.0
41,Try on new clothes I bought,Watch new tv series with my brother,0.01,0.04,1.1,1.0
42,Eat food I have never tried before,Ask questions about controversial topics with friends,0.02,0.04,3.3,1.0
43,Bet on parlays for football with one of my brothers,Eat food I have never tried before,0.03,0.04,1.1,0.0
44,Talk to my favorite coworker about sports,Watch greys anatomy while eating popcorn,0.04,0.04,1.1,0.0
45,Do studies on my computer ,Take my friends to new food spots,0.05,0.04,4.4,1.0
46,Talk to my long distance sister on the phone,Watch greys anatomy while eating popcorn,0.01,0.05,8.8,0.0
47,Watch Sunday Night football with my family,Play video games on xbox in my room,0.02,0.05,1.1,0.0
48,Listen to new music,Ask questions about controversial topics with friends,0.03,0.05,4.4,1.0
49,Watch new tv series with my brother,Do studies on my computer ,0.04,0.05,3.3,0.0
50,Run 5 miles every weekend,Talk to my nephew about school,0.05,0.05,1.1,1.0
51,Play video games on xbox in my room,Ask questions about controversial topics with friends,0.01,0.01,1.1,1.0
52,Go to play basketball with my best friend,Watch greys anatomy while eating popcorn,0.02,0.01,3.3,0.0
53,Put up lights for holidays and watching the joy rise,Take my friends to new food spots,0.03,0.01,1.1,1.0
54,Go to play basketball with my best friend,Work out in the morning,0.04,0.01,4.4,0.0
55,Talk to my favorite coworker about sports,Listen to new music,0.05,0.01,1.1,0.0
56,Watch Sunday Night football with my family,Eat food I have never tried before,0.01,0.02,8.8,0.0
57,Work out in the morning,Watch Sunday Night football with my family,0.02,0.02,4.4,1.0
58,Listen to new music,Take my friends to new food spots,0.03,0.02,4.4,1.0
59,Put up lights for holidays and watching the joy rise,Talk to my long distance sister on the phone,0.04,0.02,4.4,1.0
60,Watch greys anatomy while eating popcorn,Go to outlet stores with my mother,0.05,0.02,1.1,1.0
61,Work out in the morning,Talk to my nephew about school,0.01,0.03,3.3,1.0
62,Watch new tv series with my brother,Eat food I have never tried before,0.02,0.03,3.3,0.0
