TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,Journal my goals thoughts and future events,Go out to dinner at UMIs a seafood buffet with my family,0.01,0.01,4.4,1.0
2,Go with my mom and I to the bahamas on a 4 day cruise with carnival cruise line to see dolphins and water that was as minty green and translucent like an unused yet overly clean  swimming pool.,Do chores while blasting music on alexa,0.02,0.01,8.8,0.0
3,Soak in a hot bubble bath with lavender aromas while netflix is playing on my laptop nearby,Watch Harry Potter movie marathons with my significant other on our comfy couch all day on the weekends from morning till night with homemade pasta and drinks on the coffee table,0.03,0.01,3.3,1.0
4,Read about new podcasters and credited books that talk about my career interests to be up to date on new ideologies and systems,On a Friday night preparing homemade caramel popcorn hot cocoa and steak tv dinner with my significant other watching rom com movies,0.04,0.01,1.1,1.0
5,Bring the pets out to the empty but spacious neighborhood park with my significant other and run around until we all wear out on a sunny afternoon,Journal my goals thoughts and future events,0.05,0.01,1.1,0.0
6,Go to a coffee shop to study with a friend and catch up on life for a few hours on a rainy afternoon,Do home workouts by following a youtube video guide for 30 minutes each day on my yoga mat,0.01,0.02,3.3,0.0
7,Go with my mom and I to the bahamas on a 4 day cruise with carnival cruise line to see dolphins and water that was as minty green and translucent like an unused yet overly clean  swimming pool.,Read about new podcasters and credited books that talk about my career interests to be up to date on new ideologies and systems,0.02,0.02,1.1,0.0
8,Read true crime studies on a dark rainy night in bed,Play a couple rounds of badminton at my university with some friendly classmates after classes end,0.03,0.02,1.1,1.0
9,Take a stroll in my neighborhood park on a sunny afternoon,Bring the pets out to the empty but spacious neighborhood park with my significant other and run around until we all wear out on a sunny afternoon,0.04,0.02,4.4,1.0
10,Brew thai leaves to make my favorite drink on a calm and cozy morning,On a Friday night preparing homemade caramel popcorn hot cocoa and steak tv dinner with my significant other watching rom com movies,0.05,0.02,1.1,1.0
11,Do home workouts by following a youtube video guide for 30 minutes each day on my yoga mat,Bring the pets out to the empty but spacious neighborhood park with my significant other and run around until we all wear out on a sunny afternoon,0.01,0.03,3.3,1.0
12,Take a out of town trip with my family to florida and walk around disney world for a week and stay at a water resort,Journal my goals thoughts and future events,0.02,0.03,4.4,0.0
13,Pla a solo game on my PC after work,Bring the pets out to the empty but spacious neighborhood park with my significant other and run around until we all wear out on a sunny afternoon,0.03,0.03,1.1,1.0
14,Read about new podcasters and credited books that talk about my career interests to be up to date on new ideologies and systems,Bring the pets out to the empty but spacious neighborhood park with my significant other and run around until we all wear out on a sunny afternoon,0.04,0.03,3.3,1.0
15,Bring the pets out to the empty but spacious neighborhood park with my significant other and run around until we all wear out on a sunny afternoon,Soak in a hot bubble bath with lavender aromas while netflix is playing on my laptop nearby,0.05,0.03,4.4,0.0
16,Meditate to release my body from stress thoughts and emotions for a short period of time in an empty and quiet room ,On a Friday night preparing homemade caramel popcorn hot cocoa and steak tv dinner with my significant other watching rom com movies,0.01,0.04,1.1,1.0
17,Read true crime studies on a dark rainy night in bed,Watch Harry Potter movie marathons with my significant other on our comfy couch all day on the weekends from morning till night with homemade pasta and drinks on the coffee table,0.02,0.04,8.8,1.0
18,Play a couple rounds of badminton at my university with some friendly classmates after classes end,Do home workouts by following a youtube video guide for 30 minutes each day on my yoga mat,0.03,0.04,3.3,0.0
19,On a Friday night preparing homemade caramel popcorn hot cocoa and steak tv dinner with my significant other watching rom com movies,Read true crime studies on a dark rainy night in bed,0.04,0.04,3.3,0.0
20,Bring the pets out to the empty but spacious neighborhood park with my significant other and run around until we all wear out on a sunny afternoon,Read true crime studies on a dark rainy night in bed,0.05,0.04,1.1,0.0
21,Play and communicate through Discord with online friends and play steam games together in the middle of the night,Journal my goals thoughts and future events,0.01,0.05,8.8,0.0
22,Pla a solo game on my PC after work,On a Friday night preparing homemade caramel popcorn hot cocoa and steak tv dinner with my significant other watching rom com movies,0.02,0.05,4.4,1.0
23,Read about new podcasters and credited books that talk about my career interests to be up to date on new ideologies and systems,Go out to dinner at UMIs a seafood buffet with my family,0.03,0.05,1.1,1.0
24,Meditate to release my body from stress thoughts and emotions for a short period of time in an empty and quiet room ,Take a out of town trip with my family to florida and walk around disney world for a week and stay at a water resort,0.04,0.05,4.4,1.0
25,Do home workouts by following a youtube video guide for 30 minutes each day on my yoga mat,Watch Harry Potter movie marathons with my significant other on our comfy couch all day on the weekends from morning till night with homemade pasta and drinks on the coffee table,0.05,0.05,3.3,1.0
26,Take a out of town trip with my family to florida and walk around disney world for a week and stay at a water resort,Pla a solo game on my PC after work,0.01,0.01,4.4,0.0
27,Play a couple rounds of badminton at my university with some friendly classmates after classes end,Take a stroll in my neighborhood park on a sunny afternoon,0.02,0.01,3.3,0.0
28,Go to a coffee shop to study with a friend and catch up on life for a few hours on a rainy afternoon,Soak in a hot bubble bath with lavender aromas while netflix is playing on my laptop nearby,0.03,0.01,3.3,0.0
29,Go out to dinner at UMIs a seafood buffet with my family,Brew thai leaves to make my favorite drink on a calm and cozy morning,0.04,0.01,4.4,0.0
30,Pla a solo game on my PC after work,Host a friends giving potluck dinner with friends to celebrate the joy of being together as friends,0.05,0.01,8.8,1.0
31,Take a stroll in my neighborhood park on a sunny afternoon,Go out to dinner at UMIs a seafood buffet with my family,0.01,0.02,8.8,1.0
32,Host a friends giving potluck dinner with friends to celebrate the joy of being together as friends,Meditate to release my body from stress thoughts and emotions for a short period of time in an empty and quiet room ,0.02,0.02,1.1,0.0
33,Soak in a hot bubble bath with lavender aromas while netflix is playing on my laptop nearby,On a Friday night preparing homemade caramel popcorn hot cocoa and steak tv dinner with my significant other watching rom com movies,0.03,0.02,4.4,1.0
34,Meditate to release my body from stress thoughts and emotions for a short period of time in an empty and quiet room ,Go with my mom and I to the bahamas on a 4 day cruise with carnival cruise line to see dolphins and water that was as minty green and translucent like an unused yet overly clean  swimming pool.,0.04,0.02,3.3,1.0
35,Play and communicate through Discord with online friends and play steam games together in the middle of the night,Take a stroll in my neighborhood park on a sunny afternoon,0.05,0.02,1.1,0.0
36,Play and communicate through Discord with online friends and play steam games together in the middle of the night,Meditate to release my body from stress thoughts and emotions for a short period of time in an empty and quiet room ,0.01,0.03,3.3,0.0
37,Do home workouts by following a youtube video guide for 30 minutes each day on my yoga mat,Host a friends giving potluck dinner with friends to celebrate the joy of being together as friends,0.02,0.03,1.1,1.0
38,Read about new podcasters and credited books that talk about my career interests to be up to date on new ideologies and systems,Take a out of town trip with my family to florida and walk around disney world for a week and stay at a water resort,0.03,0.03,1.1,1.0
39,Play and communicate through Discord with online friends and play steam games together in the middle of the night,Read about new podcasters and credited books that talk about my career interests to be up to date on new ideologies and systems,0.04,0.03,3.3,0.0
40,Go to a coffee shop to study with a friend and catch up on life for a few hours on a rainy afternoon,Do chores while blasting music on alexa,0.05,0.03,4.4,0.0
41,Take a stroll in my neighborhood park on a sunny afternoon,Go to a coffee shop to study with a friend and catch up on life for a few hours on a rainy afternoon,0.01,0.04,1.1,1.0
42,Go out to dinner at UMIs a seafood buffet with my family,Meditate to release my body from stress thoughts and emotions for a short period of time in an empty and quiet room ,0.02,0.04,3.3,0.0
43,Journal my goals thoughts and future events,On a Friday night preparing homemade caramel popcorn hot cocoa and steak tv dinner with my significant other watching rom com movies,0.03,0.04,1.1,1.0
44,On a Friday night preparing homemade caramel popcorn hot cocoa and steak tv dinner with my significant other watching rom com movies,Do home workouts by following a youtube video guide for 30 minutes each day on my yoga mat,0.04,0.04,1.1,0.0
45,Read true crime studies on a dark rainy night in bed,Go with my mom and I to the bahamas on a 4 day cruise with carnival cruise line to see dolphins and water that was as minty green and translucent like an unused yet overly clean  swimming pool.,0.05,0.04,4.4,1.0
46,Go out to dinner at UMIs a seafood buffet with my family,Do home workouts by following a youtube video guide for 30 minutes each day on my yoga mat,0.01,0.05,8.8,0.0
47,Take a out of town trip with my family to florida and walk around disney world for a week and stay at a water resort,Soak in a hot bubble bath with lavender aromas while netflix is playing on my laptop nearby,0.02,0.05,1.1,0.0
48,Soak in a hot bubble bath with lavender aromas while netflix is playing on my laptop nearby,Host a friends giving potluck dinner with friends to celebrate the joy of being together as friends,0.03,0.05,4.4,1.0
49,Do chores while blasting music on alexa,Host a friends giving potluck dinner with friends to celebrate the joy of being together as friends,0.04,0.05,3.3,1.0
50,Play and communicate through Discord with online friends and play steam games together in the middle of the night,Soak in a hot bubble bath with lavender aromas while netflix is playing on my laptop nearby,0.05,0.05,1.1,0.0
51,Brew thai leaves to make my favorite drink on a calm and cozy morning,Watch Harry Potter movie marathons with my significant other on our comfy couch all day on the weekends from morning till night with homemade pasta and drinks on the coffee table,0.01,0.01,1.1,1.0
52,Go with my mom and I to the bahamas on a 4 day cruise with carnival cruise line to see dolphins and water that was as minty green and translucent like an unused yet overly clean  swimming pool.,Take a stroll in my neighborhood park on a sunny afternoon,0.02,0.01,3.3,0.0
53,Pla a solo game on my PC after work,Play and communicate through Discord with online friends and play steam games together in the middle of the night,0.03,0.01,1.1,1.0
54,Brew thai leaves to make my favorite drink on a calm and cozy morning,Play a couple rounds of badminton at my university with some friendly classmates after classes end,0.04,0.01,4.4,1.0
55,Do chores while blasting music on alexa,Play a couple rounds of badminton at my university with some friendly classmates after classes end,0.05,0.01,1.1,1.0
56,Pla a solo game on my PC after work,Watch Harry Potter movie marathons with my significant other on our comfy couch all day on the weekends from morning till night with homemade pasta and drinks on the coffee table,0.01,0.02,8.8,1.0
57,Go to a coffee shop to study with a friend and catch up on life for a few hours on a rainy afternoon,Read true crime studies on a dark rainy night in bed,0.02,0.02,4.4,0.0
58,Go with my mom and I to the bahamas on a 4 day cruise with carnival cruise line to see dolphins and water that was as minty green and translucent like an unused yet overly clean  swimming pool.,Pla a solo game on my PC after work,0.03,0.02,4.4,0.0
59,Go with my mom and I to the bahamas on a 4 day cruise with carnival cruise line to see dolphins and water that was as minty green and translucent like an unused yet overly clean  swimming pool.,Do home workouts by following a youtube video guide for 30 minutes each day on my yoga mat,0.04,0.02,4.4,0.0
60,Take a out of town trip with my family to florida and walk around disney world for a week and stay at a water resort,Do home workouts by following a youtube video guide for 30 minutes each day on my yoga mat,0.05,0.02,1.1,0.0
61,Brew thai leaves to make my favorite drink on a calm and cozy morning,Go with my mom and I to the bahamas on a 4 day cruise with carnival cruise line to see dolphins and water that was as minty green and translucent like an unused yet overly clean  swimming pool.,0.01,0.03,3.3,1.0
62,Host a friends giving potluck dinner with friends to celebrate the joy of being together as friends,Journal my goals thoughts and future events,0.02,0.03,3.3,0.0
63,On a Friday night preparing homemade caramel popcorn hot cocoa and steak tv dinner with my significant other watching rom com movies,Take a stroll in my neighborhood park on a sunny afternoon,0.03,0.03,3.3,0.0
64,Do chores while blasting music on alexa,Watch Harry Potter movie marathons with my significant other on our comfy couch all day on the weekends from morning till night with homemade pasta and drinks on the coffee table,0.04,0.03,1.1,1.0
65,Brew thai leaves to make my favorite drink on a calm and cozy morning,Host a friends giving potluck dinner with friends to celebrate the joy of being together as friends,0.05,0.03,1.1,1.0
66,Watch Harry Potter movie marathons with my significant other on our comfy couch all day on the weekends from morning till night with homemade pasta and drinks on the coffee table,Read about new podcasters and credited books that talk about my career interests to be up to date on new ideologies and systems,0.01,0.04,1.1,0.0
67,Play a couple rounds of badminton at my university with some friendly classmates after classes end,Journal my goals thoughts and future events,0.02,0.04,8.8,0.0
