PROLIFIC_ID,LSAS_avoidance,LSAS_fear,LSAS_total,RR,AQ,BRCS,ERQ_emosuppression,ERQ_cogreappraisal,NTBS,PSS,RSQ,SCS,SRQ_admiration,SRQ_negsocpot,SRQ_prosocint,SRQ_sexrel,SRQ_sociability
61006614d4c56450afce3a6b,35.0,37.0,72.0,25.0,24.0,16,3.0,5.166666666666667,34,25,11.0,77,2.5,1.0,7.0,3.0,2.6666666666666665
5eefc651cb94ad4c4d017b86,28.0,31.0,59.0,26.0,33.0,15,5.75,3.333333333333333,31,29,19.25,38,5.25,2.8,5.6,5.666666666666667,5.666666666666667
5a4636c92f91ec0001dcba07,26.0,27.0,53.0,31.0,32.0,14,4.25,5.0,38,17,4.0,74,4.0,1.0,6.2,4.666666666666667,4.666666666666667
5ff27bb4ad8fba794c1b96fa,16.0,22.0,38.0,23.0,11.0,18,3.0,6.833333333333333,32,10,9.5,102,6.25,1.2,7.0,3.6666666666666665,4.333333333333333
5ec75df0d799ae1c11a8115c,24.0,32.0,56.0,29.0,21.0,15,5.25,4.166666666666667,30,21,10.375,59,6.0,2.2,5.8,5.0,5.333333333333333
61338374ecef87bfdfd1c7bb,36.0,37.0,73.0,25.0,20.0,16,3.0,4.5,33,26,13.5,75,5.75,2.2,6.2,5.666666666666667,6.333333333333333
610024bfd6e1038ba3b1601d,60.0,51.0,111.0,29.0,14.0,16,1.75,5.833333333333333,33,23,10.625,69,5.5,1.0,6.8,2.6666666666666665,4.333333333333333
5dee8ee31255595293a9906b,35.0,35.0,70.0,25.0,32.0,16,4.0,4.166666666666667,33,2,6.5,107,4.75,4.0,4.6,3.0,3.3333333333333335
60bff9298f56d55c8ecd9adf,23.0,36.0,59.0,26.0,7.0,18,1.0,5.0,34,5,6.375,116,7.0,1.0,7.0,7.0,6.666666666666667
6111234ac8cfa49e38acbfb4,27.0,26.0,53.0,17.0,8.0,17,1.0,4.333333333333333,38,4,10.625,116,7.0,1.0,7.0,7.0,6.666666666666667
611118b967515e93dcf141f1,28.0,63.0,91.0,22.0,14.0,16,3.5,5.0,28,19,11.875,89,5.0,2.0,5.4,5.0,5.333333333333333
5f16f559325a640008bb9a07,6.0,8.0,14.0,25.0,28.0,19,6.0,6.666666666666667,26,3,5.75,70,5.25,1.4,6.2,6.0,3.3333333333333335
60fcebba7345a976efc9c080,4.0,3.0,7.0,25.0,17.0,17,1.5,5.333333333333333,32,16,5.875,100,6.0,1.0,6.8,5.0,6.0
5adef850eb60400001539109,63.0,68.0,131.0,23.0,31.0,13,4.25,4.0,36,15,11.875,86,7.0,1.4,6.6,6.0,6.333333333333333
63d1b0363f9bd5a6062dfb1c,43.0,42.0,85.0,26.0,13.0,17,2.0,5.833333333333333,33,8,10.625,108,4.25,1.4,4.0,3.6666666666666665,4.333333333333333
5ad2c8334d061300011b1985,11.0,13.0,24.0,21.0,31.0,16,2.75,2.833333333333333,25,28,11.25,67,5.0,1.0,7.0,1.0,5.333333333333333
