Prolific_ID,AQ
59d5888d21977e0001d630f3,14.0
5a09ebdf087f2e0001eae39f,13.0
5c5c451500b69200011bb8bf,23.0
5c9d004ee3b6c40015254526,7.0
5cc3f0f9fdb33500018c5eeb,24.0
5ddce9f0f85b50c4fc1515a4,17.0
5de8613ddf86d37c8a8ab294,5.0
5e923888c38d4a574e72d716,34.0
5efe8c25e921d23a9daec079,15.0
5f0f5df48a1b1a114c3dacc5,30.0
5f247332e02337051dc208aa,20.0
5f32e865bd94490a64d9c9f5,19.0
5f4a835e9e84256238129995,9.0
5fe23b5e1f2ef9db2ab8e5a0,13.0
60c7fd00cce7a43663968b17,24.0
60c8467d9872c0d83f695499,26.0
60fd83ff5af11073b7d1ed62,21.0
610f303cfb519f6dc89edd5f,12.0
6111216b74cfd482d05ac02b,18.0
613aad30bcfed65155a026ec,24.0
61528277afcb4906d01e0442,23.0
61741ba984f258d5c6a1303c,24.0
62865af5a1e349260f58cdf7,20.0
63d161e70272bba9f3f70980,29.0
63d432e27555fb4b5785cfcd,20.0
64c0a2d8031339ab6ec5e54a,11.0
65412ca42e0e2fbb27b8a7b2,28.0
655e0b698915e40faa8002f2,20.0
6560aa71bf5cc31f1c99ca34,22.0
65624dbc33b93e2696f06d1f,16.0
65779c4bde34621ce896b77d,16.0
659cc63ff59c72a20e2b7688,12.0
65b7ba948f5c3052140c24f8,15.0
65c14027646a9bbfa89584c8,22.0
65d65821b5e4f4fb6de9076c,18.0
65d659edd2fb402f9170d123,26.0
65e4124826438fd6dc97bd7e,23.0
65f54bfd77f3db0d47887b37,24.0
65f7fbb178b358ac91094fec,8.0
65fb2f8291cf16104e63effc,15.0
6600a119385d8631c41cd795,8.0
6601a1251731342a7891c4f1,14.0
660482648009855d3c92ce84,26.0
661fee35973b5ff6fa3418ef,17.0
66202163d9e5dba57c5e831d,14.0
6627722f249e56fcefd07b8c,25.0
662a754842502c24dbb45384,14.0
662fad6b6f397a64efc67680,28.0
6637ca249e9c662fac63cfcb,28.0
663a7379aca69d9c20130cd1,23.0
663e40120b553e7aa7f786b4,29.0
663e5cf112f5d047cf5c9fad,27.0
6643c34315b04d498e71017e,47.0
6645a794be029b87060615aa,19.0
66463e4efb99fba5a67a010a,19.0
66465b2522d14ab162ff2dbd,26.0
665629a30c7e3f40e8f3d1d5,32.0
665fc69fe8d5562ac1294f30,18.0
6665fb9d3202800c8227cde5,11.0
66661b49621ea96feaf4f6f3,10.0
6669a122ab60c120f94b3aa5,31.0
666e123eb6aff45cf5be575e,10.0
6670297f1e47e468c3605ef4,13.0
66757cddd8d92a5cbfda353f,24.0
6676fab6295042ff191ead64,34.0
667838be776b27f8705b6c3c,29.0
667981cd5ba91c2ae804e4f3,10.0
6679bdceaa28479dfe378bb6,23.0
66800683809f48e85f663f86,28.0
6683b31d16dd162d502a8b00,15.0
6686247e6177b8b37bdd0463,21.0
668beeeac6158723009d2b8a,18.0
668d5a454e51f2df12027e26,23.0
66946e3054a30a2bf5b1be40,12.0
66a049748b57caf868c3179d,36.0
66a08dccc5cc029fc23a96a8,20.0
66ada0d8b8ddd62c65d39bfe,25.0
66b92d3b18295c1e6c125b85,18.0
66ba909954ae8842a7c369a4,26.0
66c0df311f98d7c9661669d9,29.0
66c95504723c57c900715764,28.0
66ce33a40ac4984adc2e18c8,13.0
66d2d920fb76c49f098b9397,11.0
66d9609fbac7758ed890cece,26.0
66dc48cea9a85fe230c06b5f,22.0
66ed6bba745fee41cbe32310,22.0
66f0a1d13629250f84bc2598,25.0
66f0bbf2ad2ccf85f492cbcb,11.0
66f16ff603404dbb816cc517,28.0
66f2946d0e3eeda7aa13eaa7,25.0
66f42a85953065aa4cc9d751,31.0
66f899c9525316803c5d75c0,10.0
6700d6aca79c6b2534f6292c,25.0
6704251bcdca04fef23d385d,38.0
67094d6215b6d0fe3e8c3e39,16.0
670d326c55fa3d6f10ebe253,26.0
6711f493bfc7c4e11953872d,23.0
671469967e2a4f2e612e3846,16.0
6722ca2b1f3ebd2d544608c3,20.0
