TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,social_left,Left_Exp,Right_Exp,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,startWTPloop.thisRepN,startWTPloop.thisTrialN,startWTPloop.thisN,startWTPloop.thisIndex,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,Match_text.stopped,syncing_text.started,text_0.started,Transparent.started,Loading_25.started,text_25.started,text_0.stopped,Loading_50.started,text_50.started,Loading_25.stopped,text_25.stopped,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,Loading_100.stopped,text_100.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,waiting_text.stopped,displayfeedback_text.started,fdbkimage_image.started,displayfeedback_text.stopped,fdbkimage_image.stopped,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,WTP_ins_text1.started,WTP_ins_keys1.started,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_text2.started,WTP_ins_keys2.started,WTP_ins_keys2.keys,WTP_ins_keys2.rt,Left_Experience.started,Right_Experience.started,Left_Price.started,Right_Price.started,responses.started,responses.keys,responses.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,10.563433125149459,10.563433125149459,space,0.5679333750158548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_16h41.30.571,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.15759229217656,11.15759229217656,space,0.142398000927642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_16h41.30.571,RejectionTask_OneLoop,2022.2.1,None,
1,Alex,Neutral,Participant_Images/101/101_Images/101_Image_24.jpg,did not like,3.613205605,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,11.322267625015229,14.325893375091255,14.325893375091255,14.325893375091255,14.325893375091255,15.5678717920091,15.5678717920091,15.577186167007312,16.802101999986917,16.802101999986917,16.806755792116746,16.806755792116746,18.046167709166184,18.046167709166184,18.051327084191144,18.051327084191144,19.302135500125587,19.302135500125587,19.302135500125587,19.302135500125587,20.547610625158995,20.547610625158995,20.589281084015965,20.589281084015965,20.589281084015965,20.589281084015965,space,0.332511292072013,21.188218125142157,21.188218125142157,21.188218125142157,23.93392425007187,28.93393212510273,28.93393212510273,28.93393212510273,31.934200167190284,31.934200167190284,31.934200167190284,31.934200167190284,space,1.0163545419927686,3,None,5,None,,,,,,,,,,,,,,,,101,001,2023-12-22_16h41.30.571,RejectionTask_OneLoop,2022.2.1,None,
2,Alex,Neutral,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,4.988446431,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,33.16588966711424,33.16588966711424,33.16588966711424,36.005439792061225,,41.00924949999899,41.00924949999899,,,44.00045325001702,44.00045325001702,space,0.37158712511882186,3,None,5,None,,,,,,,,,,,,,,,,101,001,2023-12-22_16h41.30.571,RejectionTask_OneLoop,2022.2.1,None,
3,Alex,Neutral,Participant_Images/101/101_Images/101_Image_4.jpg,liked,3.470791822,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,44.5602512920741,44.5602512920741,44.5602512920741,47.40910525014624,,52.41983420914039,52.41983420914039,,,55.42361866706051,55.42361866706051,space,2.102154874941334,3,None,5,None,,,,,,,,,,,,,,,,101,001,2023-12-22_16h41.30.571,RejectionTask_OneLoop,2022.2.1,None,
4,Alex,Neutral,Participant_Images/101/101_Images/101_Image_1.jpg,liked,3.820572462,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,57.68640095903538,57.68640095903538,57.68640095903538,60.57809087517671,,65.58556779217906,65.58556779217906,,,68.56758645898663,68.56758645898663,space,0.5714439579751343,3,None,5,None,,,,,,,,,,,,,,,,101,001,2023-12-22_16h41.30.571,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Rearranging furniture in your house,Going to a carnival with friends,0.01,0.01,green,0,1,1,0,4,4,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,69.32817912520841,69.32817912520841,69.32817912520841,72.1786034591496,77.17661133408546,77.17661133408546,77.17661133408546,,,,,None,,,,,,80.18378904205747,80.18378904205747,space,0.6903787509072572,80.89668391714804,80.89668391714804,space,0.6279760010074824,81.64805800002068,81.64805800002068,81.64805800002068,81.64805800002068,81.64805800002068,1,0.8396594580262899,101,001,2023-12-22_16h41.30.571,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Watching a new episode of a television show,Having a picnic with family,0.02,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.50887025007978,82.50887025007978,82.50887025007978,82.50887025007978,82.50887025007978,1,1.1380101260729134,101,001,2023-12-22_16h41.30.571,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,"Painting your bedroom
a new color",Having a romantic dinner with a significant other,0.03,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.67513241712004,83.67513241712004,83.67513241712004,83.67513241712004,83.67513241712004,1,0.9054783750325441,101,001,2023-12-22_16h41.30.571,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Playing with a pet,Studying abroad with friends,0.04,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.60648016701452,84.60648016701452,84.60648016701452,84.60648016701452,84.60648016701452,2,0.6138789590913802,101,001,2023-12-22_16h41.30.571,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Reading a book,Going to a friend’s birthday party,0.05,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.23716808413155,85.23716808413155,85.23716808413155,85.23716808413155,85.23716808413155,2,0.6771359171252698,101,001,2023-12-22_16h41.30.571,RejectionTask_OneLoop,2022.2.1,None,
