TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,social_left,Left_Exp,Right_Exp,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,startWTPloop.thisRepN,startWTPloop.thisTrialN,startWTPloop.thisN,startWTPloop.thisIndex,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,syncing_text.started,text_0.started,Transparent.started,Match_text.stopped,text_0.stopped,Loading_25.started,text_25.started,Loading_25.stopped,text_25.stopped,Loading_50.started,text_50.started,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,Loading_100.stopped,text_100.stopped,syncing_text.stopped,Transparent.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,displayfeedback_text.started,fdbkimage_image.started,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,waiting_text.stopped,WTP_ins_text1.started,WTP_ins_keys1.started,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_text2.started,WTP_ins_keys2.started,WTP_ins_keys2.keys,WTP_ins_keys2.rt,Left_Experience.started,Right_Experience.started,Left_Price.started,Right_Price.started,responses.started,responses.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,10.486647000070661,10.486647000070661,space,0.2415775009430945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_16h52.10.914,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.74460370815359,10.74460370815359,space,0.4393023340962827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_16h52.10.914,RejectionTask_OneLoop,2022.2.1,None,
1,Alex,Neutral,Participant_Images/101/101_Images/101_Image_24.jpg,did not like,3.613205605,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,11.213875083019957,14.201767458114773,14.201767458114773,14.201767458114773,14.207034833030775,15.455798875074834,15.455798875074834,15.455798875074834,16.693463875213638,16.693463875213638,16.693463875213638,16.693463875213638,17.93289858312346,17.93289858312346,17.954821958206594,17.954821958206594,19.193476958200336,19.193476958200336,19.193476958200336,19.193476958200336,20.438315666047856,20.438315666047856,20.46431979117915,20.46431979117915,20.46431979117915,20.46431979117915,20.46431979117915,20.46431979117915,space,0.41311149997636676,21.129015000071377,21.129015000071377,21.129015000071377,23.91266116616316,28.90852745808661,28.90852745808661,31.897593500092626,31.897593500092626,space,0.43365504196844995,3,None,5,None,,,,,,,,,,,,,,,,101,001,2023-12-22_16h52.10.914,RejectionTask_OneLoop,2022.2.1,None,
2,Alex,Neutral,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,4.988446431,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,32.533331625163555,32.533331625163555,32.533331625163555,35.40467975009233,40.39253516611643,40.39253516611643,43.387821458047256,43.387821458047256,space,0.45800224994309247,3,None,5,None,,,,,,,,,,,,,,,,101,001,2023-12-22_16h52.10.914,RejectionTask_OneLoop,2022.2.1,None,
3,Alex,Neutral,Participant_Images/101/101_Images/101_Image_4.jpg,liked,3.470791822,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,44.03678812505677,44.03678812505677,44.03678812505677,46.879364291206,51.88024554122239,51.88024554122239,54.886255875229836,54.886255875229836,space,1.3771218759939075,3,None,5,None,51.88024554122239,,,,,,,,,,,,,,,101,001,2023-12-22_16h52.10.914,RejectionTask_OneLoop,2022.2.1,None,
4,Alex,Neutral,Participant_Images/101/101_Images/101_Image_1.jpg,liked,3.820572462,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,56.44265895802528,56.44265895802528,56.44265895802528,59.30522470804863,64.3135435830336,64.3135435830336,67.31831112504005,67.31831112504005,space,0.1490899589844048,3,None,5,None,,,,,,,,,,,,,,,,101,001,2023-12-22_16h52.10.914,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Rearranging furniture in your house,Going to a carnival with friends,0.01,0.01,green,0,1,1,0,4,4,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,67.64604445802979,67.64604445802979,67.64604445802979,70.50651408312842,75.49942791601643,75.49942791601643,,,None,,,,,,,78.49601608305238,78.49601608305238,space,0.5795675839763135,79.09701904118992,79.09701904118992,space,0.3460479169152677,,,,,,None,101,001,2023-12-22_16h52.10.914,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Watching a new episode of a television show,Having a picnic with family,0.02,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,101,001,2023-12-22_16h52.10.914,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,"Painting your bedroom
a new color",Having a romantic dinner with a significant other,0.03,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,101,001,2023-12-22_16h52.10.914,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Playing with a pet,Studying abroad with friends,0.04,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,101,001,2023-12-22_16h52.10.914,RejectionTask_OneLoop,2022.2.1,None,
