endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,4.339,59d5888d21977e0001d630f3,6685aa9113c938e83b4f1ea0,67074260719bd01ddbfcdfb8,2024-10-09_21h56.57.881,WTP_SM_Choice,2022.2.1,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59d5888d21977e0001d630f3,6685aa9113c938e83b4f1ea0,67074260719bd01ddbfcdfb8,2024-10-09_21h56.57.881,WTP_SM_Choice,2022.2.1,Win32,111.1111111,space,31.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59d5888d21977e0001d630f3,6685aa9113c938e83b4f1ea0,67074260719bd01ddbfcdfb8,2024-10-09_21h56.57.881,WTP_SM_Choice,2022.2.1,Win32,111.1111111,,,space,1.681,space,1.152,NAN,,NAN,0,6,,0,0,0,0,1,1,Riley,Rej,Participant_Images/59d5888d21977e0001d630f3/59d5888d21977e0001d630f3_Images/59d5888d21977e0001d630f3_Image_16.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,59d5888d21977e0001d630f3,6685aa9113c938e83b4f1ea0,67074260719bd01ddbfcdfb8,2024-10-09_21h56.57.881,WTP_SM_Choice,2022.2.1,Win32,111.1111111,,,,,space,0.859,NAN,,NAN,0,6,,0,1,1,1,1,2,Riley,Rej,Participant_Images/59d5888d21977e0001d630f3/59d5888d21977e0001d630f3_Images/59d5888d21977e0001d630f3_Image_13.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,59d5888d21977e0001d630f3,6685aa9113c938e83b4f1ea0,67074260719bd01ddbfcdfb8,2024-10-09_21h56.57.881,WTP_SM_Choice,2022.2.1,Win32,111.1111111,,,,,space,0.804,NAN,,NAN,0,6,,0,2,2,2,1,3,Riley,Rej,Participant_Images/59d5888d21977e0001d630f3/59d5888d21977e0001d630f3_Images/59d5888d21977e0001d630f3_Image_14.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,59d5888d21977e0001d630f3,6685aa9113c938e83b4f1ea0,67074260719bd01ddbfcdfb8,2024-10-09_21h56.57.881,WTP_SM_Choice,2022.2.1,Win32,111.1111111,,,,,space,1.065,NAN,,NAN,0,6,,0,3,3,3,1,4,Riley,Rej,Participant_Images/59d5888d21977e0001d630f3/59d5888d21977e0001d630f3_Images/59d5888d21977e0001d630f3_Image_5.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,59d5888d21977e0001d630f3,6685aa9113c938e83b4f1ea0,67074260719bd01ddbfcdfb8,2024-10-09_21h56.57.881,WTP_SM_Choice,2022.2.1,Win32,111.1111111,,,,,,,,,,,,,,,,,,1,,,,,,space,7.653,space,3.244,0.01,2,4.485,0,0,0,0,1,Eat outside at a Chickfila with my mom and brother as the sun sets,Go out to Target to go get snacks pet snacks and personal care products ,0.01,0.01,4.4,0,,,,
,,59d5888d21977e0001d630f3,6685aa9113c938e83b4f1ea0,67074260719bd01ddbfcdfb8,2024-10-09_21h56.57.881,WTP_SM_Choice,2022.2.1,Win32,111.1111111,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.02,1,2.148,0,1,1,1,1,Watch Studio Ghibli on a rainy cloudy day,Buy things with my family,0.02,0.01,8.8,1,,,,
,,59d5888d21977e0001d630f3,6685aa9113c938e83b4f1ea0,67074260719bd01ddbfcdfb8,2024-10-09_21h56.57.881,WTP_SM_Choice,2022.2.1,Win32,111.1111111,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.03,1,1.854,0,2,2,2,1,Go to local coffee shops with my friends,Go out to Target to go get snacks pet snacks and personal care products ,0.03,0.01,3.3,0,,,,
,,59d5888d21977e0001d630f3,6685aa9113c938e83b4f1ea0,67074260719bd01ddbfcdfb8,2024-10-09_21h56.57.881,WTP_SM_Choice,2022.2.1,Win32,111.1111111,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.04,1,1.509,0,3,3,3,1,Have my cat on my lap as she purs,Watch Steelers games with my family,0.04,0.01,1.1,1,,,,
