endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,3.6687,5f0f5df48a1b1a114c3dacc5,6685aa9113c938e83b4f1ea0,6708395deef82b5b9beb9155,2024-10-10_15h31.56.633,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f0f5df48a1b1a114c3dacc5,6685aa9113c938e83b4f1ea0,6708395deef82b5b9beb9155,2024-10-10_15h31.56.633,WTP_SM_Choice,2022.2.1,Win32,59.88023952,space,13.2231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f0f5df48a1b1a114c3dacc5,6685aa9113c938e83b4f1ea0,6708395deef82b5b9beb9155,2024-10-10_15h31.56.633,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,space,6.0674,space,2.0032,NAN,,NAN,0,6,,0,0,0,0,1,1,Sam,Rej,Participant_Images/5f0f5df48a1b1a114c3dacc5/5f0f5df48a1b1a114c3dacc5_Images/5f0f5df48a1b1a114c3dacc5_Image_2.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,5f0f5df48a1b1a114c3dacc5,6685aa9113c938e83b4f1ea0,6708395deef82b5b9beb9155,2024-10-10_15h31.56.633,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,1.4679,NAN,,NAN,0,6,,0,1,1,1,1,2,Sam,Rej,Participant_Images/5f0f5df48a1b1a114c3dacc5/5f0f5df48a1b1a114c3dacc5_Images/5f0f5df48a1b1a114c3dacc5_Image_22.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,5f0f5df48a1b1a114c3dacc5,6685aa9113c938e83b4f1ea0,6708395deef82b5b9beb9155,2024-10-10_15h31.56.633,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,1.5261,NAN,,NAN,0,6,,0,2,2,2,1,3,Sam,Rej,Participant_Images/5f0f5df48a1b1a114c3dacc5/5f0f5df48a1b1a114c3dacc5_Images/5f0f5df48a1b1a114c3dacc5_Image_17.jpeg,did not like,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,5f0f5df48a1b1a114c3dacc5,6685aa9113c938e83b4f1ea0,6708395deef82b5b9beb9155,2024-10-10_15h31.56.633,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,0.9741,NAN,,NAN,0,6,,0,3,3,3,1,4,Sam,Rej,Participant_Images/5f0f5df48a1b1a114c3dacc5/5f0f5df48a1b1a114c3dacc5_Images/5f0f5df48a1b1a114c3dacc5_Image_13.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,5f0f5df48a1b1a114c3dacc5,6685aa9113c938e83b4f1ea0,6708395deef82b5b9beb9155,2024-10-10_15h31.56.633,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,1,,,,,,space,16.946,space,4.5499,0.01,1,8.9296,0,0,0,0,1,spend time crocheting,Laying infront of a big fan with my family,0.01,0.01,4.4,1,,,,
,,5f0f5df48a1b1a114c3dacc5,6685aa9113c938e83b4f1ea0,6708395deef82b5b9beb9155,2024-10-10_15h31.56.633,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.02,1,4.0248,0,1,1,1,1,learning new things with my husband,spend time crocheting,0.02,0.01,8.8,0,,,,
,,5f0f5df48a1b1a114c3dacc5,6685aa9113c938e83b4f1ea0,6708395deef82b5b9beb9155,2024-10-10_15h31.56.633,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.03,1,5.1855,0,2,2,2,1,making my bed with my husband,walk in the winter,0.03,0.01,3.3,0,,,,
,,5f0f5df48a1b1a114c3dacc5,6685aa9113c938e83b4f1ea0,6708395deef82b5b9beb9155,2024-10-10_15h31.56.633,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.04,1,3.4467,0,3,3,3,1,making my bed with my husband,spend time crocheting,0.04,0.01,1.1,0,,,,
