endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,key_resp.rt,end_screen_keys.keys,end_screen_keys.rt
space,3.9532,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,space,1.0546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,space,1.4483,space,0.5793,NAN,,NAN,0,6,,0,0,0,0,1,1,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_17.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,2.644,NAN,,NAN,0,6,,0,1,1,1,1,2,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_20.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,10.3891,NAN,,NAN,0,6,,0,2,2,2,1,3,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_9.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,0.4487,NAN,,NAN,0,6,,0,3,3,3,1,4,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_15.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,1,,,,,,space,0.3579,space,4.6352,0.01,1,6.2085,0,0,0,0,1,Talk on the phone and catch up with friends,Bake a new dessert for the first time,0.01,0.01,4.4,0,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.01,2,0.539,0,1,1,1,1,Needlepoint a canvas on a rainy day,Drink a fun cocktail together with my parents,0.02,0.01,8.8,1,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.03,1,0.3952,0,2,2,2,1,Listen to my favorite music on my record player,Drink a fun cocktail together with my parents,0.03,0.01,3.3,1,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.01,2,0.415,0,3,3,3,1,Scroll on my phone in bed,Try a new restaurant with my friends,0.04,0.01,1.1,1,,,,,
