endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,3.4727,610f303cfb519f6dc89edd5f,6685aa9113c938e83b4f1ea0,672d013f15c5cf809bb120b5,2024-11-07_13h07.09.866,WTP_SM_Choice,2022.2.1,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610f303cfb519f6dc89edd5f,6685aa9113c938e83b4f1ea0,672d013f15c5cf809bb120b5,2024-11-07_13h07.09.866,WTP_SM_Choice,2022.2.1,MacIntel,60.60606061,space,12.3857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,610f303cfb519f6dc89edd5f,6685aa9113c938e83b4f1ea0,672d013f15c5cf809bb120b5,2024-11-07_13h07.09.866,WTP_SM_Choice,2022.2.1,MacIntel,60.60606061,,,space,18.9026,space,13.8134,NAN,,NAN,0,6,,0,0,0,0,1,1,Riley,Rej,Participant_Images/610f303cfb519f6dc89edd5f/610f303cfb519f6dc89edd5f_Images/610f303cfb519f6dc89edd5f_Image_21.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,610f303cfb519f6dc89edd5f,6685aa9113c938e83b4f1ea0,672d013f15c5cf809bb120b5,2024-11-07_13h07.09.866,WTP_SM_Choice,2022.2.1,MacIntel,60.60606061,,,,,space,1.2577,NAN,,NAN,0,6,,0,1,1,1,1,2,Riley,Rej,Participant_Images/610f303cfb519f6dc89edd5f/610f303cfb519f6dc89edd5f_Images/610f303cfb519f6dc89edd5f_Image_4.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,610f303cfb519f6dc89edd5f,6685aa9113c938e83b4f1ea0,672d013f15c5cf809bb120b5,2024-11-07_13h07.09.866,WTP_SM_Choice,2022.2.1,MacIntel,60.60606061,,,,,space,1.0698,NAN,,NAN,0,6,,0,2,2,2,1,3,Riley,Rej,Participant_Images/610f303cfb519f6dc89edd5f/610f303cfb519f6dc89edd5f_Images/610f303cfb519f6dc89edd5f_Image_25.jpeg,did not like,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,610f303cfb519f6dc89edd5f,6685aa9113c938e83b4f1ea0,672d013f15c5cf809bb120b5,2024-11-07_13h07.09.866,WTP_SM_Choice,2022.2.1,MacIntel,60.60606061,,,,,space,6.1884,NAN,,NAN,0,6,,0,3,3,3,1,4,Riley,Rej,Participant_Images/610f303cfb519f6dc89edd5f/610f303cfb519f6dc89edd5f_Images/610f303cfb519f6dc89edd5f_Image_5.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,610f303cfb519f6dc89edd5f,6685aa9113c938e83b4f1ea0,672d013f15c5cf809bb120b5,2024-11-07_13h07.09.866,WTP_SM_Choice,2022.2.1,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,1,,,,,,space,33.8784,space,5.5052,0.01,1,4.5539,0,0,0,0,1,Make reservations at a restaurant to have some good food and drinks with friends,Listen to live music while sipping on a delicious tequila margerita,0.01,0.01,4.4,0,,,,
,,610f303cfb519f6dc89edd5f,6685aa9113c938e83b4f1ea0,672d013f15c5cf809bb120b5,2024-11-07_13h07.09.866,WTP_SM_Choice,2022.2.1,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.02,1,4.0225,0,1,1,1,1,Receive a massage in a low lit room with the smell of a fruity candle burning,Wake up and going on a long Saturday bike ride and then going to a bakery for some fresh sweets after with my friends,0.02,0.01,8.8,1,,,,
,,610f303cfb519f6dc89edd5f,6685aa9113c938e83b4f1ea0,672d013f15c5cf809bb120b5,2024-11-07_13h07.09.866,WTP_SM_Choice,2022.2.1,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.03,1,4.7497,0,2,2,2,1,Watch football with friends and making some game day snacks with my family friends and partner,Go on a walk by the beach with the sun shining in my face and a gentle breeze flowing through the air,0.03,0.01,3.3,0,,,,
,,610f303cfb519f6dc89edd5f,6685aa9113c938e83b4f1ea0,672d013f15c5cf809bb120b5,2024-11-07_13h07.09.866,WTP_SM_Choice,2022.2.1,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.04,1,2.7584,0,3,3,3,1,Go on a walk by the beach with the sun shining in my face and a gentle breeze flowing through the air,Make reservations at a restaurant to have some good food and drinks with friends,0.04,0.01,1.1,1,,,,
,,610f303cfb519f6dc89edd5f,6685aa9113c938e83b4f1ea0,672d013f15c5cf809bb120b5,2024-11-07_13h07.09.866,WTP_SM_Choice,2022.2.1,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,5,,,,,,,,,,0.01,2,2.1684,0,4,4,4,1,Go to the gym to get a lift in and feel strong ,Host a dinner party at my place with my friends family and partner,0.05,0.01,1.1,1,,,,
,,610f303cfb519f6dc89edd5f,6685aa9113c938e83b4f1ea0,672d013f15c5cf809bb120b5,2024-11-07_13h07.09.866,WTP_SM_Choice,2022.2.1,MacIntel,60.60606061,,,,,,,NAN,,NAN,0.11,5.89,,0,4,4,4,1,5,Riley,Rej,Participant_Images/610f303cfb519f6dc89edd5f/610f303cfb519f6dc89edd5f_Images/610f303cfb519f6dc89edd5f_Image_20.jpeg,did not like,2.455989137,,,,,,,,,,,,,,,,,,,,,,
,,610f303cfb519f6dc89edd5f,6685aa9113c938e83b4f1ea0,672d013f15c5cf809bb120b5,2024-11-07_13h07.09.866,WTP_SM_Choice,2022.2.1,MacIntel,60.60606061,,,,,space,4.0212,NAN,,NAN,0.11,5.89,,0,5,5,5,1,6,Riley,Rej,Participant_Images/610f303cfb519f6dc89edd5f/610f303cfb519f6dc89edd5f_Images/610f303cfb519f6dc89edd5f_Image_16.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,,,,
,,610f303cfb519f6dc89edd5f,6685aa9113c938e83b4f1ea0,672d013f15c5cf809bb120b5,2024-11-07_13h07.09.866,WTP_SM_Choice,2022.2.1,MacIntel,60.60606061,,,,,space,5.64,NAN,,NAN,0.11,5.89,,0,6,6,6,1,7,Riley,Rej,Participant_Images/610f303cfb519f6dc89edd5f/610f303cfb519f6dc89edd5f_Images/610f303cfb519f6dc89edd5f_Image_17.jpeg,did not like,3.562416326,,,,,,,,,,,,,,,,,,,,,,
