endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,1.6986,613aad30bcfed65155a026ec,6685aa9113c938e83b4f1ea0,671bdc4e70cafcdad968bf26,2024-10-25_13h03.27.186,WTP_SM_Choice,2022.2.1,MacIntel,60.14675809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613aad30bcfed65155a026ec,6685aa9113c938e83b4f1ea0,671bdc4e70cafcdad968bf26,2024-10-25_13h03.27.186,WTP_SM_Choice,2022.2.1,MacIntel,60.14675809,space,17.7184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,613aad30bcfed65155a026ec,6685aa9113c938e83b4f1ea0,671bdc4e70cafcdad968bf26,2024-10-25_13h03.27.186,WTP_SM_Choice,2022.2.1,MacIntel,60.14675809,,,space,2.1668,space,1.9956,NAN,,NAN,0,6,,0,0,0,0,1,1,Riley,Acc,Participant_Images/613aad30bcfed65155a026ec/613aad30bcfed65155a026ec_Images/613aad30bcfed65155a026ec_Image_24.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,613aad30bcfed65155a026ec,6685aa9113c938e83b4f1ea0,671bdc4e70cafcdad968bf26,2024-10-25_13h03.27.186,WTP_SM_Choice,2022.2.1,MacIntel,60.14675809,,,,,space,2.2494,NAN,,NAN,0,6,,0,1,1,1,1,2,Riley,Acc,Participant_Images/613aad30bcfed65155a026ec/613aad30bcfed65155a026ec_Images/613aad30bcfed65155a026ec_Image_10.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,613aad30bcfed65155a026ec,6685aa9113c938e83b4f1ea0,671bdc4e70cafcdad968bf26,2024-10-25_13h03.27.186,WTP_SM_Choice,2022.2.1,MacIntel,60.14675809,,,,,space,1.1016,NAN,,NAN,0,6,,0,2,2,2,1,3,Riley,Acc,Participant_Images/613aad30bcfed65155a026ec/613aad30bcfed65155a026ec_Images/613aad30bcfed65155a026ec_Image_7.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,613aad30bcfed65155a026ec,6685aa9113c938e83b4f1ea0,671bdc4e70cafcdad968bf26,2024-10-25_13h03.27.186,WTP_SM_Choice,2022.2.1,MacIntel,60.14675809,,,,,space,1.3186,NAN,,NAN,0,6,,0,3,3,3,1,4,Riley,Acc,Participant_Images/613aad30bcfed65155a026ec/613aad30bcfed65155a026ec_Images/613aad30bcfed65155a026ec_Image_21.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,613aad30bcfed65155a026ec,6685aa9113c938e83b4f1ea0,671bdc4e70cafcdad968bf26,2024-10-25_13h03.27.186,WTP_SM_Choice,2022.2.1,MacIntel,60.14675809,,,,,,,,,,,,,,,,,,1,,,,,,space,22.5083,space,6.8322,0.01,1,4.0863,0,0,0,0,1,play video games after a hard day,collaborate with other artists on music,0.01,0.01,4.4,1,,,,
,,613aad30bcfed65155a026ec,6685aa9113c938e83b4f1ea0,671bdc4e70cafcdad968bf26,2024-10-25_13h03.27.186,WTP_SM_Choice,2022.2.1,MacIntel,60.14675809,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.01,2,5.1062,0,1,1,1,1,paint portraits,go to sunday brunch with my entire family,0.02,0.01,8.8,1,,,,
,,613aad30bcfed65155a026ec,6685aa9113c938e83b4f1ea0,671bdc4e70cafcdad968bf26,2024-10-25_13h03.27.186,WTP_SM_Choice,2022.2.1,MacIntel,60.14675809,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.03,1,4.7068,0,2,2,2,1,go to sunday brunch with my entire family,do tarot readings,0.03,0.01,3.3,0,,,,
,,613aad30bcfed65155a026ec,6685aa9113c938e83b4f1ea0,671bdc4e70cafcdad968bf26,2024-10-25_13h03.27.186,WTP_SM_Choice,2022.2.1,MacIntel,60.14675809,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,0,3,3,3,1,go to sunday brunch with my entire family,go for a bike ride when the weather is nice,0.04,0.01,1.1,0,,,,
,,613aad30bcfed65155a026ec,6685aa9113c938e83b4f1ea0,671bdc4e70cafcdad968bf26,2024-10-25_13h03.27.186,WTP_SM_Choice,2022.2.1,MacIntel,60.14675809,,,,,,,,,,,,,,,,,,5,,,,,,,,,,0.01,2,3.3478,0,4,4,4,1,go for a bike ride when the weather is nice,collaborate with other artists on music,0.05,0.01,1.1,1,,,,
,,613aad30bcfed65155a026ec,6685aa9113c938e83b4f1ea0,671bdc4e70cafcdad968bf26,2024-10-25_13h03.27.186,WTP_SM_Choice,2022.2.1,MacIntel,60.14675809,,,,,,,NAN,,NAN,0.06,5.94,,0,4,4,4,1,5,Riley,Acc,Participant_Images/613aad30bcfed65155a026ec/613aad30bcfed65155a026ec_Images/613aad30bcfed65155a026ec_Image_5.jpeg,liked,2.455989137,,,,,,,,,,,,,,,,,,,,,,
,,613aad30bcfed65155a026ec,6685aa9113c938e83b4f1ea0,671bdc4e70cafcdad968bf26,2024-10-25_13h03.27.186,WTP_SM_Choice,2022.2.1,MacIntel,60.14675809,,,,,space,1.3334,NAN,,NAN,0.06,5.94,,0,5,5,5,1,6,Riley,Acc,Participant_Images/613aad30bcfed65155a026ec/613aad30bcfed65155a026ec_Images/613aad30bcfed65155a026ec_Image_17.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,,,,
