endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,0.966,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,space,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,space,221.987,space,2.117,NAN,,NAN,0,6,,0,0,0,0,1,1,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_22.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,6.22,NAN,,NAN,0,6,,0,1,1,1,1,2,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_24.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,5.737,NAN,,NAN,0,6,,0,2,2,2,1,3,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_15.jpeg,did not like,3.470791822,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,0.569,NAN,,NAN,0,6,,0,3,3,3,1,4,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_5.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,1,,,,,,space,2.233,space,0.682,0.01,1,3.224,0,0,0,0,1,invest in clothes,play with my little brothers,0.01,0.01,4.4,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.02,1,1.658,0,1,1,1,1,invest in clothes,play basketball with othersq,0.02,0.01,8.8,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.03,1,2.24,0,2,2,2,1,participate in a fantasy league of football,play basketball with othersq,0.03,0.01,3.3,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.01,2,2.406,0,3,3,3,1,watch basketball,discuss business ideas with others,0.04,0.01,1.1,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,5,,,,,,,,,,0.01,2,2.493,0,4,4,4,1,watch basketball,watch videos with others,0.05,0.01,1.1,,,,
