endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,responses.keys,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,decision_price,responses.rt,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,20.9407,6600a119385d8631c41cd795,6685aa9113c938e83b4f1ea0,671c5d87220adccd5a525a70,2024-10-25_22h12.04.671,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6600a119385d8631c41cd795,6685aa9113c938e83b4f1ea0,671c5d87220adccd5a525a70,2024-10-25_22h12.04.671,WTP_SM_Choice,2022.2.1,Win32,59.88023952,space,18.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6600a119385d8631c41cd795,6685aa9113c938e83b4f1ea0,671c5d87220adccd5a525a70,2024-10-25_22h12.04.671,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,space,2.5206,space,2.1656,NAN,,NAN,0,6,,0,0,0,0,1,1,Sam,Acc,Participant_Images/6600a119385d8631c41cd795/6600a119385d8631c41cd795_Images/6600a119385d8631c41cd795_Image_8.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,6600a119385d8631c41cd795,6685aa9113c938e83b4f1ea0,671c5d87220adccd5a525a70,2024-10-25_22h12.04.671,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,1.2871,NAN,,NAN,0,6,,0,1,1,1,1,2,Sam,Acc,Participant_Images/6600a119385d8631c41cd795/6600a119385d8631c41cd795_Images/6600a119385d8631c41cd795_Image_5.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,6600a119385d8631c41cd795,6685aa9113c938e83b4f1ea0,671c5d87220adccd5a525a70,2024-10-25_22h12.04.671,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,1.2042,NAN,,NAN,0,6,,0,2,2,2,1,3,Sam,Acc,Participant_Images/6600a119385d8631c41cd795/6600a119385d8631c41cd795_Images/6600a119385d8631c41cd795_Image_21.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,6600a119385d8631c41cd795,6685aa9113c938e83b4f1ea0,671c5d87220adccd5a525a70,2024-10-25_22h12.04.671,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,0.9776,NAN,,NAN,0,6,,0,3,3,3,1,4,Sam,Acc,Participant_Images/6600a119385d8631c41cd795/6600a119385d8631c41cd795_Images/6600a119385d8631c41cd795_Image_22.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,6600a119385d8631c41cd795,6685aa9113c938e83b4f1ea0,671c5d87220adccd5a525a70,2024-10-25_22h12.04.671,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,1,,,,,,space,85.3891,space,16.4538,,0,0,0,0,1,Go on vacation with friends family or spouse,Practice sight reading piano and drum sheet music,0.01,0.01,4.4,0,,,,,,
,,6600a119385d8631c41cd795,6685aa9113c938e83b4f1ea0,671c5d87220adccd5a525a70,2024-10-25_22h12.04.671,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,0,1,1,1,1,Go out to the bar with friends or spouse,Light candles during a storm when the power goes out and enjoy the storm,0.02,0.01,8.8,0,0.01,5.946,,,,
,,6600a119385d8631c41cd795,6685aa9113c938e83b4f1ea0,671c5d87220adccd5a525a70,2024-10-25_22h12.04.671,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,0,2,2,2,1,Cuddle with my spouse,Spend my day doing studies on prolific,0.03,0.01,3.3,0,0.03,3.5502,,,,
,,6600a119385d8631c41cd795,6685aa9113c938e83b4f1ea0,671c5d87220adccd5a525a70,2024-10-25_22h12.04.671,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,0,3,3,3,1,Spend my day doing studies on prolific,Play music together with my fellow bandmates,0.04,0.01,1.1,1,0.04,6.0641,,,,
