endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,responses.keys,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,decision_price,responses.rt,Resume_keys.keys,Resume_keys.rt,key_resp.rt,end_screen_keys.keys,end_screen_keys.rt
space,1.0425,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,space,3.4457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,space,1.5285,space,1.6668,NAN,,NAN,0,6,,0,0,0,0,1,1,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_9.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.8097,NAN,,NAN,0,6,,0,1,1,1,1,2,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_10.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,1.266,NAN,,NAN,0,6,,0,2,2,2,1,3,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_7.jpeg,did not like,3.470791822,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,2.403,NAN,,NAN,0,6,,0,3,3,3,1,4,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_5.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,1,,,,,,space,3.5766,space,850.4074,,0,0,0,0,1,Go camping with my boyfriend,Swim in the ocean,0.01,0.01,4.4,0,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,0,1,1,1,1,Take photos of nature with my friends,Walk around downtown denver,0.02,0.01,8.8,0,0.02,1.3747,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,0,2,2,2,1,Walk in the sand in south carolina,Swim at the pool with my siblings,0.03,0.01,3.3,1,0.01,2.2082,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,4,,,,,,,,,,2,0,3,3,3,1,Write poetry underneath the shade of a willow tree,Go to a concert with friends,0.04,0.01,1.1,1,0.01,2.7181,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,5,,,,,,,,,,2,0,4,4,4,1,Play outside with the cats with my boyfriend,Hike at red rocks at night in the summer,0.05,0.01,1.1,0,0.01,2.8173,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,NAN,,NAN,0.05,5.95,,0,4,4,4,1,5,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_11.jpeg,liked,2.455989137,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,1.8043,NAN,,NAN,0.05,5.95,,0,5,5,5,1,6,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_24.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,1.4598,NAN,,NAN,0.05,5.95,,0,6,6,6,1,7,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_21.jpeg,liked,3.562416326,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,1.1691,NAN,,NAN,0.05,5.95,,0,7,7,7,1,8,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_20.jpeg,did not like,2.843822497,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,1.0663,NAN,,NAN,0.05,5.95,,0,8,8,8,1,9,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_4.jpeg,liked,3.546495948,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,6,,,,,,space,11.3413,space,5.9433,1,0,0,0,0,1,Go on a hike with my friends,Drink iced tea on the front porch,0.01,0.02,3.3,0,0.01,1.8052,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,7,,,,,,,,,,1,0,1,1,1,1,Listen to music while driving with the windows down,Eat at a restaurant with my boyfriend,0.02,0.02,1.1,1,0.02,2.7418,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,8,,,,,,,,,,2,0,2,2,2,1,Take photos of nature with my friends,Play with my cats in my cool apartment,0.03,0.02,1.1,0,0.02,1.8674,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,9,,,,,,,,,,2,0,3,3,3,1,Swim at the pool with my siblings,Do yoga early in the morning outside,0.04,0.02,4.4,0,0.02,1.7106,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,10,,,,,,,,,,2,0,4,4,4,1,Walk around downtown denver,Walk around the mall with my mom,0.05,0.02,1.1,1,0.02,1.3784,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,NAN,,NAN,0.14,5.86,,0,9,9,9,1,10,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_17.jpeg,liked,1.672012706,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.3502,NAN,,NAN,0.14,5.86,,0,10,10,10,1,11,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_22.jpeg,liked,4.942172136,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,2.2306,NAN,,NAN,0.14,5.86,,0,11,11,11,1,12,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_25.jpeg,liked,2.50187214,,,,,,,,,,,,,,,,,,,,,,,
