endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,key_resp.rt,end_screen_keys.keys,end_screen_keys.rt
space,5.7654,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,space,13.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,space,1.9042,space,1.2351,NAN,,NAN,0,6,,0,0,0,0,1,1,Alex,Rej,Participant_Images/663a7379aca69d9c20130cd1/663a7379aca69d9c20130cd1_Images/663a7379aca69d9c20130cd1_Image_20.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,space,1.1392,NAN,,NAN,0,6,,0,1,1,1,1,2,Alex,Rej,Participant_Images/663a7379aca69d9c20130cd1/663a7379aca69d9c20130cd1_Images/663a7379aca69d9c20130cd1_Image_1.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,space,1.2863,NAN,,NAN,0,6,,0,2,2,2,1,3,Alex,Rej,Participant_Images/663a7379aca69d9c20130cd1/663a7379aca69d9c20130cd1_Images/663a7379aca69d9c20130cd1_Image_16.jpeg,did not like,3.470791822,,,,,,,,,,,,,,,,,,,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,space,0.9538,NAN,,NAN,0,6,,0,3,3,3,1,4,Alex,Rej,Participant_Images/663a7379aca69d9c20130cd1/663a7379aca69d9c20130cd1_Images/663a7379aca69d9c20130cd1_Image_25.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,1,,,,,,space,16.1624,space,11.0667,0.01,2,9.5091,0,0,0,0,1,Sing and dance to music throughout the apartment without any restraint,Walk in the park with my best friend to share what has been going on in our lives,0.01,0.01,4.4,1,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.01,2,6.9133,0,1,1,1,1,Cuddle on the couch  with my partner and watch a movie,Take the subway to manhattan to go to the farmers market and be around all of the diverse people in the city,0.02,0.01,8.8,0,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.01,2,2.3903,0,2,2,2,1,Browse items at an antique shop with my family,Go to the park to write in my journal about my dreams and current goals,0.03,0.01,3.3,0,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.04,1,3.275,0,3,3,3,1,Hike somewhere new with a friend,Go to the park to write in my journal about my dreams and current goals,0.04,0.01,1.1,0,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,5,,,,,,,,,,0.01,2,2.5973,0,4,4,4,1,Prep a meal as with my partner ,Go to the park to write in my journal about my dreams and current goals,0.05,0.01,1.1,0,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,,,NAN,,NAN,0.08,5.92,,0,4,4,4,1,5,Alex,Rej,Participant_Images/663a7379aca69d9c20130cd1/663a7379aca69d9c20130cd1_Images/663a7379aca69d9c20130cd1_Image_7.jpeg,liked,2.455989137,,,,,,,,,,,,,,,,,,,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,space,1.2328,NAN,,NAN,0.08,5.92,,0,5,5,5,1,6,Alex,Rej,Participant_Images/663a7379aca69d9c20130cd1/663a7379aca69d9c20130cd1_Images/663a7379aca69d9c20130cd1_Image_8.jpeg,did not like,3.79605092,,,,,,,,,,,,,,,,,,,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,space,0.8337,NAN,,NAN,0.08,5.92,,0,6,6,6,1,7,Alex,Rej,Participant_Images/663a7379aca69d9c20130cd1/663a7379aca69d9c20130cd1_Images/663a7379aca69d9c20130cd1_Image_10.jpeg,did not like,3.562416326,,,,,,,,,,,,,,,,,,,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,space,1.3843,NAN,,NAN,0.08,5.92,,0,7,7,7,1,8,Alex,Rej,Participant_Images/663a7379aca69d9c20130cd1/663a7379aca69d9c20130cd1_Images/663a7379aca69d9c20130cd1_Image_14.jpeg,liked,2.843822497,,,,,,,,,,,,,,,,,,,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,space,0.6255,NAN,,NAN,0.08,5.92,,0,8,8,8,1,9,Alex,Rej,Participant_Images/663a7379aca69d9c20130cd1/663a7379aca69d9c20130cd1_Images/663a7379aca69d9c20130cd1_Image_6.jpeg,liked,3.546495948,,,,,,,,,,,,,,,,,,,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,6,,,,,,space,10.7582,space,3.7718,0.01,1,3.1725,0,0,0,0,1,Prep a meal as with my partner ,Sing and dance to music throughout the apartment without any restraint,0.01,0.02,3.3,0,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0.02,2,2.9221,0,1,1,1,1,Bike on a crisp fall or spring day to get out energy and discover something new in the neighborhood,Eat new foods at a local spot in the city with my partner,0.02,0.02,1.1,1,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,8,,,,,,,,,,0.02,2,3.9779,0,2,2,2,1,Eat new foods at a local spot in the city with my partner,Go to the park to write in my journal about my dreams and current goals,0.03,0.02,1.1,0,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,9,,,,,,,,,,0.04,1,3.6045,0,3,3,3,1,Prep a meal as with my partner ,Cook nutritious and seasonal foods based on how I am feeling and how the weather is outside,0.04,0.02,4.4,0,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,10,,,,,,,,,,0.02,2,2.2266,0,4,4,4,1,Play fetch with my partner and his dog  ,Walk to a local coffee shop and buying my favorite baked treat,0.05,0.02,1.1,0,,,,,
,,663a7379aca69d9c20130cd1,6685aa9113c938e83b4f1ea0,671f94aba3531e1d0dd741a2,2024-10-28_09h52.25.812,WTP_SM_Choice,2022.2.1,MacIntel,59.88023952,,,,,,,NAN,,NAN,0.19,5.81,,0,9,9,9,1,10,Alex,Rej,Participant_Images/663a7379aca69d9c20130cd1/663a7379aca69d9c20130cd1_Images/663a7379aca69d9c20130cd1_Image_23.jpeg,did not like,1.672012706,,,,,,,,,,,,,,,,,,,,,,,
