endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,5.9343,66465b2522d14ab162ff2dbd,6685aa9113c938e83b4f1ea0,66c776bfa5ed8f26d39f9578,2024-08-22_13h36.04.179,WTP_SM_Choice,2022.2.1,Linux x86_64,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66465b2522d14ab162ff2dbd,6685aa9113c938e83b4f1ea0,66c776bfa5ed8f26d39f9578,2024-08-22_13h36.04.179,WTP_SM_Choice,2022.2.1,Linux x86_64,59.52380952,space,22.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66465b2522d14ab162ff2dbd,6685aa9113c938e83b4f1ea0,66c776bfa5ed8f26d39f9578,2024-08-22_13h36.04.179,WTP_SM_Choice,2022.2.1,Linux x86_64,59.52380952,,,space,7.2553,space,0.7998,NAN,,NAN,0,6,,0,0,0,0,1,1,Charlie,Rej,Participant_Images/66465b2522d14ab162ff2dbd/66465b2522d14ab162ff2dbd_Images/66465b2522d14ab162ff2dbd_Image_12.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,66465b2522d14ab162ff2dbd,6685aa9113c938e83b4f1ea0,66c776bfa5ed8f26d39f9578,2024-08-22_13h36.04.179,WTP_SM_Choice,2022.2.1,Linux x86_64,59.52380952,,,,,space,3.9487,NAN,,NAN,0,6,,0,1,1,1,1,2,Charlie,Rej,Participant_Images/66465b2522d14ab162ff2dbd/66465b2522d14ab162ff2dbd_Images/66465b2522d14ab162ff2dbd_Image_15.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,66465b2522d14ab162ff2dbd,6685aa9113c938e83b4f1ea0,66c776bfa5ed8f26d39f9578,2024-08-22_13h36.04.179,WTP_SM_Choice,2022.2.1,Linux x86_64,59.52380952,,,,,space,0.4861,NAN,,NAN,0,6,,0,2,2,2,1,3,Charlie,Rej,Participant_Images/66465b2522d14ab162ff2dbd/66465b2522d14ab162ff2dbd_Images/66465b2522d14ab162ff2dbd_Image_22.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,66465b2522d14ab162ff2dbd,6685aa9113c938e83b4f1ea0,66c776bfa5ed8f26d39f9578,2024-08-22_13h36.04.179,WTP_SM_Choice,2022.2.1,Linux x86_64,59.52380952,,,,,space,4.8162,NAN,,NAN,0,6,,0,3,3,3,1,4,Charlie,Rej,Participant_Images/66465b2522d14ab162ff2dbd/66465b2522d14ab162ff2dbd_Images/66465b2522d14ab162ff2dbd_Image_11.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,66465b2522d14ab162ff2dbd,6685aa9113c938e83b4f1ea0,66c776bfa5ed8f26d39f9578,2024-08-22_13h36.04.179,WTP_SM_Choice,2022.2.1,Linux x86_64,59.52380952,,,,,,,,,,,,,,,,,,1,,,,,,space,0.2853,space,6.1303,0.01,1,9.8272,0,0,0,0,1,Watch adult animation shows with my boyfriend,Take a warm bath,0.01,0.01,4.4,0,,,,
,,66465b2522d14ab162ff2dbd,6685aa9113c938e83b4f1ea0,66c776bfa5ed8f26d39f9578,2024-08-22_13h36.04.179,WTP_SM_Choice,2022.2.1,Linux x86_64,59.52380952,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.01,2,4.466,0,1,1,1,1,Play with my animals,Watch adult animation shows with my boyfriend,0.02,0.01,8.8,1,,,,
,,66465b2522d14ab162ff2dbd,6685aa9113c938e83b4f1ea0,66c776bfa5ed8f26d39f9578,2024-08-22_13h36.04.179,WTP_SM_Choice,2022.2.1,Linux x86_64,59.52380952,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.03,1,3.9211,0,2,2,2,1,Play video games,Watch tv saturday nights with my dad,0.03,0.01,3.3,1,,,,
,,66465b2522d14ab162ff2dbd,6685aa9113c938e83b4f1ea0,66c776bfa5ed8f26d39f9578,2024-08-22_13h36.04.179,WTP_SM_Choice,2022.2.1,Linux x86_64,59.52380952,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.04,1,3.147,0,3,3,3,1,Take a warm bath,Go fish with my family,0.04,0.01,1.1,1,,,,
