endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt,social_left
space,2.6154,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,space,2.3064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,space,1.895,space,1.7033,NAN,,NAN,0,6,,0,0,0,0,1,1,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_4.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,1.7255,NAN,,NAN,0,6,,0,1,1,1,1,2,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_16.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,1.0773,NAN,,NAN,0,6,,0,2,2,2,1,3,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_24.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,0.9781,NAN,,NAN,0,6,,0,3,3,3,1,4,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_7.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,1,,,,,,space,1.76,space,11.0631,0.01,2,3.2375,0,0,0,0,1,Lay down on the sand at the beach,Drive around blasting music with my friends,0.01,0.01,4.4,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.01,2,3.4568,0,1,1,1,1,Do statistics research from my office,Playchess with a friend,0.02,0.01,8.8,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.01,2,3.4324,0,2,2,2,1,Take a walk in my neighborhood on a sunny day,Play board games with my friends,0.03,0.01,3.3,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.01,2,3.4453,0,3,3,3,1,Watch YouTube documentary videos about history,Read a book at a park with my girlfriend,0.04,0.01,1.1,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,5,,,,,,,,,,0.01,2,3.456,0,4,4,4,1,Do statistics research from my office,Play laser tag with my friends,0.05,0.01,1.1,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,NAN,,NAN,0.05,5.95,,0,4,4,4,1,5,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_3.jpeg,liked,2.455989137,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,3.4704,NAN,,NAN,0.05,5.95,,0,5,5,5,1,6,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_9.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,,,,
