endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,6.5765,6679bdceaa28479dfe378bb6,6685aa9113c938e83b4f1ea0,669bdea8896ecc9457722270,2024-07-20_11h59.56.276,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6679bdceaa28479dfe378bb6,6685aa9113c938e83b4f1ea0,669bdea8896ecc9457722270,2024-07-20_11h59.56.276,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,space,13.9441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6679bdceaa28479dfe378bb6,6685aa9113c938e83b4f1ea0,669bdea8896ecc9457722270,2024-07-20_11h59.56.276,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,space,2.7637,space,2.4414,NAN,,NAN,0,6,,0,0,0,0,1,1,Charlie,Rej,Participant_Images/6679bdceaa28479dfe378bb6/6679bdceaa28479dfe378bb6_Images/6679bdceaa28479dfe378bb6_Image_7.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,6679bdceaa28479dfe378bb6,6685aa9113c938e83b4f1ea0,669bdea8896ecc9457722270,2024-07-20_11h59.56.276,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,1.5518,NAN,,NAN,0,6,,0,1,1,1,1,2,Charlie,Rej,Participant_Images/6679bdceaa28479dfe378bb6/6679bdceaa28479dfe378bb6_Images/6679bdceaa28479dfe378bb6_Image_22.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,6679bdceaa28479dfe378bb6,6685aa9113c938e83b4f1ea0,669bdea8896ecc9457722270,2024-07-20_11h59.56.276,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,1.0669,NAN,,NAN,0,6,,0,2,2,2,1,3,Charlie,Rej,Participant_Images/6679bdceaa28479dfe378bb6/6679bdceaa28479dfe378bb6_Images/6679bdceaa28479dfe378bb6_Image_25.jpeg,did not like,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,6679bdceaa28479dfe378bb6,6685aa9113c938e83b4f1ea0,669bdea8896ecc9457722270,2024-07-20_11h59.56.276,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,3.1295,NAN,,NAN,0,6,,0,3,3,3,1,4,Charlie,Rej,Participant_Images/6679bdceaa28479dfe378bb6/6679bdceaa28479dfe378bb6_Images/6679bdceaa28479dfe378bb6_Image_3.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,6679bdceaa28479dfe378bb6,6685aa9113c938e83b4f1ea0,669bdea8896ecc9457722270,2024-07-20_11h59.56.276,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,1,,,,,,space,32.4089,space,14.9052,0.01,2,6.6343,0,0,0,0,1,go to home decor stores and judging the items ,swim in a pool with my friends,0.01,0.01,4.4,1,,,,
,,6679bdceaa28479dfe378bb6,6685aa9113c938e83b4f1ea0,669bdea8896ecc9457722270,2024-07-20_11h59.56.276,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.02,1,6.2677,0,1,1,1,1,drive around listening to music,swim in a pool with my friends,0.02,0.01,8.8,1,,,,
,,6679bdceaa28479dfe378bb6,6685aa9113c938e83b4f1ea0,669bdea8896ecc9457722270,2024-07-20_11h59.56.276,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.03,1,2.0323,0,2,2,2,1,watch real housewives with my friends ,drive around listening to music,0.03,0.01,3.3,0,,,,
,,6679bdceaa28479dfe378bb6,6685aa9113c938e83b4f1ea0,669bdea8896ecc9457722270,2024-07-20_11h59.56.276,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.01,2,3.0544,0,3,3,3,1,open up gifts with my friends,ride a bike around a lake,0.04,0.01,1.1,0,,,,
