endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,2.9874,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,space,13.7317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,space,1.7048,space,1.3434,NAN,,NAN,0,6,,0,0,0,0,1,1,Riley,Acc,Participant_Images/6686247e6177b8b37bdd0463/6686247e6177b8b37bdd0463_Images/6686247e6177b8b37bdd0463_Image_6.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,1.0261,NAN,,NAN,0,6,,0,1,1,1,1,2,Riley,Acc,Participant_Images/6686247e6177b8b37bdd0463/6686247e6177b8b37bdd0463_Images/6686247e6177b8b37bdd0463_Image_9.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,0.4743,NAN,,NAN,0,6,,0,2,2,2,1,3,Riley,Acc,Participant_Images/6686247e6177b8b37bdd0463/6686247e6177b8b37bdd0463_Images/6686247e6177b8b37bdd0463_Image_22.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,0.362,NAN,,NAN,0,6,,0,3,3,3,1,4,Riley,Acc,Participant_Images/6686247e6177b8b37bdd0463/6686247e6177b8b37bdd0463_Images/6686247e6177b8b37bdd0463_Image_8.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,1,,,,,,space,14.0043,space,9.0018,0.01,2,6.0841,0,0,0,0,1,learn more about my religion in a group,Start a new project,0.01,0.01,4.4,0,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.02,1,2.4958,0,1,1,1,1,Have a study session with my gf,Play video games,0.02,0.01,8.8,0,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.03,1,2.6108,0,2,2,2,1,cook outside,Play league soccer on sundays with my team,0.03,0.01,3.3,1,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.01,2,1.8261,0,3,3,3,1,Watch the sunset,Drink with friends at a party,0.04,0.01,1.1,1,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,5,,,,,,,,,,0.01,2,1.1758,0,4,4,4,1,Do exercise,Have a study session with my gf,0.05,0.01,1.1,1,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,NAN,,NAN,0.08,5.92,,0,4,4,4,1,5,Riley,Acc,Participant_Images/6686247e6177b8b37bdd0463/6686247e6177b8b37bdd0463_Images/6686247e6177b8b37bdd0463_Image_23.jpeg,liked,2.455989137,,,,,,,,,,,,,,,,,,,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,1.0917,NAN,,NAN,0.08,5.92,,0,5,5,5,1,6,Riley,Acc,Participant_Images/6686247e6177b8b37bdd0463/6686247e6177b8b37bdd0463_Images/6686247e6177b8b37bdd0463_Image_2.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,0.7191,NAN,,NAN,0.08,5.92,,0,6,6,6,1,7,Riley,Acc,Participant_Images/6686247e6177b8b37bdd0463/6686247e6177b8b37bdd0463_Images/6686247e6177b8b37bdd0463_Image_13.jpeg,did not like,3.562416326,,,,,,,,,,,,,,,,,,,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,0.4301,NAN,,NAN,0.08,5.92,,0,7,7,7,1,8,Riley,Acc,Participant_Images/6686247e6177b8b37bdd0463/6686247e6177b8b37bdd0463_Images/6686247e6177b8b37bdd0463_Image_5.jpeg,liked,2.843822497,,,,,,,,,,,,,,,,,,,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,0.3467,NAN,,NAN,0.08,5.92,,0,8,8,8,1,9,Riley,Acc,Participant_Images/6686247e6177b8b37bdd0463/6686247e6177b8b37bdd0463_Images/6686247e6177b8b37bdd0463_Image_4.jpeg,liked,3.546495948,,,,,,,,,,,,,,,,,,,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,6,,,,,,space,11.1068,space,3.4623,0.01,1,1.0685,0,0,0,0,1,Watch tv shows,Drink with friends at a party,0.01,0.02,3.3,1,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0.02,2,3.7847,0,1,1,1,1,cook outside,Do new activities with people,0.02,0.02,1.1,1,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,8,,,,,,,,,,0.02,2,1.4906,0,2,2,2,1,Drink with friends at a party,Play soccer,0.03,0.02,1.1,0,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,9,,,,,,,,,,0.02,2,1.24,0,3,3,3,1,Do new activities with people,Watch tv shows,0.04,0.02,4.4,0,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,10,,,,,,,,,,0.02,2,1.1576,0,4,4,4,1,Go on a date with significant other,Watch tv shows,0.05,0.02,1.1,0,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,NAN,,NAN,0.17,5.83,,0,9,9,9,1,10,Riley,Acc,Participant_Images/6686247e6177b8b37bdd0463/6686247e6177b8b37bdd0463_Images/6686247e6177b8b37bdd0463_Image_16.jpeg,liked,1.672012706,,,,,,,,,,,,,,,,,,,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,2.7655,NAN,,NAN,0.17,5.83,,0,10,10,10,1,11,Riley,Acc,Participant_Images/6686247e6177b8b37bdd0463/6686247e6177b8b37bdd0463_Images/6686247e6177b8b37bdd0463_Image_3.jpeg,did not like,4.942172136,,,,,,,,,,,,,,,,,,,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,0.7866,NAN,,NAN,0.17,5.83,,0,11,11,11,1,12,Riley,Acc,Participant_Images/6686247e6177b8b37bdd0463/6686247e6177b8b37bdd0463_Images/6686247e6177b8b37bdd0463_Image_25.jpeg,liked,2.50187214,,,,,,,,,,,,,,,,,,,,,,
,,6686247e6177b8b37bdd0463,6685aa9113c938e83b4f1ea0,67230bef617b4f90a6cbc8c7,2024-10-30_23h49.13.165,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,1.4584,NAN,,NAN,0.17,5.83,,0,12,12,12,1,13,Riley,Acc,Participant_Images/6686247e6177b8b37bdd0463/6686247e6177b8b37bdd0463_Images/6686247e6177b8b37bdd0463_Image_24.jpeg,did not like,2.071164779,,,,,,,,,,,,,,,,,,,,,,
