endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,6.457,66946e3054a30a2bf5b1be40,6685aa9113c938e83b4f1ea0,6700803f34fb66ea6dbf1971,2024-10-04_19h55.42.162,WTP_SM_Choice,2022.2.1,Win32,303.030303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66946e3054a30a2bf5b1be40,6685aa9113c938e83b4f1ea0,6700803f34fb66ea6dbf1971,2024-10-04_19h55.42.162,WTP_SM_Choice,2022.2.1,Win32,303.030303,space,17.4222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66946e3054a30a2bf5b1be40,6685aa9113c938e83b4f1ea0,6700803f34fb66ea6dbf1971,2024-10-04_19h55.42.162,WTP_SM_Choice,2022.2.1,Win32,303.030303,,,space,1.5903,space,1.231,NAN,,NAN,0,6,,0,0,0,0,1,1,Riley,Rej,Participant_Images/66946e3054a30a2bf5b1be40/66946e3054a30a2bf5b1be40_Images/66946e3054a30a2bf5b1be40_Image_25.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,66946e3054a30a2bf5b1be40,6685aa9113c938e83b4f1ea0,6700803f34fb66ea6dbf1971,2024-10-04_19h55.42.162,WTP_SM_Choice,2022.2.1,Win32,303.030303,,,,,space,0.5108,NAN,,NAN,0,6,,0,1,1,1,1,2,Riley,Rej,Participant_Images/66946e3054a30a2bf5b1be40/66946e3054a30a2bf5b1be40_Images/66946e3054a30a2bf5b1be40_Image_1.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,66946e3054a30a2bf5b1be40,6685aa9113c938e83b4f1ea0,6700803f34fb66ea6dbf1971,2024-10-04_19h55.42.162,WTP_SM_Choice,2022.2.1,Win32,303.030303,,,,,space,0.5375,NAN,,NAN,0,6,,0,2,2,2,1,3,Riley,Rej,Participant_Images/66946e3054a30a2bf5b1be40/66946e3054a30a2bf5b1be40_Images/66946e3054a30a2bf5b1be40_Image_5.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,66946e3054a30a2bf5b1be40,6685aa9113c938e83b4f1ea0,6700803f34fb66ea6dbf1971,2024-10-04_19h55.42.162,WTP_SM_Choice,2022.2.1,Win32,303.030303,,,,,space,0.4951,NAN,,NAN,0,6,,0,3,3,3,1,4,Riley,Rej,Participant_Images/66946e3054a30a2bf5b1be40/66946e3054a30a2bf5b1be40_Images/66946e3054a30a2bf5b1be40_Image_18.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,66946e3054a30a2bf5b1be40,6685aa9113c938e83b4f1ea0,6700803f34fb66ea6dbf1971,2024-10-04_19h55.42.162,WTP_SM_Choice,2022.2.1,Win32,303.030303,,,,,,,,,,,,,,,,,,1,,,,,,space,22.1898,space,6.206,0.01,2,3.953,0,0,0,0,1,Make outfits I will wear for the rest of the week,Go to the movie theater with my friends,0.01,0.01,4.4,1,,,,
,,66946e3054a30a2bf5b1be40,6685aa9113c938e83b4f1ea0,6700803f34fb66ea6dbf1971,2024-10-04_19h55.42.162,WTP_SM_Choice,2022.2.1,Win32,303.030303,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.01,2,2.6691,0,1,1,1,1,Clean the house and making it feel organized,Go to the movie theater with my friends,0.02,0.01,8.8,1,,,,
,,66946e3054a30a2bf5b1be40,6685aa9113c938e83b4f1ea0,6700803f34fb66ea6dbf1971,2024-10-04_19h55.42.162,WTP_SM_Choice,2022.2.1,Win32,303.030303,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.01,2,3.6548,0,2,2,2,1,Research new clothes to buy with my boyfriend,Listen to music while in a good mood and in my house,0.03,0.01,3.3,0,,,,
,,66946e3054a30a2bf5b1be40,6685aa9113c938e83b4f1ea0,6700803f34fb66ea6dbf1971,2024-10-04_19h55.42.162,WTP_SM_Choice,2022.2.1,Win32,303.030303,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.01,2,2.6161,0,3,3,3,1,Go to the mall to purchase new clothes and getting food afterwards,Run errands with my boyfriend the whole day,0.04,0.01,1.1,1,,,,
