endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,9.9422,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,space,13.0505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,space,3.1125,space,1.3198,NAN,,NAN,0,6,,0,0,0,0,1,1,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_13.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,0.7297,NAN,,NAN,0,6,,0,1,1,1,1,2,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_3.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,0.8877,NAN,,NAN,0,6,,0,2,2,2,1,3,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_4.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,2.0926,NAN,,NAN,0,6,,0,3,3,3,1,4,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_23.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,1,,,,,,space,17.1916,space,8.5037,0.01,2,3.2357,0,0,0,0,1,Listen to ironmouse songs and covers,Go hiking with family,0.01,0.01,4.4,1,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.01,2,3.4987,0,1,1,1,1,Watch anime,Go hiking with family,0.02,0.01,8.8,1,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.03,1,5.6262,0,2,2,2,1,celebrate occasions with family,Make coffee,0.03,0.01,3.3,0,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.01,2,2.8536,0,3,3,3,1,Watch YouTube videos,Go to the library with my sister,0.04,0.01,1.1,1,,,,
