endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,107.1539,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,space,5.6471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,space,14.7602,space,0.6982,NAN,,NAN,0,6,,0,0,0,0,1,1,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_14.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.7023,NAN,,NAN,0,6,,0,1,1,1,1,2,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_20.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,6.6009,NAN,,NAN,0,6,,0,2,2,2,1,3,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_25.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,2.9087,NAN,,NAN,0,6,,0,3,3,3,1,4,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_12.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,1,,,,,,space,11.059,space,1.7576,0.01,2,6.2024,0,0,0,0,1,Attending a concert with my partner,run,0.01,0.01,4.4,0,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.01,2,5.3203,0,1,1,1,1,Have a picnic with my family,Hike to my favorite spots,0.02,0.01,8.8,0,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,0,2,2,2,1,Seeing a movie with my partner,Cook a new recipe,0.03,0.01,3.3,0,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.04,1,1.0536,0,3,3,3,1,Listen to my favorite playlist,Go to the bar to have some drinks with friends,0.04,0.01,1.1,1,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,5,,,,,,,,,,0.01,2,0.7907,0,4,4,4,1,Play fetch with my dogs and teaching them tricks,Seeing a movie with my partner,0.05,0.01,1.1,1,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,NAN,,NAN,0.07,5.93,,0,4,4,4,1,5,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_16.jpeg,did not like,2.455989137,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.3732,NAN,,NAN,0.07,5.93,,0,5,5,5,1,6,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_24.jpeg,did not like,3.79605092,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,2.494,NAN,,NAN,0.07,5.93,,0,6,6,6,1,7,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_2.jpeg,did not like,3.562416326,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.7392,NAN,,NAN,0.07,5.93,,0,7,7,7,1,8,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_7.jpeg,did not like,2.843822497,,,,,,,,,,,,,,,,,,,,,,
