endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,responses.keys,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,decision_price,responses.rt,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,2.08,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,space,1.4805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,space,1.7212,space,0.8667,NAN,,NAN,0,6,,0,0,0,0,1,1,Sam,Rej,Participant_Images/66f2946d0e3eeda7aa13eaa7/66f2946d0e3eeda7aa13eaa7_Images/66f2946d0e3eeda7aa13eaa7_Image_6.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,space,0.5144,NAN,,NAN,0,6,,0,1,1,1,1,2,Sam,Rej,Participant_Images/66f2946d0e3eeda7aa13eaa7/66f2946d0e3eeda7aa13eaa7_Images/66f2946d0e3eeda7aa13eaa7_Image_2.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,space,0.4081,NAN,,NAN,0,6,,0,2,2,2,1,3,Sam,Rej,Participant_Images/66f2946d0e3eeda7aa13eaa7/66f2946d0e3eeda7aa13eaa7_Images/66f2946d0e3eeda7aa13eaa7_Image_7.jpeg,did not like,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,space,0.5538,NAN,,NAN,0,6,,0,3,3,3,1,4,Sam,Rej,Participant_Images/66f2946d0e3eeda7aa13eaa7/66f2946d0e3eeda7aa13eaa7_Images/66f2946d0e3eeda7aa13eaa7_Image_10.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,,,,,,,,,,,,,,1,,,,,,space,0.2713,space,0.3109,,0,0,0,0,1,Eat out with my friends,Go out to parties downtown,0.01,0.01,4.4,0,,,,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,1,1,1,1,Work out with my friends,Eat at amazing restaurants with friends,0.02,0.01,8.8,0,,,,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,0,2,2,2,1,Eat out with my friends,Go on vacations with my family,0.03,0.01,3.3,0,,,,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,0,3,3,3,1,Drink and party with high school friends,Watch rain fall by myself,0.04,0.01,1.1,0,,,,,,
