endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,6.291,66f899c9525316803c5d75c0,6685aa9113c938e83b4f1ea0,670883ec613b6a280f7c6648,2024-10-10_20h49.44.051,WTP_SM_Choice,2022.2.1,Win32,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66f899c9525316803c5d75c0,6685aa9113c938e83b4f1ea0,670883ec613b6a280f7c6648,2024-10-10_20h49.44.051,WTP_SM_Choice,2022.2.1,Win32,120.4819277,space,15.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66f899c9525316803c5d75c0,6685aa9113c938e83b4f1ea0,670883ec613b6a280f7c6648,2024-10-10_20h49.44.051,WTP_SM_Choice,2022.2.1,Win32,120.4819277,,,space,2.055,space,0.996,NAN,,NAN,0,6,,0,0,0,0,1,1,Charlie,Rej,Participant_Images/66f899c9525316803c5d75c0/66f899c9525316803c5d75c0_Images/66f899c9525316803c5d75c0_Image_4.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,66f899c9525316803c5d75c0,6685aa9113c938e83b4f1ea0,670883ec613b6a280f7c6648,2024-10-10_20h49.44.051,WTP_SM_Choice,2022.2.1,Win32,120.4819277,,,,,space,1.133,NAN,,NAN,0,6,,0,1,1,1,1,2,Charlie,Rej,Participant_Images/66f899c9525316803c5d75c0/66f899c9525316803c5d75c0_Images/66f899c9525316803c5d75c0_Image_5.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,66f899c9525316803c5d75c0,6685aa9113c938e83b4f1ea0,670883ec613b6a280f7c6648,2024-10-10_20h49.44.051,WTP_SM_Choice,2022.2.1,Win32,120.4819277,,,,,space,1.009,NAN,,NAN,0,6,,0,2,2,2,1,3,Charlie,Rej,Participant_Images/66f899c9525316803c5d75c0/66f899c9525316803c5d75c0_Images/66f899c9525316803c5d75c0_Image_12.jpeg,did not like,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,66f899c9525316803c5d75c0,6685aa9113c938e83b4f1ea0,670883ec613b6a280f7c6648,2024-10-10_20h49.44.051,WTP_SM_Choice,2022.2.1,Win32,120.4819277,,,,,space,0.71,NAN,,NAN,0,6,,0,3,3,3,1,4,Charlie,Rej,Participant_Images/66f899c9525316803c5d75c0/66f899c9525316803c5d75c0_Images/66f899c9525316803c5d75c0_Image_3.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,66f899c9525316803c5d75c0,6685aa9113c938e83b4f1ea0,670883ec613b6a280f7c6648,2024-10-10_20h49.44.051,WTP_SM_Choice,2022.2.1,Win32,120.4819277,,,,,,,,,,,,,,,,,,1,,,,,,space,1.28,space,10.111,0.01,1,7.058,0,0,0,0,1,Write creative story pieces in the comfort of my room,Watch movies with my girlfriend in my room,0.01,0.01,4.4,1,,,,
,,66f899c9525316803c5d75c0,6685aa9113c938e83b4f1ea0,670883ec613b6a280f7c6648,2024-10-10_20h49.44.051,WTP_SM_Choice,2022.2.1,Win32,120.4819277,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,0,1,1,1,1,Working at my donut shop to earn money,Eat dinner with my family every day of the week,0.02,0.01,8.8,1,,,,
,,66f899c9525316803c5d75c0,6685aa9113c938e83b4f1ea0,670883ec613b6a280f7c6648,2024-10-10_20h49.44.051,WTP_SM_Choice,2022.2.1,Win32,120.4819277,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.01,2,2.928,0,2,2,2,1,Play tennis with my club members at school,Finish puzzles that i bought in my game room,0.03,0.01,3.3,0,,,,
,,66f899c9525316803c5d75c0,6685aa9113c938e83b4f1ea0,670883ec613b6a280f7c6648,2024-10-10_20h49.44.051,WTP_SM_Choice,2022.2.1,Win32,120.4819277,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.01,2,2.395,0,3,3,3,1,Sleep in with my girlfriend on rainy days,Working at my donut shop to earn money,0.04,0.01,1.1,0,,,,
