endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,12.2938,67094d6215b6d0fe3e8c3e39,6685aa9113c938e83b4f1ea0,671bd47b953b7ef32bfbb1bc,2024-10-25_12h28.58.174,WTP_SM_Choice,2022.2.1,Win32,181.8181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,67094d6215b6d0fe3e8c3e39,6685aa9113c938e83b4f1ea0,671bd47b953b7ef32bfbb1bc,2024-10-25_12h28.58.174,WTP_SM_Choice,2022.2.1,Win32,181.8181818,space,42.7238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,67094d6215b6d0fe3e8c3e39,6685aa9113c938e83b4f1ea0,671bd47b953b7ef32bfbb1bc,2024-10-25_12h28.58.174,WTP_SM_Choice,2022.2.1,Win32,181.8181818,,,space,2.4955,space,1.5083,NAN,,NAN,0,6,,0,0,0,0,1,1,Riley,Acc,Participant_Images/67094d6215b6d0fe3e8c3e39/67094d6215b6d0fe3e8c3e39_Images/67094d6215b6d0fe3e8c3e39_Image_21.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,67094d6215b6d0fe3e8c3e39,6685aa9113c938e83b4f1ea0,671bd47b953b7ef32bfbb1bc,2024-10-25_12h28.58.174,WTP_SM_Choice,2022.2.1,Win32,181.8181818,,,,,space,1.1467,NAN,,NAN,0,6,,0,1,1,1,1,2,Riley,Acc,Participant_Images/67094d6215b6d0fe3e8c3e39/67094d6215b6d0fe3e8c3e39_Images/67094d6215b6d0fe3e8c3e39_Image_14.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,67094d6215b6d0fe3e8c3e39,6685aa9113c938e83b4f1ea0,671bd47b953b7ef32bfbb1bc,2024-10-25_12h28.58.174,WTP_SM_Choice,2022.2.1,Win32,181.8181818,,,,,space,1.436,NAN,,NAN,0,6,,0,2,2,2,1,3,Riley,Acc,Participant_Images/67094d6215b6d0fe3e8c3e39/67094d6215b6d0fe3e8c3e39_Images/67094d6215b6d0fe3e8c3e39_Image_5.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,67094d6215b6d0fe3e8c3e39,6685aa9113c938e83b4f1ea0,671bd47b953b7ef32bfbb1bc,2024-10-25_12h28.58.174,WTP_SM_Choice,2022.2.1,Win32,181.8181818,,,,,space,4.5046,NAN,,NAN,0,6,,0,3,3,3,1,4,Riley,Acc,Participant_Images/67094d6215b6d0fe3e8c3e39/67094d6215b6d0fe3e8c3e39_Images/67094d6215b6d0fe3e8c3e39_Image_24.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,67094d6215b6d0fe3e8c3e39,6685aa9113c938e83b4f1ea0,671bd47b953b7ef32bfbb1bc,2024-10-25_12h28.58.174,WTP_SM_Choice,2022.2.1,Win32,181.8181818,,,,,,,,,,,,,,,,,,1,,,,,,space,26.5331,space,7.4431,0.01,1,2.4068,0,0,0,0,1,eat cookies and milk,watch movies with family on movie night,0.01,0.01,4.4,1,,,,
,,67094d6215b6d0fe3e8c3e39,6685aa9113c938e83b4f1ea0,671bd47b953b7ef32bfbb1bc,2024-10-25_12h28.58.174,WTP_SM_Choice,2022.2.1,Win32,181.8181818,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.02,1,2.2726,0,1,1,1,1,read the news before bed,go out with my friends to meet and greet car meets,0.02,0.01,8.8,1,,,,
,,67094d6215b6d0fe3e8c3e39,6685aa9113c938e83b4f1ea0,671bd47b953b7ef32bfbb1bc,2024-10-25_12h28.58.174,WTP_SM_Choice,2022.2.1,Win32,181.8181818,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.01,2,3.2546,0,2,2,2,1,watch soccer with my dads side of family,drive around late at night,0.03,0.01,3.3,0,,,,
,,67094d6215b6d0fe3e8c3e39,6685aa9113c938e83b4f1ea0,671bd47b953b7ef32bfbb1bc,2024-10-25_12h28.58.174,WTP_SM_Choice,2022.2.1,Win32,181.8181818,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.04,1,3.3459,0,3,3,3,1,eat and watch a show,go out with my friends to the movies,0.04,0.01,1.1,1,,,,
,,67094d6215b6d0fe3e8c3e39,6685aa9113c938e83b4f1ea0,671bd47b953b7ef32bfbb1bc,2024-10-25_12h28.58.174,WTP_SM_Choice,2022.2.1,Win32,181.8181818,,,,,,,,,,,,,,,,,,5,,,,,,,,,,0.05,1,3.2155,0,4,4,4,1,get together with family to celebrate someone's birthday,play video games while its raining,0.05,0.01,1.1,0,,,,
,,67094d6215b6d0fe3e8c3e39,6685aa9113c938e83b4f1ea0,671bd47b953b7ef32bfbb1bc,2024-10-25_12h28.58.174,WTP_SM_Choice,2022.2.1,Win32,181.8181818,,,,,,,NAN,,NAN,0.13,5.87,,0,4,4,4,1,5,Riley,Acc,Participant_Images/67094d6215b6d0fe3e8c3e39/67094d6215b6d0fe3e8c3e39_Images/67094d6215b6d0fe3e8c3e39_Image_19.jpeg,liked,2.455989137,,,,,,,,,,,,,,,,,,,,,,
,,67094d6215b6d0fe3e8c3e39,6685aa9113c938e83b4f1ea0,671bd47b953b7ef32bfbb1bc,2024-10-25_12h28.58.174,WTP_SM_Choice,2022.2.1,Win32,181.8181818,,,,,space,1.2237,NAN,,NAN,0.13,5.87,,0,5,5,5,1,6,Riley,Acc,Participant_Images/67094d6215b6d0fe3e8c3e39/67094d6215b6d0fe3e8c3e39_Images/67094d6215b6d0fe3e8c3e39_Image_17.jpeg,did not like,3.79605092,,,,,,,,,,,,,,,,,,,,,,
,,67094d6215b6d0fe3e8c3e39,6685aa9113c938e83b4f1ea0,671bd47b953b7ef32bfbb1bc,2024-10-25_12h28.58.174,WTP_SM_Choice,2022.2.1,Win32,181.8181818,,,,,space,1.281,NAN,,NAN,0.13,5.87,,0,6,6,6,1,7,Riley,Acc,Participant_Images/67094d6215b6d0fe3e8c3e39/67094d6215b6d0fe3e8c3e39_Images/67094d6215b6d0fe3e8c3e39_Image_6.jpeg,liked,3.562416326,,,,,,,,,,,,,,,,,,,,,,
,,67094d6215b6d0fe3e8c3e39,6685aa9113c938e83b4f1ea0,671bd47b953b7ef32bfbb1bc,2024-10-25_12h28.58.174,WTP_SM_Choice,2022.2.1,Win32,181.8181818,,,,,space,0.8582,NAN,,NAN,0.13,5.87,,0,7,7,7,1,8,Riley,Acc,Participant_Images/67094d6215b6d0fe3e8c3e39/67094d6215b6d0fe3e8c3e39_Images/67094d6215b6d0fe3e8c3e39_Image_23.jpeg,liked,2.843822497,,,,,,,,,,,,,,,,,,,,,,
