endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,key_resp.rt,end_screen_keys.keys,end_screen_keys.rt
space,6.4672,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,space,39.0131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,space,3.0829,space,1.9949,NAN,,NAN,0,6,,0,0,0,0,1,1,Charlie,Acc,Participant_Images/670d326c55fa3d6f10ebe253/670d326c55fa3d6f10ebe253_Images/670d326c55fa3d6f10ebe253_Image_13.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.9765,NAN,,NAN,0,6,,0,1,1,1,1,2,Charlie,Acc,Participant_Images/670d326c55fa3d6f10ebe253/670d326c55fa3d6f10ebe253_Images/670d326c55fa3d6f10ebe253_Image_16.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.9196,NAN,,NAN,0,6,,0,2,2,2,1,3,Charlie,Acc,Participant_Images/670d326c55fa3d6f10ebe253/670d326c55fa3d6f10ebe253_Images/670d326c55fa3d6f10ebe253_Image_22.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,2.1872,NAN,,NAN,0,6,,0,3,3,3,1,4,Charlie,Acc,Participant_Images/670d326c55fa3d6f10ebe253/670d326c55fa3d6f10ebe253_Images/670d326c55fa3d6f10ebe253_Image_2.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,1,,,,,,space,17.1151,space,17.5632,0.01,1,2.9702,0,0,0,0,1,Drive to go get coffee on a foggy day ,Meet at a plant store with my sisters to buy plants once a year,0.01,0.01,4.4,1,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.02,1,2.6031,0,1,1,1,1,Watch football with nick my husband every weekend,Walk around the block during sunrise on a sunday for 30 mintues  ,0.02,0.01,8.8,0,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.01,2,3.4292,0,2,2,2,1,Star gaze on my roof for the best view of the sky,Go to a cafe to see my bestfriends every 6 weeks ,0.03,0.01,3.3,1,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.04,1,2.7409,0,3,3,3,1,Watch football with nick my husband every weekend,Star gaze on my roof for the best view of the sky,0.04,0.01,1.1,0,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,5,,,,,,,,,,0.01,2,4.9708,0,4,4,4,1,Go to a cafe to see my bestfriends every 6 weeks ,Meditate in my backyard at night to hear all the crickets sing ,0.05,0.01,1.1,0,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,NAN,,NAN,0.09,5.91,,0,4,4,4,1,5,Charlie,Acc,Participant_Images/670d326c55fa3d6f10ebe253/670d326c55fa3d6f10ebe253_Images/670d326c55fa3d6f10ebe253_Image_19.jpeg,liked,2.455989137,,,,,,,,,,,,,,,,,,,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.8218,NAN,,NAN,0.09,5.91,,0,5,5,5,1,6,Charlie,Acc,Participant_Images/670d326c55fa3d6f10ebe253/670d326c55fa3d6f10ebe253_Images/670d326c55fa3d6f10ebe253_Image_5.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.9778,NAN,,NAN,0.09,5.91,,0,6,6,6,1,7,Charlie,Acc,Participant_Images/670d326c55fa3d6f10ebe253/670d326c55fa3d6f10ebe253_Images/670d326c55fa3d6f10ebe253_Image_18.jpeg,liked,3.562416326,,,,,,,,,,,,,,,,,,,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.5841,NAN,,NAN,0.09,5.91,,0,7,7,7,1,8,Charlie,Acc,Participant_Images/670d326c55fa3d6f10ebe253/670d326c55fa3d6f10ebe253_Images/670d326c55fa3d6f10ebe253_Image_3.jpeg,liked,2.843822497,,,,,,,,,,,,,,,,,,,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,2.6921,NAN,,NAN,0.09,5.91,,0,8,8,8,1,9,Charlie,Acc,Participant_Images/670d326c55fa3d6f10ebe253/670d326c55fa3d6f10ebe253_Images/670d326c55fa3d6f10ebe253_Image_24.jpeg,did not like,3.546495948,,,,,,,,,,,,,,,,,,,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,6,,,,,,space,17.2433,space,10.106,0.01,1,1.727,0,0,0,0,1,Meditate in my backyard at night to hear all the crickets sing ,Play video games with my best friend every night after 8,0.01,0.02,3.3,1,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0.02,1,2.4886,0,1,1,1,1,Paint on rocks during the summer ,Play video games with my best friend every night after 8,0.02,0.02,1.1,1,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,8,,,,,,,,,,0.02,2,1.7455,0,2,2,2,1,Meet at a plant store with my sisters to buy plants once a year,Binge watch a netflix show and finishing it the same day,0.03,0.02,1.1,0,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,9,,,,,,,,,,0.02,2,2.7287,0,3,3,3,1,Play video games with my best friend every night after 8, Water my plants on a slow friday morning outside,0.04,0.02,4.4,0,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,10,,,,,,,,,,0.02,2,2.1766,0,4,4,4,1,Play video games with my best friend every night after 8,Drive to go get coffee on a foggy day ,0.05,0.02,1.1,0,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,NAN,,NAN,0.18,5.82,,0,9,9,9,1,10,Charlie,Acc,Participant_Images/670d326c55fa3d6f10ebe253/670d326c55fa3d6f10ebe253_Images/670d326c55fa3d6f10ebe253_Image_25.jpeg,liked,1.672012706,,,,,,,,,,,,,,,,,,,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,3.7929,NAN,,NAN,0.18,5.82,,0,10,10,10,1,11,Charlie,Acc,Participant_Images/670d326c55fa3d6f10ebe253/670d326c55fa3d6f10ebe253_Images/670d326c55fa3d6f10ebe253_Image_6.jpeg,did not like,4.942172136,,,,,,,,,,,,,,,,,,,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,8.1051,NAN,,NAN,0.18,5.82,,0,11,11,11,1,12,Charlie,Acc,Participant_Images/670d326c55fa3d6f10ebe253/670d326c55fa3d6f10ebe253_Images/670d326c55fa3d6f10ebe253_Image_1.jpeg,liked,2.50187214,,,,,,,,,,,,,,,,,,,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,2.1535,NAN,,NAN,0.18,5.82,,0,12,12,12,1,13,Charlie,Acc,Participant_Images/670d326c55fa3d6f10ebe253/670d326c55fa3d6f10ebe253_Images/670d326c55fa3d6f10ebe253_Image_11.jpeg,liked,2.071164779,,,,,,,,,,,,,,,,,,,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.6519,NAN,,NAN,0.18,5.82,,0,13,13,13,1,14,Charlie,Acc,Participant_Images/670d326c55fa3d6f10ebe253/670d326c55fa3d6f10ebe253_Images/670d326c55fa3d6f10ebe253_Image_21.jpeg,liked,5.336503566,,,,,,,,,,,,,,,,,,,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,11,,,,,,space,10.2433,space,21.4602,0.01,1,1.66,0,0,0,0,1,Meet up with old co workers every few months at a new restaurant,Meditate in my backyard at night to hear all the crickets sing ,0.01,0.03,3.3,0,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0.02,1,2.5794,0,1,1,1,1,Meet my family at church every sunday, Plant shop to see new kinds of plants they have ,0.02,0.03,4.4,0,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,13,,,,,,,,,,0.03,1,4.0446,0,2,2,2,1,Watch football with nick my husband every weekend,Drive to go get coffee on a foggy day ,0.03,0.03,1.1,0,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,14,,,,,,,,,,0.03,2,2.0478,0,3,3,3,1,Watch movies with my family once a month,Paint on rocks during the summer ,0.04,0.03,3.3,0,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,15,,,,,,,,,,0.03,2,2.4274,0,4,4,4,1,Play video games with my best friend every night after 8,Star gaze on my roof for the best view of the sky,0.05,0.03,4.4,0,,,,,
