endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,responses.keys,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,decision_price,responses.rt,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,9.2063,671469967e2a4f2e612e3846,6685aa9113c938e83b4f1ea0,672c17a370a6216d81522a8c,2024-11-06_18h29.58.865,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,671469967e2a4f2e612e3846,6685aa9113c938e83b4f1ea0,672c17a370a6216d81522a8c,2024-11-06_18h29.58.865,WTP_SM_Choice,2022.2.1,Win32,60.24096386,space,14.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,671469967e2a4f2e612e3846,6685aa9113c938e83b4f1ea0,672c17a370a6216d81522a8c,2024-11-06_18h29.58.865,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,space,1.946,space,1.5623,NAN,,NAN,0,6,,0,0,0,0,1,1,Alex,Acc,Participant_Images/671469967e2a4f2e612e3846/671469967e2a4f2e612e3846_Images/671469967e2a4f2e612e3846_Image_5.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,671469967e2a4f2e612e3846,6685aa9113c938e83b4f1ea0,672c17a370a6216d81522a8c,2024-11-06_18h29.58.865,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.6497,NAN,,NAN,0,6,,0,1,1,1,1,2,Alex,Acc,Participant_Images/671469967e2a4f2e612e3846/671469967e2a4f2e612e3846_Images/671469967e2a4f2e612e3846_Image_1.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,671469967e2a4f2e612e3846,6685aa9113c938e83b4f1ea0,672c17a370a6216d81522a8c,2024-11-06_18h29.58.865,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.4698,NAN,,NAN,0,6,,0,2,2,2,1,3,Alex,Acc,Participant_Images/671469967e2a4f2e612e3846/671469967e2a4f2e612e3846_Images/671469967e2a4f2e612e3846_Image_9.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,671469967e2a4f2e612e3846,6685aa9113c938e83b4f1ea0,672c17a370a6216d81522a8c,2024-11-06_18h29.58.865,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.4107,NAN,,NAN,0,6,,0,3,3,3,1,4,Alex,Acc,Participant_Images/671469967e2a4f2e612e3846/671469967e2a4f2e612e3846_Images/671469967e2a4f2e612e3846_Image_6.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,671469967e2a4f2e612e3846,6685aa9113c938e83b4f1ea0,672c17a370a6216d81522a8c,2024-11-06_18h29.58.865,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,1,,,,,,space,15.9481,space,7.5633,,0,0,0,0,1,Get together for Christmas with my family,Listen to music and dancing in my room,0.01,0.01,4.4,0,,,,,,
,,671469967e2a4f2e612e3846,6685aa9113c938e83b4f1ea0,672c17a370a6216d81522a8c,2024-11-06_18h29.58.865,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,0,1,1,1,1,Sing along with music I like in my car,Get together for Christmas with my family,0.02,0.01,8.8,1,0.01,2.9137,,,,
,,671469967e2a4f2e612e3846,6685aa9113c938e83b4f1ea0,672c17a370a6216d81522a8c,2024-11-06_18h29.58.865,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,0,2,2,2,1,Stay out late talking with a friend,Listen to music and dancing in my room,0.03,0.01,3.3,0,0.01,1.7998,,,,
,,671469967e2a4f2e612e3846,6685aa9113c938e83b4f1ea0,672c17a370a6216d81522a8c,2024-11-06_18h29.58.865,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,4,,,,,,,,,,2,0,3,3,3,1,Go on a hike with a friend,Go on a river walk and reading a book next to the water,0.04,0.01,1.1,0,0.01,1.3987,,,,
