Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
661a709094179d1e92bc45c9,63d432e27555fb4b5785cfcd,APPROVED,Not Applicable,2024-04-13T11:46:29.923000Z,2024-04-13T13:52:43.570000Z,2024-05-04T00:00:31.351000Z,2024-04-13T13:52:44.217359Z,7574.0,C7366LWU,704,34,Female,White,United States,United States,United States,English,No,Full-Time
661a9c23b55e4840cc0191c6,66036442d5a1059cf1eac3b5,APPROVED,Not Applicable,2024-04-13T14:52:24.686000Z,2024-04-13T15:41:12.011000Z,2024-05-04T00:00:31.874000Z,2024-04-13T15:41:12.589245Z,2928.0,C7366LWU,147,27,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
661ab170cfb0962ebf1ddf2b,660482648009855d3c92ce84,APPROVED,Not Applicable,2024-04-13T16:23:17.402000Z,2024-04-13T17:21:09.756000Z,2024-05-04T00:00:32.380000Z,2024-04-13T17:21:20.914121Z,3473.0,C7366LWU,111,20,Male,White,United States,United States,United States,English,Yes,Full-Time
661b78c482f274bd45270aed,5e6027f12036113753519c82,APPROVED,Not Applicable,2024-04-14T06:33:44.217000Z,2024-04-14T07:27:55.975000Z,2024-05-05T00:00:25.191000Z,2024-04-14T07:27:56.560767Z,3252.0,C7366LWU,621,26,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
661c44d5faa57fbb5d1cf297,60fc66800ccfce9c74ed4f3d,APPROVED,Not Applicable,2024-04-14T21:04:25.722000Z,2024-04-14T21:46:28.609000Z,2024-05-05T00:00:26.331000Z,2024-04-14T21:46:29.238188Z,2523.0,C7366LWU,827,25,Female,White,United States,United States,United States,English,No,Full-Time
661d73ec55f988165cfa82f5,5c5c451500b69200011bb8bf,APPROVED,Not Applicable,2024-04-15T18:37:37.692000Z,2024-04-15T20:06:23.806000Z,2024-05-06T00:03:19.770000Z,2024-04-15T20:06:24.365706Z,5327.0,C7366LWU,632,32,Male,Asian,United States,United States,United States,Vietnamese,No,Full-Time
661ebe1250b2fa969b5130cc,65779c4bde34621ce896b77d,APPROVED,Not Applicable,2024-04-16T18:06:10.417000Z,2024-04-16T18:58:23.182000Z,2024-05-07T00:02:34.283000Z,2024-04-16T18:58:31.701294Z,3133.0,C7366LWU,109,35,Male,Other,United States,United States,United States,English,No,Full-Time
667c11d8d6e4969a884baa1f,5685850c333cbd000d4e042f,APPROVED,Not Applicable,2024-06-26T13:06:03.890000Z,2024-07-03T13:27:01.320000Z,2024-07-03T13:27:02.584000Z,2024-07-03T13:27:02.730128Z,606058.0,Manual Completion,6156,30,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667c2f13b872f4712fc45ff7,663e40120b553e7aa7f786b4,APPROVED,Not Applicable,2024-06-26T15:09:14.233000Z,2024-07-02T15:24:53.067000Z,2024-07-02T15:24:53.687000Z,2024-07-02T15:24:55.850919Z,519339.0,Manual Completion,255,31,Female,White,United States,United States,United States,English,No,Full-Time
667c46be7ad1c60e309f313d,6150b927614a4f154f311f9d,APPROVED,Not Applicable,2024-06-26T16:50:15.422000Z,2024-07-03T02:37:13.703000Z,2024-07-03T02:37:14.315000Z,2024-07-03T02:37:14.610759Z,553619.0,Manual Completion,2249,34,Female,White,United States,United States,United States,English,No,Full-Time
661a9cbfe84d236ed9daa86c,60fe49ad235696796d15f22f,TIMED-OUT,Not Applicable,2024-04-13T14:55:03.137000Z,,,,25157534.0,,97,27,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
667c305f115628d0487b9e35,663e5cf112f5d047cf5c9fad,TIMED-OUT,Not Applicable,2024-06-26T15:14:45.860000Z,,,,18762751.0,,856,28,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
667c5332c7e570a1b55f6361,64c0a2d8031339ab6ec5e54a,RETURNED,Not Applicable,2024-06-26T17:43:14.789000Z,,,,,,506,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667c6c15b7b080459b30c12b,666b027ce39d6a0e2eb09d99,RETURNED,Not Applicable,2024-06-26T19:29:29.241000Z,,,,,,219,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667c9ba60d3c27624daf1966,6618bd23d65a31bd4d06d092,RETURNED,Not Applicable,2024-06-26T22:52:31.042000Z,,,,,,334,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667cebfd6008e8a9bdd052fe,65cd403c98f98c43240bd8b4,TIMED-OUT,Not Applicable,2024-06-27T04:35:16.629000Z,,,,18714721.0,,111,27,Female,Asian,United States,United States,United States,Punjabi,DATA_EXPIRED,DATA_EXPIRED
668007bb987375449cca82fe,5654175604212700054a12b1,RETURNED,Not Applicable,2024-06-29T13:10:23.348000Z,,,,,,3690,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
