participant,condition_recode,salience_mean,choice,stress_mean,stress_mean,rej-acc,ifnegvalue,choicertmean,timebetween,age,sex,order,overallaffect,prop_socialchoice,social_left,social_decisionprice_mean,nonsocial_decisionprice_mean
59d5888d21977e0001d630f3,1,2.0,1.38,7.0,7.0,-1.0,,1.24,,,,,7.5,0.52,,0.02307692307692308,0.025000000000000005
59d5888d21977e0001d630f3,2,3.5,1.42,8.0,8.0,-1.0,,0.88,,,,,7.5,0.52,,0.023461538461538464,0.020416666666666666
5a09ebdf087f2e0001eae39f,1,2.5,1.58,2.0,2.0,-1.0,,1.98,,,,,2.5,0.58,,0.02931034482758621,0.031904761904761915
5a09ebdf087f2e0001eae39f,2,3.5,1.52,3.0,3.0,-1.0,,1.26,,,,,2.5,0.6,,0.02966666666666667,0.031000000000000007
5c5c451500b69200011bb8bf,1,1.5,1.34,5.0,5.0,1.5,,1.22,,,,,4.25,0.66,,0.03,0.03647058823529412
5c5c451500b69200011bb8bf,2,3.0,1.38,3.5,3.5,1.5,,1.54,,,,,4.25,0.62,,0.030645161290322586,0.028947368421052635
5c9d004ee3b6c40015254526,1,2.5,1.46,3.5,3.5,0.5,,2.12,,,,,3.25,0.5,,0.022000000000000002,0.023200000000000002
5c9d004ee3b6c40015254526,2,3.5,1.48,3.0,3.0,0.5,,2.28,,,,,3.25,0.52,,0.023461538461538464,0.021666666666666667
5cc3f0f9fdb33500018c5eeb,1,2.0,1.5,7.0,7.0,-1.5,,0.72,,,,,7.75,0.54,,0.022592592592592595,0.021739130434782608
5cc3f0f9fdb33500018c5eeb,2,5.0,1.3673469387755102,8.5,8.5,-1.5,,1.183673469387755,,,,,7.75,0.4489795918367347,,0.030000000000000006,0.02444444444444445
5ddce9f0f85b50c4fc1515a4,1,1.5,1.54,4.0,4.0,-1.0,,2.16,,,,,4.5,0.64,,0.02375,0.022222222222222223
5ddce9f0f85b50c4fc1515a4,2,4.5,1.4081632653061225,5.0,5.0,-1.0,,3.020408163265306,,,,,4.5,0.52,,0.027692307692307697,0.021739130434782608
5de8613ddf86d37c8a8ab294,1,3.0,1.48,4.5,4.5,0.5,,0.28,,,,,4.25,0.64,,0.029062499999999998,0.03166666666666667
5de8613ddf86d37c8a8ab294,2,4.0,1.4090909090909092,4.0,4.0,0.5,,1.0909090909090908,,,,,4.25,0.5957446808510638,,0.028846153846153848,0.024444444444444446
5e923888c38d4a574e72d716,1,4.0,1.46,7.5,7.5,0.0,,2.8,,,,,7.5,0.66,,0.02757575757575758,0.025294117647058828
5e923888c38d4a574e72d716,2,4.0,1.48,7.5,7.5,0.0,,2.9,,,,,7.5,0.7,,0.02685714285714286,0.028666666666666663
5efe8c25e921d23a9daec079,1,1.5,1.4565217391304348,8.0,8.0,-0.5,,3.5652173913043477,,,,,8.25,0.8478260869565217,,0.03051282051282052,0.03285714285714286
5efe8c25e921d23a9daec079,2,4.0,1.54,8.5,8.5,-0.5,,2.88,,,,,8.25,0.4897959183673469,,0.036250000000000004,0.033600000000000005
5f0f5df48a1b1a114c3dacc5,1,1.0,1.4318181818181819,2.0,2.0,-1.5,,2.8636363636363638,,,,,2.75,0.4772727272727273,,0.04190476190476191,0.029130434782608707
5f0f5df48a1b1a114c3dacc5,2,2.5,1.5416666666666667,3.5,3.5,-1.5,,2.6666666666666665,,,,,2.75,0.45652173913043476,,0.03333333333333334,0.0412
5f247332e02337051dc208aa,1,3.0,1.4666666666666666,5.5,5.5,0.0,,1.2,,,,,5.5,0.37777777777777777,,0.024705882352941175,0.02821428571428572
5f247332e02337051dc208aa,2,2.5,1.48,5.5,5.5,0.0,,1.22,,,,,5.5,0.4583333333333333,,0.026363636363636367,0.030384615384615392
5f32e865bd94490a64d9c9f5,1,1.0,1.54,3.5,3.5,-2.5,,1.68,,,,,4.75,0.6,,0.02800000000000001,0.028500000000000008
5f32e865bd94490a64d9c9f5,2,2.0,1.56,6.0,6.0,-2.5,,1.32,,,,,4.75,0.62,,0.028387096774193557,0.03210526315789474
5f4a835e9e84256238129995,1,2.0,1.46,5.5,5.5,1.0,,2.04,,,,,5.0,0.6,,0.02800000000000001,0.0215
5f4a835e9e84256238129995,2,3.0,1.44,4.5,4.5,1.0,,1.16,,,,,5.0,0.52,,0.02730769230769231,0.02875
5fe23b5e1f2ef9db2ab8e5a0,1,2.0,1.4,4.0,4.0,0.5,,2.02,,,,,3.75,0.76,,0.02473684210526316,0.027499999999999997
5fe23b5e1f2ef9db2ab8e5a0,2,3.5,1.56,3.5,3.5,0.5,,2.04,,,,,3.75,0.54,,0.026666666666666675,0.02782608695652175
60c7fd00cce7a43663968b17,1,2.5,1.3125,3.0,3.0,0.5,,2.6458333333333335,,,,,2.75,0.5416666666666666,,0.031153846153846157,0.025454545454545455
60c7fd00cce7a43663968b17,2,3.5,1.4791666666666667,2.5,2.5,0.5,,2.1875,,,,,2.75,0.4583333333333333,,0.033181818181818194,0.0276923076923077
60c8467d9872c0d83f695499,1,1.0,1.38,3.0,3.0,-1.0,,1.26,,,,,3.5,0.58,,0.02724137931034483,0.027142857142857146
60c8467d9872c0d83f695499,2,2.0,1.44,4.0,4.0,-1.0,,0.68,,,,,3.5,0.46,,0.021304347826086967,0.024074074074074078
60fd83ff5af11073b7d1ed62,1,2.0,1.56,6.5,6.5,0.5,,3.16,,,,,6.25,0.54,,0.030000000000000002,0.027391304347826093
